Title,Artist,Year,Country,Thumbnail
b'Falling Star',b'Witold Pruszkowski',b'1884',b'PL',https://az333960.vo.msecnd.net/images-3/untitled-witold-pruszkowski-1884-cae56864.jpg
b'Children in a Garden',b'W\xc5\x82adys\xc5\x82aw Podkowi\xc5\x84ski',b'1892',,https://az334034.vo.msecnd.net/images-2/untitled-wladyslaw-podkowinski-1892-3c83637a.jpg
b"Queen's Bedroom in the Wilan\xc3\xb3w Palace",b'Aleksander Gryglewski',b'1874',,https://az333960.vo.msecnd.net/images-7/untitled-aleksander-gryglewski-1874-758a7f81.jpg
b'Seashore',b'Gustave Courbet',b'1867',b'FR',https://az333959.vo.msecnd.net/images-2/untitled-gustave-courbet-1867-adba4a96.jpg
b'The War and Us',b'Edward Oku\xc5\x84',b'1917',,https://az333959.vo.msecnd.net/images-3/untitled-edward-okun-1917-b6392286.jpg
b'Crimson Room of the Podhorce Castle',b'Aleksander Gryglewski',b'1871',,https://az333960.vo.msecnd.net/images-5/untitled-aleksander-gryglewski-1871-f25d1903.jpg
b'Portrait of Emilia W\xc5\x82odkowska',b'J\xc3\xb3zef Simmler',b'1865',,https://az334033.vo.msecnd.net/images-3/untitled-jozef-simmler-1865-5f4bd1e3.jpg
b'Untitled',b'Ludwik de Laveaux',b'1889',b'PL',https://az334034.vo.msecnd.net/images-3/untitled-ludwik-de-laveaux-1889-88f5aa47.jpg
b'Interior of the Dominican Church in Krak\xc3\xb3w',b'Marcin Zaleski',b'1849',b'PL',https://az334034.vo.msecnd.net/images-1/untitled-marcin-zaleski-1849-55d94e09.jpg
b'Royal Bedroom of the Palace on the Water',b'Marcin Zaleski',b'1847',b'PL',https://az333960.vo.msecnd.net/images-8/untitled-marcin-zaleski-1847-2ddddc6f.jpg
b'Circle Dancing',b'Franz Stuck',b'1910',b'DE',https://az334033.vo.msecnd.net/images-4/untitled-franz-stuck-1910-cb799b39.jpg
b"Interior of St. Mark's Basilica in Venice",b'Aleksander Gierymski',b'1899',,https://az333960.vo.msecnd.net/images-4/untitled-aleksander-gierymski-1899-3d598dd5.jpg
b'Interior of the All Saints Church in Warsaw',b'Marcin Zaleski',b'1863',b'PL',https://az333960.vo.msecnd.net/images-1/untitled-marcin-zaleski-1863-5b48e5ad.jpg
b'Fine Arts Exhibition in Warsaw in 1828',b'Wincenty Kasprzycki',b'1828',,https://az333960.vo.msecnd.net/images-7/fine-arts-exhibition-in-warsaw-in-1828-wincenty-kasprzycki-1828-49c429b3.jpg
b"Artist's Vision",b'J\xc3\xb3zef Rapacki',b'1924',,https://az333959.vo.msecnd.net/images-9/untitled-jozef-rapacki-1918-31c16d44.jpg
b'In the arbour',b'Aleksander Gierymski',b'1882',,https://az334033.vo.msecnd.net/images-5/untitled-aleksander-gierymski-1882-1-4eee2e74.png
b'View of a Port in the Morning',b'Claude-Joseph Vernet',b'1774',b'FR',https://az334034.vo.msecnd.net/images-5/view-of-a-port-in-the-morning-claude-joseph-vernet-1774-221333c5.jpg
b'\xc5\xbbo\xc5\x82nierz z Koniem',b'Wojciech Kossak',b'1937',b'PL',https://az334033.vo.msecnd.net/images-4/untitled-wojciech-kossak-1937-d30374fd.jpg
b'On the pasture',b'Stanis\xc5\x82aw Witkiewicz',b'1875',b'PL',https://az334033.vo.msecnd.net/images-9/untitled-stanislaw-witkiewicz-1875-b84af17e.jpg
|b'Portret trojga dzieci artysty: Tadeusza, Heleny i Beaty'|,b'Jan Matejko',b'1870',,https://az333959.vo.msecnd.net/images-0/untitled-jan-matejko-1870-7fdfffbe.jpg
b'Portrait of a Redhead Woman',b'Jan Ci\xc4\x85gli\xc5\x84ski',b'1890',,https://az333960.vo.msecnd.net/images-6/untitled-jan-ciaglinski-1890-a3108daf.jpg
b'Untitled',b'Ludwik de Laveaux',b'1892',b'PL',https://az333960.vo.msecnd.net/images-2/untitled-ludwik-de-laveaux-1892-1-0967c511.jpg
b'Portrait of Aleksandra Zatlerowa',b'J\xc3\xb3zef Simmler',b'1862',,https://az334033.vo.msecnd.net/images-8/untitled-jozef-simmler-1862-780b8f84.jpg
|b"Portrait of Katarzyna Jahn, artist's sister"|,b'J\xc3\xb3zef Simmler',b'1849',,https://az333959.vo.msecnd.net/images-5/untitled-jozef-simmler-1849-69ace4b1.jpg
|b'Vita brevis, ars longa'|,b'Tadeusz Makowski',b'1918',b'PL',https://az333960.vo.msecnd.net/images-4/untitled-tadeusz-makowski-1918-404f5f66.jpg
b'Untitled',b'Jules Dupr\xc3\xa9',b'1852',,https://az333960.vo.msecnd.net/images-9/untitled-jules-dupre-1852-f6627de3.jpg
b'Portrait of a Lady',b'J\xc3\xb3zef M\xc4\x99cina-Krzesz',b'1890',,https://az333959.vo.msecnd.net/images-2/untitled-jozef-mecina-krzesz-1880-c1619d16.jpg
b'Self-portrait',b'Aniela Poraj-Biernacka',b'1878',b'PL',https://az333960.vo.msecnd.net/images-1/untitled-aniela-poraj-biernacka-1878-ce05499b.jpg
b'Gourmands',b'Krzysztof Lubieniecki',b'1719',,https://az333960.vo.msecnd.net/images-2/untitled-krzysztof-lubieniecki-2bf419f2.jpg
b'Water nymphs',b'Witold Pruszkowski',b'1877',b'PL',https://az334034.vo.msecnd.net/images-1/untitled-witold-pruszkowski-1877-27c9b731.jpg
b'The Discovery of Achilles among the Daughters of Lycomedes',b'Jan de Bray',b'Lycomedes',b'NL',https://az334034.vo.msecnd.net/images-0/the-discovery-of-achilles-among-the-daughters-of-lycomedes-jan-de-bray-17ab673d.jpg
b'Jewess with Oranges',b'Aleksander Gierymski',b'Oranges',,https://az333960.vo.msecnd.net/images-9/jewess-with-oranges-aleksander-gierymski-fbbcdffa.jpg
b'Amazon',b'Zygmunt Waliszewski',b'1921',,https://az334033.vo.msecnd.net/images-5/untitled-zygmunt-waliszewski-1921-4831f8d4.jpg
b'Portrait of a lady with a dog and a monkey',b'Nicolas de Largilli\xc3\xa8re',b'1700',b'FR',https://az333960.vo.msecnd.net/images-3/untitled-nicolas-de-largilliere-1700-1-db60c99d.jpg
b'Judith with the Head of Holophernes',b'Franciszek Smuglewicz',b'1784',,https://az334033.vo.msecnd.net/images-6/untitled-franciszek-smuglewicz-1780-e11ebdba.jpg
b'Woman with a fan',b'Franciszek \xc5\xbbmurko',b'1884',b'PL',https://az334034.vo.msecnd.net/images-5/untitled-franciszek-zmurko-1884-987083f7.jpg
b'Curtain Design for the Juliusz S\xc5\x82owacki Theatre in Krak\xc3\xb3w',b'Henryk Siemiradzki',b'1894',b'PL',https://az334033.vo.msecnd.net/images-1/untitled-henryk-siemiradzki-1893-cc2dde57.jpg
b'Solemn exhibition of paintings',b'Wincenty Kasprzycki',b'1830',,https://az334034.vo.msecnd.net/images-4/solemn-exhibition-of-paintings-wincenty-kasprzycki-1830-44d7dedb.jpg
b'Akt z kotkiem',b'Tytus Czy\xc5\xbcewski',b'1920',,https://az334033.vo.msecnd.net/images-9/untitled-tytus-czyzewski-1920-f121e318.jpg
b'Untitled',b'Antoine Watteau',b'1717',b'FR',https://az333959.vo.msecnd.net/images-6/untitled-antoine-watteau-1717-1-17268477.jpg
b'Portrait of Zofia Odescalchi n\xc3\xa9e Branicka',b'Franz Xaver Winterhalter',b'1850',,https://az333960.vo.msecnd.net/images-4/untitled-franz-xaver-winterhalter-1850-809fcbff.jpg
b'A Girl in a Hat with Flowers',b'W\xc5\x82adys\xc5\x82aw Podkowi\xc5\x84ski',b'1894',,https://az333960.vo.msecnd.net/images-5/untitled-wladyslaw-podkowinski-1894-63762484.jpg
b'Academic study of a male torso',b'Jean-Auguste-Dominique Ingres',b'1801',b'FR',https://az333959.vo.msecnd.net/images-7/untitled-jean-auguste-dominique-ingres-1801-62a116de.jpg
b'Illusionistic vault design of a hall in the Ujazd\xc3\xb3w Castle',b'Bernardo Bellotto',b'1767',b'IT',https://az333960.vo.msecnd.net/images-7/illusionistic-vault-design-of-a-hall-in-the-ujazdow-castle-bernardo-bellotto-1767-21b8c679.jpg
b'Portrait of a lady with binoculars',b'Anna Bili\xc5\x84ska-Bohdanowicz',b'1884',,https://az334033.vo.msecnd.net/images-0/untitled-anna-bilinska-bohdanowicz-1884-1-da78450b.jpg
b'Sigismund Chapel',b'Marcin Zaleski',b'1850',b'PL',https://az334034.vo.msecnd.net/images-4/untitled-marcin-zaleski-1801-107adf88.jpg
