Title,Artist,Year,Country,Thumbnail
b'Merry company in an interior',b'Pieter de Hooch',b'interior',b'NL',https://az333959.vo.msecnd.net/images-1/merry-company-in-an-interior-pieter-de-hooch-2aa38774.jpg
b'St. Jerome in His Study',b'Albrecht D\xc3\xbcrer',b'1521',b'DE',https://az334034.vo.msecnd.net/images-2/st-jerome-in-his-study-albrecht-durer-1521-3d0c077e.jpg
b'S\xc3\xa3o Paulo (Nuno Gon\xc3\xa7alves)',b'Nuno Gon\xc3\xa7alves',b'Gon\xc3\xa7alves)',,https://az334034.vo.msecnd.net/images-4/sao-paulo-nuno-goncalves-nuno-goncalves-3a0bc817.jpg
b'Saint Augustin',b'Piero della Francesca',b'1454',b'IT',https://az334033.vo.msecnd.net/images-2/saint-augustin-piero-della-francesca-1454-82e07571.jpg
b'Untitled',b'Giovanni Battista Tiepolo',b'1729',b'IT',https://az333960.vo.msecnd.net/images-3/untitled-giovanni-battista-tiepolo-1729-e346d271.jpg
b'Untitled',b'Hubert Robert',b'1775',b'FR',https://az333959.vo.msecnd.net/images-8/untitled-hubert-robert-1775-7eba202d.jpg
b'Untitled',b'Henri Fantin-Latour',b'1891',b'FR',https://az334034.vo.msecnd.net/images-1/untitled-henri-fantin-latour-1891-d9e91a4a.jpg
b'Flight in Egypt',b'Giovanni Battista Tiepolo',b'1750',b'IT',https://az334034.vo.msecnd.net/images-6/flight-in-egypt-giovanni-battista-tiepolo-1750-77a6a249.jpg
b'Francisco de Almeida',b'Anonymous',b'1555',,https://az334033.vo.msecnd.net/images-1/francisco-de-almeida-anonymous-1555-3b3d1f36.jpg
b'Temptation of Saint Anthony',b'Hieronymus Bosch',b'1501',b'NL',https://az333960.vo.msecnd.net/images-5/temptation-of-saint-anthony-hieronymus-bosch-1501-50040b38.jpg
b'Saint Vincent Tied to a Column',b'Nuno Gon\xc3\xa7alves',b'1450',,https://az334034.vo.msecnd.net/images-7/saint-vincent-tied-to-a-column-nuno-goncalves-1450-c426c5bc.jpg
b'S\xc3\xa3o Francisco',b'Nuno Gon\xc3\xa7alves',b'1460',,https://az333959.vo.msecnd.net/images-9/sao-francisco-nuno-goncalves-1460-39a41b71.jpg
b'Retaule de Santa Anna i la Mareded\xc3\xa9u',b'Ram\xc3\xb3n Destorrents',b'Mareded\xc3\xa9u',,https://az333959.vo.msecnd.net/images-6/retaule-de-santa-anna-i-la-marededeu-ramon-destorrents-816d8dec.jpg
b'Untitled',b'Alessandro Allori',b'Untitled',b'IT',https://az334034.vo.msecnd.net/images-8/untitled-alessandro-allori-1-289a2388.jpg
b'Coronation of the Virgin',b'Domingos Sequeira',b'Virgin',,https://az333960.vo.msecnd.net/images-5/coronation-of-the-virgin-domingos-sequeira-62efa33f.jpg
b'Jo\xc3\xa3o Baptista Verde e Mariana Benedita',b'Domingos Sequeira',b'1809',,https://az334034.vo.msecnd.net/images-8/joao-baptista-verde-e-mariana-benedita-domingos-sequeira-1809-2968d81e.jpg
b'Adoration of the Shepherds',b'Josefa de \xc3\x93bidos',b'1669',,https://az333960.vo.msecnd.net/images-6/adoration-of-the-shepherds-josefa-de-obidos-1669-f8c75f1f.png
b'Untitled',b'Quentin Matsys',b'1509',b'BE',https://az334033.vo.msecnd.net/images-3/untitled-quentin-matsys-1509-81c6c690.jpg
b'Untitled',b'Dirck Jacobsz',b'1501',,https://az334033.vo.msecnd.net/images-8/untitled-dirck-jacobsz-1501-564513c4.jpg
b'Untitled',b'Anonymous',b'1540',,https://az333959.vo.msecnd.net/images-2/untitled-anonymous-1540-2-729740a7.jpg
b'Untitled',b'David Vinckboons',b'1600',,https://az333959.vo.msecnd.net/images-9/untitled-david-vinckboons-1600-1fad62a8.jpg
b'Salome with the head of Saint John the Baptist',b'Lucas Cranach the Elder',b'1515',b'DE',https://az334034.vo.msecnd.net/images-7/salome-with-the-head-of-saint-john-the-baptist-lucas-cranach-the-elder-1515-b727d62b.jpg
b'James the Great',b'Francisco de Zurbar\xc3\xa1n',b'1633',b'ES',https://az334033.vo.msecnd.net/images-4/james-the-great-francisco-de-zurbaran-1633-276384d4.jpg
b'Ecce Homo (MNAA)',b'Anonymous',b'(MNAA)',,https://az334033.vo.msecnd.net/images-7/ecce-homo-mnaa-anonymous-7f1577fd.jpg
b'Paturage au bord d\xc2\xb4une mare',b'Jules Dupr\xc3\xa9',b'1850',,https://az333959.vo.msecnd.net/images-1/paturage-au-bord-d-une-mare-jules-dupre-1850-ce0f8201.jpg
