Title,Artist,Year,Country,Thumbnail
b'Tupi woman',b'Albert Eckhout',b'woman',,https://az333959.vo.msecnd.net/images-5/tupi-woman-albert-eckhout-5114d399.jpg
b'Portrait of a Tapuya woman holding human body parts',b'Albert Eckhout',b'1641',,https://az334034.vo.msecnd.net/images-7/portrait-of-a-tapuya-woman-holding-human-body-parts-albert-eckhout-1641-8cb52c6a.jpg
b'Portrait of a black man from the Tupi tribe with his bow...',b'Albert Eckhout',b'1643',,https://az334033.vo.msecnd.net/images-3/portrait-of-a-black-man-from-the-tupi-tribe-with-his-bow-and-arrows-albert-eckhout-1643-629ab310.jpg
b'Still-life of citrus fruit and bananas',b'Albert Eckhout',b'bananas',,https://az334033.vo.msecnd.net/images-7/still-life-of-citrus-fruit-and-bananas-albert-eckhout-ffa2784b.jpg
b'Black Woman wih Child',b'Albert Eckhout',b'1650',,https://az334033.vo.msecnd.net/images-8/black-woman-wih-child-albert-eckhout-1650-44bf06fd.jpg
b'Brazilian fruits',b'Albert Eckhout',b'1643',,https://az334034.vo.msecnd.net/images-7/brazilian-fruits-albert-eckhout-1643-9f93f7e4.jpg
b'Dancing Tapuyi Indians',b'Albert Eckhout',b'1643',,https://az333959.vo.msecnd.net/images-6/dancing-tapuyi-indians-albert-eckhout-1643-67a916bb.jpg
|b'Still-life of flowering coconut palm, nuts and red pepers'|,b'Albert Eckhout',b'1643',,https://az333960.vo.msecnd.net/images-1/still-life-of-flowering-coconut-palm-nuts-and-red-pepers-albert-eckhout-1643-da45f14f.jpg
|b'Still-life of gourds, passion fruit, citrus fruits and...'|,b'Albert Eckhout',b'1643',,https://az334033.vo.msecnd.net/images-9/still-life-of-gourds-passion-fruit-citrus-fruits-and-cactus-albert-eckhout-1643-e430e081.jpg
|b'Pineapple, papaya and other fruit'|,b'Albert Eckhout',b'fruit',,https://az334033.vo.msecnd.net/images-3/pineapple-papaya-and-other-fruit-albert-eckhout-cf184de4.jpg
b'Coconuts',b'Albert Eckhout',b'Coconuts',,https://az333960.vo.msecnd.net/images-1/coconuts-albert-eckhout-48537783.jpg
b'Tarairiu Man',b'Albert Eckhout',b'1641',,https://az333960.vo.msecnd.net/images-9/tarairiu-man-albert-eckhout-1641-3086df8b.jpg
b'Portrait of a Mameluca Woman',b'Albert Eckhout',b'1641',,https://az334034.vo.msecnd.net/images-4/portrait-of-a-mameluca-woman-albert-eckhout-1641-a74495e0.jpg
b'Portrait of a mulatto man with rifle and sword',b'Albert Eckhout',b'1643',,https://az333959.vo.msecnd.net/images-5/portrait-of-a-mulatto-man-with-rifle-and-sword-albert-eckhout-1643-2fecf3e4.jpg
b'Still-life of the tropical fruit manioc',b'Albert Eckhout',b'1643',,https://az334034.vo.msecnd.net/images-9/still-life-of-the-tropical-fruit-manioc-albert-eckhout-1643-d044a8ab.jpg
b'The "Varberg" is towed away from Marstrand in Juli 1719.',b'Christian M\xc3\xb8lsted',b'1925',,https://az334034.vo.msecnd.net/images-9/the-varberg-is-towed-away-from-marstrand-in-juli-1719-christian-molsted-1925-08624228.png
|b'Still-life of pumpkins, zuchini and leavy greens (paksoi)'|,b'Albert Eckhout',b'1643',,https://az334034.vo.msecnd.net/images-0/still-life-of-pumpkins-zuchini-and-leavy-greens-paksoi-albert-eckhout-1643-f29d9841.jpg
b'Portrait of a black man with spears and assegai',b'Albert Eckhout',b'1641',,https://az334033.vo.msecnd.net/images-1/portrait-of-a-black-man-with-spears-and-assegai-albert-eckhout-1641-a9bb7abb.jpg
