Title,Artist,Year,Country,Thumbnail
b'Morning on the Seine',b'Claude Monet',b'1898',b'FR',https://az333960.vo.msecnd.net/images-0/morning-on-the-seine-claude-monet-1898-8a677b2c.jpg
b'Little Girl',b'William-Adolphe Bouguereau',b'1878',b'FR',https://az333959.vo.msecnd.net/images-3/little-girl-william-adolphe-bouguereau-1878-5523e1c9.jpg
b'Sleeping Nude',b'Gustave Courbet',b'1858',b'FR',https://az333960.vo.msecnd.net/images-5/sleeping-nude-gustave-courbet-1858-90d0ed3d.jpg
b'Lucretia',b'Guido Reni',b'Lucretia',b'IT',https://az334033.vo.msecnd.net/images-6/lucretia-guido-reni-2299de0f.jpg
b'Landscape of Brittany',b'Paul Gauguin',b'1888',b'FR',https://az334034.vo.msecnd.net/images-7/landscape-of-brittany-paul-gauguin-1888-bcf18ca7.jpg
b'Two Breton Girls by the Sea',b'Paul Gauguin',b'1889',b'FR',https://az333960.vo.msecnd.net/images-9/two-breton-girls-by-the-sea-paul-gauguin-1889-ab37bc20.jpg
b'Walk (Road of the Farm Saint-Sim\xc3\xa9on)',b'Claude Monet',b'1864',b'FR',https://az333960.vo.msecnd.net/images-4/walk-claude-monet-d07e7033.jpg
b'Self-portrait',b'Marie-Gabrielle Capet',b'Self-portrait',,https://az333959.vo.msecnd.net/images-7/self-portrait-marie-gabrielle-capet-85fc124a.jpg
|b'Summer Evening, Landscape in Italy'|,b'Claude-Joseph Vernet',b'1773',b'FR',https://az334034.vo.msecnd.net/images-0/summer-evening-landscape-in-italy-claude-joseph-vernet-1773-2756e9ab.jpg
b'On the Boat',b'Claude Monet',b'1887',b'FR',https://az334033.vo.msecnd.net/images-5/on-the-boat-claude-monet-6e84c355.jpg
b'Garland of Flowers with Madonna and Child',b'Daniel Seghers',b'1650',b'BE',https://az333959.vo.msecnd.net/images-0/garland-of-flowers-with-madonna-and-child-daniel-seghers-2b926edc.jpg
b'Waves',b'Gustave Courbet',b'Waves',b'FR',https://az333960.vo.msecnd.net/images-9/waves-gustave-courbet-516edd40.jpg
|b'Vanitas, Still Life with Books and Manuscripts and a Skull'|,b'Evert Collier',b'1663',b'NL',https://az334033.vo.msecnd.net/images-9/vanitas-still-life-with-books-and-manuscripts-and-a-skull-evert-collier-1663-4597544d.jpg
b'Mad Woman',b'Chaim Soutine',b'1920',,https://az334033.vo.msecnd.net/images-2/mad-woman-chaim-soutine-1920-e336daf9.jpg
b'The Conversation',b'Camille Pissarro',b'Conversation',b'FR',https://az334033.vo.msecnd.net/images-7/the-conversation-camille-pissarro-1b2524c3.jpg
b'Ducklings',b'John Everett Millais',b'1889',b'GB',https://az333959.vo.msecnd.net/images-0/ducklings-john-everett-millais-1889-9635eceb.jpg
b'Peony Garden',b'Claude Monet',b'1887',b'FR',https://az334034.vo.msecnd.net/images-8/peony-garden-claude-monet-1887-3a4e08f1.jpg
b'Fox Caught in a Trap',b'Gustave Courbet',b'1860',b'FR',https://az334033.vo.msecnd.net/images-8/fox-caught-in-a-trap-gustave-courbet-1860-0017b0fb.jpg
b'The Garden of Gethsemane',b'Lucas Cranach the Elder',b'Gethsemane',b'DE',https://az333959.vo.msecnd.net/images-2/the-garden-of-gethsemane-lucas-cranach-the-elder-00820574.jpg
b'Gypsy in Reflection',b'Gustave Courbet',b'1869',b'FR',https://az333960.vo.msecnd.net/images-6/gypsy-in-reflection-gustave-courbet-1869-338d776b.jpg
b'Mary Magdalene',b'Philippe de Champaigne',b'Magdalene',b'NL',https://az333959.vo.msecnd.net/images-2/mary-magdalene-philippe-de-champaigne-19f7fb58.jpg
b'The Harvest',b'Camille Pissarro',b'Harvest',b'FR',https://az333960.vo.msecnd.net/images-6/the-harvest-camille-pissarro-13b0c02a.jpg
b'St. Justa and St. Rufina',b'Bartolom\xc3\xa9 Esteban Murillo',b'Rufina',b'ES',https://az334034.vo.msecnd.net/images-6/st-justa-and-st-rufina-bartolome-esteban-murillo-6391c730.jpg
b'Boy in Flowers (Jacques Hosched\xc3\xa9)',b'Edouard Manet',b'1876',b'FR',https://az334034.vo.msecnd.net/images-1/boy-in-flowers-jacques-hoschede-edouard-manet-1876-cbdc0bf3.jpg
b'Yellow Irises',b'Claude Monet',b'1917',b'FR',https://az333959.vo.msecnd.net/images-9/yellow-irises-claude-monet-1914-9b518fe3.jpg
b'Theodore Meets in the Wood the Spectre of His Ancestor...',b'Henry Fuseli',b'Ancestor...',b'CH',https://az334033.vo.msecnd.net/images-7/theodore-meets-in-the-wood-the-spectre-of-his-ancestor-guido-cavalcanti-henry-fuseli-b02b70bb.jpg
b'Landscape with Nymphs',b'Jan Both',b'Nymphs',b'NL',https://az334034.vo.msecnd.net/images-0/landscape-with-nymphs-jan-both-2891dbf2.jpg
b'Autumn at \xc3\x89ragny',b'Camille Pissarro',b'\xc3\x89ragny',b'FR',https://az334033.vo.msecnd.net/images-4/autumn-at-eragny-camille-pissarro-e2f2972b.jpg
b'Landscape at Louveciennes',b'Alfred Sisley',b'1873',b'GB',https://az334034.vo.msecnd.net/images-3/landscape-at-louveciennes-alfred-sisley-1873-a1419894.jpg
b'Portrait of the Painter Slewinski',b'Paul Gauguin',b'1891',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-of-the-painter-slewinski-paul-gauguin-1891-3a8152a7.jpg
b'The Last Supper',b'Marten de Vos',b'Supper',,https://az333960.vo.msecnd.net/images-8/the-last-supper-marten-de-vos-62894b51.jpg
b'Still Life with a Boy Blowing Soap-bubbles',b'Gerrit Dou',b'Soap-bubbles',b'NL',https://az333959.vo.msecnd.net/images-2/still-life-with-a-boy-blowing-soap-bubbles-gerrit-dou-7f9ada91.jpg
b'Parisiennes in Algerian Costume or Harem',b'Auguste Renoir',b'1872',b'FR',https://az334033.vo.msecnd.net/images-1/parisian-women-in-algerian-costume-pierre-auguste-renoir-c4967d3a.jpg
