Title,Artist,Year,Country,Thumbnail
b'The Abandoned Doll',b'Suzanne Valadon',b'Doll',,https://az333959.vo.msecnd.net/images-0/the-abandoned-doll-suzanne-valadon-6733223e.jpg
b'Flowers in a terracotta vase on a stone balustrade',b'Rachel Ruysch',b'balustrade',b'NL',https://az333960.vo.msecnd.net/images-8/flowers-in-a-terracotta-vase-on-a-stone-balustrade-rachel-ruysch-4216d8d4.jpg
b'Portrait of a Young Boy',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1817',b'FR',https://az333959.vo.msecnd.net/images-3/portrait-of-a-young-boy-louise-elisabeth-vigee-le-brun-1817-e95384d7.jpg
b'Highland Raid',b'Rosa Bonheur',b'1860',b'FR',https://az334034.vo.msecnd.net/images-0/highland-raid-rosa-bonheur-1860-2484c0fa.jpg
b'Portrait of a woman with a black hood',b'Mary Beale',b'1660',,https://az333960.vo.msecnd.net/images-2/portrait-of-a-woman-with-a-black-hood-mary-beale-1660-8f4ddfaf.jpg
b'Still Life of Fish and Cat',b'Clara Peeters',b'Cat',,https://az333960.vo.msecnd.net/images-2/still-life-of-fish-and-cat-clara-peeters-41e46a89.jpg
b'The Concert',b'Judith Leyster',b'Concert',b'NL',https://az333959.vo.msecnd.net/images-9/the-concert-judith-leyster-5f5846f6.jpg
b'Sheep by the Sea',b'Rosa Bonheur',b'1865',b'FR',https://az334033.vo.msecnd.net/images-4/sheep-by-the-sea-rosa-bonheur-1865-0adefbb9.jpg
b'Portrait of a Woman',b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1803',b'FR',https://az334033.vo.msecnd.net/images-2/portrait-of-a-woman-louise-elisabeth-vigee-le-brun-1803-f3b63e13.jpg
b'Portrait of a Noblewoman',b'Lavinia Fontana',b'1580',b'IT',https://az333960.vo.msecnd.net/images-8/portrait-of-a-noblewoman-lavinia-fontana-1580-7d2d88f0.jpg
b'Cumaean Sibyl after Domenichino',b'Angelica Kauffman',b'1763',,https://az333959.vo.msecnd.net/images-0/cumaean-sibyl-after-domenichino-angelica-kauffman-1763-f13479d2.jpg
