Title,Artist,Year,Country,Thumbnail
|b'John Montagu, 2nd Duke of Montagu'|,b'Godfrey Kneller',b'1709',,https://az334033.vo.msecnd.net/images-4/john-montagu-2nd-duke-of-montagu-godfrey-kneller-1709-29a27b60.jpg
b'John Gwynn',b'Anonymous',b'Gwynn',,https://az334033.vo.msecnd.net/images-5/john-gwynn-anonymous-befda6e3.jpg
b'Katherine of Aragon',b'Anonymous',b'1750',,https://az333959.vo.msecnd.net/images-6/katherine-of-aragon-anonymous-1750-438a153b.jpg
b'Abraham Simon',b'Anonymous',b'1670',,https://az334033.vo.msecnd.net/images-9/abraham-simon-anonymous-f5092331.jpg
b'Probably Sir Robert Dudley',b'Anonymous',b'1599',,https://az333959.vo.msecnd.net/images-3/probably-sir-robert-dudley-anonymous-9ce844e4.jpg
b'Winston Churchill',b'Ambrose McEvoy',b'1919',,https://az334034.vo.msecnd.net/images-8/winston-churchill-ambrose-mcevoy-1919-ed3f2aa8.jpg
b'Sir Robert Long',b'Anonymous',b'Long',,https://az334034.vo.msecnd.net/images-5/sir-robert-long-anonymous-5989b0e5.jpg
b"'The Secret of England's Greatness' (Queen Victoria...",b'Thomas Jones Barker',b'1863',,https://az333959.vo.msecnd.net/images-1/the-secret-of-england-s-greatness-queen-victoria-presenting-a-bible-in-the-audience-chamber-at-windsor-thomas-jones-barker-1863-97e4b1e8.jpg
|b'The Homage-Giving: Westminster Abbey, 9th August, 1902'|,b'John Henry Frederick Bacon',b'1903',,https://az333959.vo.msecnd.net/images-3/the-homage-giving-westminster-abbey-9th-august-1902-john-henry-frederick-bacon-1903-aa04e2e4.jpg
|b'Charles Montagu, 1st Earl of Halifax'|,b'Godfrey Kneller',b'1695',,https://az333959.vo.msecnd.net/images-1/charles-montagu-1st-earl-of-halifax-godfrey-kneller-3a675500.jpg
b'King William III',b'Anonymous',b'1685',,https://az333960.vo.msecnd.net/images-3/king-william-iii-anonymous-5464b886.jpg
|b'Lady Mary Wortley Montagu with her son, Edward Wortley...'|,b'Anonymous',b'Wortley...',,https://az334034.vo.msecnd.net/images-8/lady-mary-wortley-montagu-with-her-son-edward-wortley-montagu-and-attendants-anonymous-80150864.jpg
|b'Charles Seymour, 6th Duke of Somerset'|,b'Godfrey Kneller',b'1703',,https://az334034.vo.msecnd.net/images-3/charles-seymour-6th-duke-of-somerset-godfrey-kneller-a8601e16.jpg
b'Philip Hermogenes Calderon',b'Anonymous',b'1860',,https://az333960.vo.msecnd.net/images-3/philip-hermogenes-calderon-anonymous-1860-56337053.jpg
|b'Sir Donald Martin Stewart, 1st Bt'|,b'Frank Brooks',b'1903',b'GB',https://az334033.vo.msecnd.net/images-7/sir-donald-martin-stewart-1st-bt-frank-brooks-1903-d8c21952.jpg
b'Thomas Day',b'Joseph Wright of Derby',b'1770',b'GB',https://az333959.vo.msecnd.net/images-9/thomas-day-joseph-wright-of-derby-1770-3d73670d.jpg
|b'Frederick Sleigh Roberts, 1st Earl Roberts'|,b'John Singer Sargent',b'1906',b'US',https://az333960.vo.msecnd.net/images-3/frederick-sleigh-roberts-1st-earl-roberts-john-singer-sargent-1906-624b338b.jpg
b'Sir Richard Francis Burton',b'Frederic Leighton',b'1872',b'GB',https://az333959.vo.msecnd.net/images-2/sir-richard-francis-burton-frederic-leighton-1872-7697647d.jpg
|b'Evelyn Baring, 1st Earl of Cromer'|,b'John Singer Sargent',b'1902',b'US',https://az334034.vo.msecnd.net/images-0/evelyn-baring-1st-earl-of-cromer-john-singer-sargent-1902-e57dff01.jpg
b'Philip Richard Morris',b'Eugene de Blaas',b'1865',,https://az333959.vo.msecnd.net/images-9/philip-richard-morris-eugene-de-blaas-1865-d9e2a5f6.jpg
b'Sir Henry William Lucy',b'John Singer Sargent',b'1904',b'US',https://az333960.vo.msecnd.net/images-6/sir-henry-william-lucy-john-singer-sargent-1904-0021e264.jpg
|b'Rosslyn Erskine Wemyss, Baron Wester Wemyss'|,b'William Orpen',b'1919',b'GB',https://az333959.vo.msecnd.net/images-8/rosslyn-erskine-wemyss-baron-wester-wemyss-william-orpen-1919-df6e4221.jpg
b'James Ussher',b'Anonymous',b'1654',,https://az334033.vo.msecnd.net/images-7/james-ussher-anonymous-1654-9f786445.jpg
b'Humphrey Wanley',b'Thomas Hill',b'Wanley',b'US',https://az334034.vo.msecnd.net/images-0/humphrey-wanley-thomas-hill-9b650512.jpg
|b'Prince Rupert, Count Palatine'|,b'Gerard van Honthorst',b'Palatine',b'NL',https://az334034.vo.msecnd.net/images-9/prince-rupert-count-palatine-gerard-van-honthorst-242eae4b.jpg
|b'Unknown man, formerly known as Richard Wilson'|,b'Anonymous',b'Wilson',,https://az333959.vo.msecnd.net/images-1/unknown-man-formerly-known-as-richard-wilson-anonymous-1f7728c9.jpg
b'Marian Collier (n\xc3\xa9e Huxley)',b'John Collier',b'1882',b'GB',https://az333959.vo.msecnd.net/images-6/marian-collier-nee-huxley-john-collier-1882-36c574a7.jpg
b'Emma Hamilton as a Bacchante',b'George Romney',b'1785',b'GB',https://az333959.vo.msecnd.net/images-4/emma-hamilton-as-a-bacchante-george-romney-1785-b1a76e09.jpg
|b'Cuthbert Collingwood, Baron Collingwood'|,b'Anonymous',b'Collingwood',,https://az333960.vo.msecnd.net/images-0/cuthbert-collingwood-baron-collingwood-anonymous-b424d18f.jpg
|b'Frederick V, King of Bohemia and Elector Palatine'|,b'Gerard van Honthorst',b'1635',b'NL',https://az334033.vo.msecnd.net/images-1/frederick-v-king-of-bohemia-and-elector-palatine-gerard-van-honthorst-1635-5c040ce1.jpg
|b'The Selecting Jury of the New English Art Club, 1909'|,b'William Orpen',b'1909',b'GB',https://az333959.vo.msecnd.net/images-3/the-selecting-jury-of-the-new-english-art-club-1909-william-orpen-1909-da23d20e.jpg
