Title,Artist,Year,Country,Thumbnail
b'Thomas Paul',b'Thomas Badger',b'1825',,https://az333960.vo.msecnd.net/images-0/thomas-paul-thomas-badger-1825-3a99dfbc.jpg
b'Thomas Nast',b'John White Alexander',b'1887',b'US',https://az333960.vo.msecnd.net/images-5/thomas-nast-john-white-alexander-1887-d112af44.jpg
b'William Marshall Cazalet',b'John Singer Sargent',b'1902',b'US',https://az333960.vo.msecnd.net/images-9/william-marshall-cazalet-john-singer-sargent-1902-355a1af5.jpg
b'Ulysses S. Grant',b'Thomas Le Clear',b'1880',b'US',https://az334034.vo.msecnd.net/images-8/ulysses-s-grant-thomas-le-clear-1880-8b609465.jpg
b'Nelson Wilmarth Aldrich',b'Anders Zorn',b'1913',b'SE',https://az334033.vo.msecnd.net/images-1/nelson-wilmarth-aldrich-anders-zorn-1913-587cb791.jpg
b'Abraham Lincoln',b'John Henry Brown',b'1860',,https://az334034.vo.msecnd.net/images-4/abraham-lincoln-john-henry-brown-1860-2e866383.jpg
b'Henry Cabot Lodge',b'John Singer Sargent',b'1890',b'US',https://az333959.vo.msecnd.net/images-8/henry-cabot-lodge-john-singer-sargent-1890-65232e81.jpg
b'William Bainbridge',b'Rembrandt Peale',b'1814',b'US',https://az333960.vo.msecnd.net/images-9/william-bainbridge-rembrandt-peale-1814-559b9834.jpg
b'William Henry Harrison',b'Rembrandt Peale',b'1813',b'US',https://az333960.vo.msecnd.net/images-5/william-henry-harrison-rembrandt-peale-1813-58f002ca.jpg
b'Henry Clay and Helen Frick',b'Edmund C. Tarbell',b'1910',b'US',https://az334033.vo.msecnd.net/images-6/henry-clay-and-helen-frick-edmund-c-tarbell-1910-ff212553.jpg
b'Charles Nagel',b'Anders Zorn',b'1901',b'SE',https://az334034.vo.msecnd.net/images-7/charles-nagel-anders-zorn-1901-53b1ea7a.jpg
b'William Merritt Chase',b'Harriet Blackstone',b'1912',,https://az334033.vo.msecnd.net/images-0/william-merritt-chase-harriet-blackstone-1912-36a934d7.jpg
b'Richard Delafield',b'Charles Courtney Curran',b'1910',b'US',https://az334033.vo.msecnd.net/images-5/richard-delafield-charles-courtney-curran-1910-9e7f277c.jpg
b'Mary Henderson',b'Jean-Joseph Benjamin-Constant',b'1895',,https://az333959.vo.msecnd.net/images-7/mary-henderson-jean-joseph-benjamin-constant-1895-34a5db51.jpg
b'Charles Herbert Woodbury',b'John Singer Sargent',b'1921',b'US',https://az334034.vo.msecnd.net/images-1/charles-herbert-woodbury-john-singer-sargent-1921-711edeb5.jpg
b'Rubens Peale',b'Rembrandt Peale',b'1807',b'US',https://az334033.vo.msecnd.net/images-4/rubens-peale-rembrandt-peale-1807-6805478b.jpg
b'Eleazer Williams',b'Giuseppe Fagnani',b'1853',,https://az334034.vo.msecnd.net/images-8/eleazer-williams-giuseppe-fagnani-1853-50369aea.jpg
b'Frank Duveneck Self-Portrait',b'Frank Duveneck',b'1890',b'US',https://az334034.vo.msecnd.net/images-9/frank-duveneck-self-portrait-frank-duveneck-1890-aa7c46c2.jpg
b'John Sergeant',b'Thomas Sully',b'1811',,https://az334033.vo.msecnd.net/images-9/john-sergeant-thomas-sully-1811-ec9e453a.jpg
b'Martha Washington (The Athenaeum Portrait)',b'Gilbert Stuart',b'1793',b'US',https://az333960.vo.msecnd.net/images-7/martha-washington-the-athenaeum-portrait-gilbert-stuart-1793-d8a68768.jpg
b'Elizabeth Grimk\xc3\xa9 Rutledge',b'John Trumbull',b'1791',b'US',https://az333959.vo.msecnd.net/images-9/elizabeth-grimke-rutledge-john-trumbull-1791-5ca583f9.jpg
b'Lydia Henchman Hancock',b'John Singleton Copley',b'1766',b'US',https://az334034.vo.msecnd.net/images-2/lydia-henchman-hancock-john-singleton-copley-1766-af6ca386.jpg
b'Theodore Sedgwick',b'Ezra Ames',b'1808',b'US',https://az334034.vo.msecnd.net/images-9/theodore-sedgwick-ezra-ames-1808-5b071afc.jpg
b'Nathaniel Hawthorne',b'Emanuel Leutze',b'1862',,https://az333960.vo.msecnd.net/images-1/nathaniel-hawthorne-emanuel-leutze-1862-727b048e.jpg
b'George Peabody',b'George Peter Alexander Healy',b'1854',,https://az333959.vo.msecnd.net/images-8/george-peabody-george-peter-alexander-healy-1854-c92b8bba.jpg
b'John Singleton Copley Self-Portrait',b'John Singleton Copley',b'Self-Portrait',b'US',https://az334033.vo.msecnd.net/images-8/john-singleton-copley-self-portrait-john-singleton-copley-02eace66.jpg
b'Thomas Benedict Clarke',b'Charles Frederic Ulrich',b'1884',,https://az334033.vo.msecnd.net/images-7/thomas-benedict-clarke-charles-frederic-ulrich-1884-95e27e03.jpg
b'Sarah Weston Seaton with her Children Augustine and Julia',b'Charles Bird King',b'1815',b'US',https://az333960.vo.msecnd.net/images-6/sarah-weston-seaton-with-her-children-augustine-and-julia-charles-bird-king-1815-d5455e5e.jpg
b'Jacob Jennings Brown',b'John Wesley Jarvis',b'1821',,https://az334034.vo.msecnd.net/images-2/jacob-jennings-brown-john-wesley-jarvis-1821-9effb899.jpg
b'Charlotte Perkins Stetson Gilman',b'Ellen Day Hale',b'1880',,https://az334034.vo.msecnd.net/images-5/charlotte-perkins-stetson-gilman-ellen-day-hale-1880-e9392f5b.jpg
b'Louisa Dunmore Mums Mott',b'Anonymous',b'1820',,https://az334033.vo.msecnd.net/images-9/louisa-dunmore-mums-mott-anonymous-1820-df1698f5.jpg
b'Benjamin Lay',b'William Williams',b'1754',,https://az333959.vo.msecnd.net/images-6/benjamin-lay-william-williams-1754-98cc3ba4.jpg
b'Thomas Moran',b'Howard Russell Butler',b'1922',,https://az333960.vo.msecnd.net/images-9/thomas-moran-howard-russell-butler-1922-8f11c7ae.jpg
b'August Belmont and Isabel Perry',b'Wouterus Verschuur',b'1854',,https://az333960.vo.msecnd.net/images-4/august-belmont-and-isabel-perry-wouterus-verschuur-1854-723bb75b.jpg
b'Parke Godwin',b'Eastman Johnson',b'1880',,https://az334034.vo.msecnd.net/images-0/parke-godwin-eastman-johnson-1880-2e8f81c8.jpg
