Title,Artist,Year,Country,Thumbnail
b'Hung Game with a Swan and a Peacock on a Table and a Page...',b'Frans Snyders',b'Page...',,https://az334034.vo.msecnd.net/images-9/hung-game-with-a-swan-and-a-peacock-on-a-table-and-a-page-holding-a-parrot-frans-snyders-5a5c29a4.jpg
b'Storm and Avalanche near the Scheidegg in the Valley of...',b'Philip James de Loutherbourg',b'of...',,https://az334034.vo.msecnd.net/images-5/storm-and-avalanche-near-the-scheidegg-in-the-valley-of-lauterbrunnen-philip-james-de-loutherbourg-50442302.jpg
|b'Anne Hoare, Lady Mathew (d.1872)'|,b'William Owen',b'1814',,https://az334033.vo.msecnd.net/images-6/anne-hoare-lady-mathew-d-1872-william-owen-1814-66731fcb.jpg
b'The Holy Family with the Infant John the Baptist (after...',b'Anonymous',b'1764',,https://az334034.vo.msecnd.net/images-6/the-holy-family-with-the-infant-john-the-baptist-after-maratta-anonymous-1764-60d0b264.jpg
b'Rabbits Feeding',b'Anonymous',b'1749',,https://az333959.vo.msecnd.net/images-3/rabbits-feeding-anonymous-1749-7833a87b.jpg
b'Self-portrait wearing a white feathered bonnet',b'Rembrandt',b'1635',b'NL',https://az334034.vo.msecnd.net/images-9/self-portrait-wearing-a-white-feathered-bonnet-rembrandt-1635-677f9e5b.jpg
b'God the Father and the Holy Spirit',b'Pompeo Batoni',b'1741',,https://az333960.vo.msecnd.net/images-8/god-the-father-and-the-holy-spirit-pompeo-batoni-1741-da375b1b.jpg
b'Winter Scene with the Amsterdam City Gate Heiligewegspoort',b'Abraham Beerstraaten',b'Heiligewegspoort',,https://az333959.vo.msecnd.net/images-8/winter-scene-with-the-amsterdam-city-gate-heiligewegspoort-abraham-beerstraaten-c1f9e1df.jpg
b'Love among the Ruins',b'Edward Burne-Jones',b'Ruins',b'GB',https://az333959.vo.msecnd.net/images-2/love-among-the-ruins-edward-burne-jones-64c8d42c.jpg
b'St. Luke Drawing the Virgin',b'Anonymous',b'Virgin',,https://az333960.vo.msecnd.net/images-5/st-luke-drawing-the-virgin-anonymous-cb73ff9a.jpg
b'Academic Study of a Male Nude in the same Pose as a...',b'John Constable',b'1824',b'GB',https://az333960.vo.msecnd.net/images-8/academic-study-of-a-male-nude-in-the-same-pose-as-a-figure-in-michelangelo-s-last-judgement-in-the-sistine-chapel-rome-john-constable-1824-48e40149.jpg
b'A Swaledale Sheep and Ram in profile',b'William Taylor Longmire',b'1887',,https://az334033.vo.msecnd.net/images-7/a-swaledale-sheep-and-ram-in-profile-william-taylor-longmire-1887-f93a76f7.jpg
b"'Japan'",b'Marianne North',b'1870',,https://az333959.vo.msecnd.net/images-4/japan-marianne-north-1870-bd6142d8.jpg
|b"Dancing Dogs: 'Lusette', 'Madore', 'Rosette' and 'Moucheby'"|,b'John Wootton',b'1759',,https://az333959.vo.msecnd.net/images-7/dancing-dogs-lusette-madore-rosette-and-moucheby-john-wootton-1759-d39abfe7.jpg
b'Francis Popham (1734-1780)',b'Anonymous',b'1755',,https://az334034.vo.msecnd.net/images-4/francis-popham-1734-1780-anonymous-1755-a49cbaa2.jpg
|b'Marchesa Maria Grimaldi, and Her Dwarf'|,b'Peter Paul Rubens',b'1606',b'NL',https://az333960.vo.msecnd.net/images-2/marchesa-maria-grimaldi-and-her-dwarf-peter-paul-rubens-1606-6d1eb201.jpg
b'Ruins of Classical Baths with Nymphs Bathing',b'Antonio Zucchi',b'Bathing',,https://az333960.vo.msecnd.net/images-6/ruins-of-classical-baths-with-nymphs-bathing-antonio-zucchi-da642542.jpg
