Title,Artist,Year,Country,Thumbnail
b'Boulevard des Capucines',b'Claude Monet',b'1873',b'FR',https://az333959.vo.msecnd.net/images-7/boulevard-des-capucines-claude-monet-1873-f0ed8d0d.jpg
b'The Temptation of Saint Anthony',b'Hieronymus Bosch',b'Anthony',b'NL',https://az334034.vo.msecnd.net/images-8/the-temptation-of-saint-anthony-hieronymus-bosch-bdb985d3.jpg
b'Jerusalem from the Mount of Olives',b'Frederic Edwin Church',b'1870',b'US',https://az333960.vo.msecnd.net/images-5/jerusalem-from-the-mount-of-olives-frederic-edwin-church-1870-688172f9.jpg
b'The Young Sabot Maker',b'Henry Ossawa Tanner',b'1895',b'US',https://az333960.vo.msecnd.net/images-4/the-young-sabot-maker-henry-ossawa-tanner-1895-566c7a27.jpg
b'Landscape in Le Pouldu',b'Paul Gauguin',b'1894',b'FR',https://az333960.vo.msecnd.net/images-5/landscape-in-le-pouldu-paul-gauguin-1894-84f1b81c.jpg
b'Olive Orchard',b'Vincent van Gogh',b'1889',b'NL',https://az333960.vo.msecnd.net/images-1/olive-orchard-vincent-van-gogh-1889-3013d10e.jpg
|b'The Mill, Sunset'|,b'Thomas Cole',b'1844',b'US',https://az334034.vo.msecnd.net/images-5/the-mill-sunset-thomas-cole-1844-88ea1dd9.jpg
b'Portrait of Jean Carondelet',b'Jan Gossaert',b'Carondelet',b'NL',https://az333960.vo.msecnd.net/images-3/portrait-of-jean-carondelet-jan-gossaert-232dcdb2.jpg
b'Italian Woman at the Fountain',b'William-Adolphe Bouguereau',b'1869',b'FR',https://az333960.vo.msecnd.net/images-9/italian-woman-at-the-fountain-william-adolphe-bouguereau-1869-512ab5cf.jpg
b'Fantasy Interior with Jan Steen and the Family of Gerrit...',b'Jan Steen',b'Gerrit...',b'NL',https://az333959.vo.msecnd.net/images-6/fantasy-interior-with-jan-steen-and-the-family-of-gerrit-schouten-jan-steen-357b1c9a.jpg
b'Rose with Grey',b'Wassily Kandinsky',b'1924',b'RU',https://az333959.vo.msecnd.net/images-9/rose-with-grey-vasily-kandinsky-1924-4c684012.jpg
b'Saint John the Baptist in the desert',b'Michelangelo Merisi da Caravaggio',b'1602',b'IT',https://az334034.vo.msecnd.net/images-8/saint-john-the-baptist-in-the-desert-caravaggio-1602-217e037b.jpg
b'Falls of Yosemite',b'Albert Bierstadt',b'1880',,https://az333960.vo.msecnd.net/images-7/falls-of-yosemite-albert-bierstadt-1880-29b5377c.jpg
b'St Luke painting the Virgin',b'Guercino',b'Virgin',b'IT',https://az333959.vo.msecnd.net/images-9/st-luke-painting-the-virgin-guercino-22800df3.jpg
