Title,Artist,Year,Country,Thumbnail
b'Luncheon in the Studio',b'Edouard Manet',b'1868',b'FR',https://az333960.vo.msecnd.net/images-6/luncheon-in-the-studio-edouard-manet-1868-5aeed2d2.jpg
b'Reconstruction of the Acropolis and Areopagus in Athens',b'Leo von Klenze',b'1846',b'DE',https://az334033.vo.msecnd.net/images-1/reconstruction-of-the-acropolis-and-areopagus-in-athens-leo-von-klenze-1846-41528caa.jpg
b'I lock my door upon myself',b'Fernand Khnopff',b'1891',,https://az334033.vo.msecnd.net/images-4/i-lock-my-door-upon-myself-fernand-khnopff-1891-3301d724.jpg
|b'Portrait of Anne-Marie-Louise Th\xc3\xa9lusson, Countess of Sorcy'|,b'Jacques-Louis David',b'1790',b'FR',https://az333959.vo.msecnd.net/images-5/untitled-jacques-louis-david-1790-ede14ffa.jpg
|b'Faun, einer Amsel zupfeifend'|,b'Arnold B\xc3\xb6cklin',b'1863',b'CH',https://az334033.vo.msecnd.net/images-7/faun-einer-amsel-zupfeifend-arnold-bocklin-1863-0932df10.jpg
b'Vase with Twelve Sunflowers',b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-5/sunflowers-vincent-van-gogh-59e120d7.jpg
b'Judith',b'August Riedel',b'1840',b'DE',https://az333960.vo.msecnd.net/images-5/untitled-august-riedel-00f411ed.jpg
b'Melodrama',b'Honor\xc3\xa9 Daumier',b'1860',b'FR',https://az334033.vo.msecnd.net/images-6/untitled-honore-daumier-1860-1-cf74c736.jpg
b'Four Breton Women',b'Paul Gauguin',b'1886',b'FR',https://az334033.vo.msecnd.net/images-5/untitled-paul-gauguin-1886-1-e342f07f.jpg
b'Claude Monet painting in his studio',b'Edouard Manet',b'1874',b'FR',https://az333960.vo.msecnd.net/images-4/claude-monet-painting-in-his-studio-edouard-manet-1874-256f46a8.jpg
b'Don Quijote and Sancho Panza',b'Honor\xc3\xa9 Daumier',b'1868',b'FR',https://az333960.vo.msecnd.net/images-5/don-quijote-and-sancho-panza-honore-daumier-1868-58b00356.jpg
b'Fir Trees in the Snow',b'Caspar David Friedrich',b'1828',b'DE',https://az333959.vo.msecnd.net/images-6/untitled-caspar-david-friedrich-1828-1-1b0845be.jpg
|b'View of Arles, Flowering Orchards'|,b'Vincent van Gogh',b'1889',b'NL',https://az333959.vo.msecnd.net/images-6/view-of-arles-flowering-orchards-vincent-van-gogh-1889-17ca7696.jpg
b'Gazebo',b'Caspar David Friedrich',b'1818',b'DE',https://az334033.vo.msecnd.net/images-0/gazebo-caspar-david-friedrich-1818-e8dda3f7.jpg
b'The Poor Poet',b'Carl Spitzweg',b'1839',,https://az333960.vo.msecnd.net/images-7/the-poor-poet-carl-spitzweg-1839-5d1d3ebb.jpg
b'Italia and Germania',b'Johann Friedrich Overbeck',b'1811',,https://az333960.vo.msecnd.net/images-5/italia-and-germania-johann-friedrich-overbeck-1811-5025e881.jpg
b'Giant Mountains Landscape with Rising Fog',b'Caspar David Friedrich',b'1819',b'DE',https://az333960.vo.msecnd.net/images-2/giant-mountains-landscape-with-rising-fog-caspar-david-friedrich-1819-f132d585.jpg
b'Street in \xc3\x85sg\xc3\xa5rdstrand and a Woman in Red Dress',b'Edvard Munch',b'1901',b'NO',https://az334033.vo.msecnd.net/images-0/street-in-asgardstrand-and-a-woman-in-red-dress-edvard-munch-1901-bafad90c.jpg
