Title,Artist,Year,Country,Thumbnail
b"Les murmures de l'Amour",b'William-Adolphe Bouguereau',b'1889',b'FR',https://az333959.vo.msecnd.net/images-9/les-murmures-de-l-amour-william-adolphe-bouguereau-1889-863a738b.jpg
b'Seamstress at Window',b'Auguste Renoir',b'1909',b'FR',https://az334033.vo.msecnd.net/images-9/seamstress-at-window-pierre-auguste-renoir-1909-ab739fed.jpg
b'Animals at the Bottom of the Sea',b'Odilon Redon',b'Sea',b'FR',https://az334033.vo.msecnd.net/images-3/animals-at-the-bottom-of-the-sea-odilon-redon-c2118ebd.jpg
|b'Portrait of Marie Antoinette, Queen of France'|,b'Elisabeth Louise Vig\xc3\xa9e Le Brun',b'1788',b'FR',https://az333959.vo.msecnd.net/images-4/portrait-of-marie-antoinette-queen-of-france-louise-elisabeth-vigee-le-brun-1788-6fbaf29f.jpg
b'Rupe Tahiti',b'Paul Gauguin',b'1892',b'FR',https://az334034.vo.msecnd.net/images-8/rupe-tahiti-paul-gauguin-1892-cfe3792e.jpg
b'Mother and Child in the Conservatory',b'Mary Cassatt',b'1906',b'US',https://az334034.vo.msecnd.net/images-1/mother-and-child-in-the-conservatory-mary-cassatt-1906-4f3135c2.jpg
b'Portrait of the Artist',b'Thomas Couture',b'1850',b'FR',https://az333960.vo.msecnd.net/images-3/portrait-of-the-artist-thomas-couture-1850-3ef86ac2.jpg
b'Portrait of Flora Wertheimer',b'John Singer Sargent',b'Wertheimer',b'US',https://az333959.vo.msecnd.net/images-7/portrait-of-flora-wertheimer-john-singer-sargent-3c8f8f77.jpg
b'Portrait of Estelle Musson Degas',b'Edgar Degas',b'1872',b'FR',https://az334033.vo.msecnd.net/images-1/portrait-of-estelle-musson-degas-edgar-degas-1872-b029a5d6.jpg
b'Portrait of a Young Woman',b'Amedeo Modigliani',b'1918',b'IT',https://az333960.vo.msecnd.net/images-3/portrait-of-a-young-woman-amedeo-modigliani-1918-e249d21e.jpg
b'Louisiana Indians Walking Along a Bayou',b'Alfred Boisseau',b'1847',,https://az334034.vo.msecnd.net/images-6/louisiana-indians-walking-along-a-bayou-alfred-boisseau-1847-e4e303a5.jpg
b'Ideal View of Tivoli',b'Claude Lorrain',b'1644',b'FR',https://az334033.vo.msecnd.net/images-6/ideal-view-of-tivoli-claude-lorrain-1644-9865554e.jpg
b'Houses on the Old Bridge at Vernon',b'Claude Monet',b'1883',b'FR',https://az334033.vo.msecnd.net/images-2/houses-on-the-old-bridge-at-vernon-claude-monet-1883-731f78f3.jpg
|b'Portrait of Marie Ang\xc3\xa9lique V\xc3\xa9rany de Varennes, Mme...'|,b'Jean-Baptiste Greuze',b'1757',b'FR',https://az333960.vo.msecnd.net/images-2/portrait-of-marie-angelique-verany-de-varennes-mme-georges-gougenot-de-croissy-jean-baptiste-greuze-1757-ef355199.jpg
b'The Blue Kimono',b'Robert Henri',b'1909',b'US',https://az333959.vo.msecnd.net/images-1/the-blue-kimono-robert-henri-1909-ead90008.jpg
b'Othello and Desdemona',b'Alexandre-Marie Colin',b'1829',,https://az333960.vo.msecnd.net/images-0/othello-and-desdemona-alexandre-marie-colin-1829-39682b2d.jpg
b'Battle of New Orleans',b'Jean-Hyacinthe Laclotte',b'1815',,https://az333959.vo.msecnd.net/images-8/battle-of-new-orleans-jean-hyacinthe-laclotte-1815-f62db559.jpg
