Title,Artist,Year,Country,Thumbnail
b'The Course of Empire: Destruction',b'Thomas Cole',b'1836',b'US',https://az333960.vo.msecnd.net/images-6/the-course-of-empire-destruction-thomas-cole-1836-e3b5560e.jpg
b'The Course of Empire: The Savage State',b'Thomas Cole',b'1836',b'US',https://az333960.vo.msecnd.net/images-4/the-course-of-empire-the-savage-state-thomas-cole-1836-b02bcefb.jpg
b'The Course of Empire: Desolation',b'Thomas Cole',b'1836',b'US',https://az334033.vo.msecnd.net/images-8/the-course-of-empire-desolation-thomas-cole-1836-224b110a.jpg
|b'Bowling Green, New York City'|,b'David Johnson',b'1868',,https://az333960.vo.msecnd.net/images-7/bowling-green-new-york-city-david-johnson-1868-3a64601d.jpg
b'Autumn Woods',b'Albert Bierstadt',b'1886',,https://az334033.vo.msecnd.net/images-8/autumn-woods-albert-bierstadt-1886-2705ff79.jpg
b'Negro Life at the South',b'Eastman Johnson',b'South',,https://az333960.vo.msecnd.net/images-2/negro-life-at-the-south-eastman-johnson-7a5dcb9f.jpg
b'John Jay (1745-1829)',b'Oliver Ingraham Lay',b'(1745-1829)',,https://az333960.vo.msecnd.net/images-2/john-jay-1745-1829-oliver-ingraham-lay-ee8847a5.jpg
b'Bird shooting by the D\xc3\xbcsseldorf artists in the Grafenberg...',b'Friedrich Boser',b'1842',,https://az334033.vo.msecnd.net/images-8/bird-shooting-by-the-dusseldorf-artists-in-the-grafenberg-forest-friedrich-boser-1842-4efd0eee.jpg
b'John Brown (1736-1803)',b'Edward Greene Malbone',b'1794',,https://az333960.vo.msecnd.net/images-1/john-brown-1736-1803-edward-greene-malbone-1794-edee07c5.jpg
b'Thomas Jefferson',b'Rembrandt Peale',b'1805',b'US',https://az333960.vo.msecnd.net/images-1/thomas-jefferson-rembrandt-peale-1805-a658078a.jpg
b'The Course of Empire: Consummation',b'Thomas Cole',b'1836',b'US',https://az333960.vo.msecnd.net/images-7/the-course-of-empire-consummation-thomas-cole-1836-481d3ce6.jpg
b'The secret',b'William-Adolphe Bouguereau',b'1876',b'FR',https://az333959.vo.msecnd.net/images-9/the-secret-william-adolphe-bouguereau-1876-b08ee3d0.jpg
b'The Course of Empire: The Arcadian or Pastoral State',b'Thomas Cole',b'1834',b'US',https://az333960.vo.msecnd.net/images-3/the-course-of-empire-the-arcadian-or-pastoral-state-thomas-cole-1834-59fde2be.jpg
b'Pilgrims Going to Church',b'George Henry Boughton',b'Church',,https://az334033.vo.msecnd.net/images-2/pilgrims-going-to-church-george-henry-boughton-7430dff8.jpg
b'Lady Jane Grey Preparing for Execution',b'George Whiting Flagg',b'Execution',,https://az334033.vo.msecnd.net/images-4/lady-jane-grey-preparing-for-execution-george-whiting-flagg-afbfc141.jpg
b'Cortlandt Field Bishop (1870-1935)',b'William-Adolphe Bouguereau',b'1873',b'FR',https://az334034.vo.msecnd.net/images-9/cortlandt-field-bishop-1870-1935-william-adolphe-bouguereau-1873-89788de8.jpg
b'Erwachende Germania',b'Christian K\xc3\xb6hler',b'1850',,https://az334034.vo.msecnd.net/images-1/erwachende-germania-christian-kohler-1850-8cc53779.jpg
|b'Summer Twilight, A Recollection of a Scene in New-England'|,b'Thomas Cole',b'1834',b'US',https://az333959.vo.msecnd.net/images-3/summer-twilight-a-recollection-of-a-scene-in-new-england-thomas-cole-1834-ad444911.jpg
