Title,Artist,Year,Country,Thumbnail
b'A Praying Italian Woman',b'Martinus R\xc3\xb8rbye',b'Woman',b'DK',https://az334034.vo.msecnd.net/images-6/a-praying-italian-woman-martinus-rorbye-581d4249.jpg
b'Wintertime in Greenland',b'Carl Rasmussen',b'1875',,https://az333959.vo.msecnd.net/images-8/wintertime-in-greenland-carl-rasmussen-1875-91a6cc85.jpg
b'The stable',b'Philips Wouwerman',b'1659',,https://az333959.vo.msecnd.net/images-4/the-stable-philips-wouwerman-aa9804c0.jpg
b'Landscape by the Sound',b'Jens Juel',b'1800',b'DK',https://az334034.vo.msecnd.net/images-2/landscape-by-the-sound-jens-juel-1800-2cf8fd78.jpg
b'Sitting Nubian',b'Martinus R\xc3\xb8rbye',b'Nubian',b'DK',https://az333959.vo.msecnd.net/images-1/sitting-nubian-martinus-rorbye-560cd9e6.jpg
b'Sandbank',b'Jacob van Ruisdael',b'Sandbank',b'NL',https://az333960.vo.msecnd.net/images-0/sandbank-jacob-van-ruisdael-c76420cb.jpg
b'Portrait of a 39-year-old Woman',b'Rembrandt',b'Woman',b'NL',https://az334033.vo.msecnd.net/images-9/portrait-of-a-39-year-old-woman-rembrandt-f718003d.jpg
b'A monk examines himself in a mirror',b'Carl Bloch',b'1875',b'DK',https://az333960.vo.msecnd.net/images-3/a-monk-examines-himself-in-a-mirror-carl-bloch-1875-931c6136.jpg
b'The Declaration of Love',b'Nicolaes van Haeften',b'Love',,https://az333959.vo.msecnd.net/images-6/the-declaration-of-love-nicolaes-van-haeften-d81ae797.jpg
|b'Portrait Group with the Artist\xe2\x80\x99s Father, Brother and Sister'|,b'Sofonisba Anguissola',b'Sister',,https://az333959.vo.msecnd.net/images-3/portrait-group-with-the-artist-s-father-brother-and-sister-sofonisba-anguissola-6b8c5f4d.jpg
b'Hagar and Ishmael in the wilderness',b'Christoffer Wilhelm Eckersberg',b'1812',b'DK',https://az333959.vo.msecnd.net/images-4/hagar-and-ishmael-in-the-wilderness-christoffer-wilhelm-eckersberg-1812-626abb59.jpg
b'Self-portrait',b'Holger Roed',b'1863',,https://az333960.vo.msecnd.net/images-1/self-portrait-holger-roed-cd5fc636.jpg
b'Untitled',b'Martinus R\xc3\xb8rbye',b'Untitled',b'DK',https://az333960.vo.msecnd.net/images-5/untitled-martinus-rorbye-e5a49c01.jpg
b'Scene near Sorrento overlooking the Sea',b'Martinus R\xc3\xb8rbye',b'Sea',b'DK',https://az334033.vo.msecnd.net/images-8/scene-near-sorrento-overlooking-the-sea-martinus-rorbye-e8bc61c7.jpg
b'Moving Day Scene',b'Wilhelm Marstrand',b'1831',,https://az333959.vo.msecnd.net/images-0/moving-day-scene-wilhelm-marstrand-1831-a1355497.jpg
b'Untitled',b'Cima da Conegliano',b'Untitled',,https://az334034.vo.msecnd.net/images-8/untitled-cima-da-conegliano-2-9153e43c.jpg
b'Girl washing clothes',b'Pieter de Hooch',b'1660',b'NL',https://az334033.vo.msecnd.net/images-1/girl-washing-clothes-pieter-de-hooch-1660-2baefff9.jpg
b'The Corvette Najaden under Sail',b'Christoffer Wilhelm Eckersberg',b'Sail',b'DK',https://az333959.vo.msecnd.net/images-2/the-corvette-najaden-under-sail-christoffer-wilhelm-eckersberg-3b496004.jpg
b'Village on Fire at Night',b'Aert van der Neer',b'1600',,https://az333959.vo.msecnd.net/images-7/village-on-fire-at-night-aert-van-der-neer-1600-8e58fd39.jpg
b'The Empty Tankard',b'David Teniers the Younger',b'Tankard',b'NL',https://az334034.vo.msecnd.net/images-3/the-empty-tankard-david-teniers-the-younger-1a60d6d1.jpg
b'A farewell scene',b'Nicolai Abildgaard',b'scene',b'DK',https://az333960.vo.msecnd.net/images-3/a-farewell-scene-nicolai-abildgaard-b5bb75cf.jpg
b'Landscape with Watermill',b'Egbert van Drielst',b'Watermill',,https://az334034.vo.msecnd.net/images-9/landscape-with-watermill-egbert-van-drielst-96e815de.jpg
b'Frederiksborg Castle in Moonlight',b'Johan Christian Dahl',b'1817',b'NO',https://az333960.vo.msecnd.net/images-0/frederiksborg-castle-in-moonlight-johan-christian-dahl-1817-cf764df0.jpg
b"A Man o' War",b'Hendrick Cornelisz Vroom',b'War',,https://az333960.vo.msecnd.net/images-7/a-man-o-war-hendrick-cornelisz-vroom-c9f21525.jpg
b'Courtyard of the Palazzetto Farnese',b'Kristian Zahrtmann',b'1883',,https://az334033.vo.msecnd.net/images-5/courtyard-of-the-palazzetto-farnese-kristian-zahrtmann-1883-505e3b55.png
|b"Double Portrait of Georges d'Armagnac, Bishop of Rodez,..."|,b'Anonymous',b'1540',,https://az333960.vo.msecnd.net/images-4/double-portrait-of-georges-d-armagnac-bishop-of-rodez-french-ambassador-to-venice-and-his-secretary-guillaume-philandrier-copy-after-titian-c-1488-1576-anonymous-1540-38b7fa23.jpg
b'Peter Tutein with his Youngest Son Louis Alexander',b'Jens Juel',b'1800',b'DK',https://az334033.vo.msecnd.net/images-6/peter-tutein-with-his-youngest-son-louis-alexander-jens-juel-1800-c2f14d7b.jpg
b'Vielgeschrey\xe2\x80\x99s hardships',b'Wilhelm Marstrand',b'1850',,https://az334033.vo.msecnd.net/images-9/vielgeschrey-s-hardships-wilhelm-marstrand-1850-ccc74fa3.jpg
b'A young girl and two fishermen',b'Wilhelm Marstrand',b'1853',,https://az333959.vo.msecnd.net/images-5/a-young-girl-and-two-fishermen-wilhelm-marstrand-1853-2a573af4.jpg
b'Richard III terrified by nightmarish visions. Shakespeare...',b'Nicolai Abildgaard',b'Shakespeare...',b'DK',https://az333960.vo.msecnd.net/images-0/richard-iii-terrified-by-nightmarish-visions-shakespeare-act-5-scene-9-nicolai-abildgaard-fd716ac1.jpg
b'Flowers in a centrepiece on a marble windowsill with a...',b'Johan Laurentz Jensen',b'1846',,https://az333960.vo.msecnd.net/images-7/flowers-in-a-centrepiece-on-a-marble-windowsill-with-a-beech-branch-johan-laurentz-jensen-1846-5a0c36e3.jpg
b'Dancing Italian',b'Wilhelm Marstrand',b'1839',,https://az334034.vo.msecnd.net/images-9/dancing-italian-wilhelm-marstrand-1839-9e881d50.jpg
b'Cardinal blessing beggars at the church doors',b'Wilhelm Marstrand',b'1850',,https://az334034.vo.msecnd.net/images-1/cardinal-blessing-beggars-at-the-church-doors-wilhelm-marstrand-1850-f30e1176.jpg
b'Young campagnol',b'Wilhelm Marstrand',b'1850',,https://az334034.vo.msecnd.net/images-1/young-campagnol-wilhelm-marstrand-1850-45b08b58.jpg
b'Child Portrait of a Prince',b'Jacob van Doordt',b'1650',,https://az334033.vo.msecnd.net/images-5/child-portrait-of-a-prince-jacob-van-doordt-1650-b7dec972.jpg
b'Portrait of an Adolescent Boy',b'Anonymous',b'1500',,https://az334033.vo.msecnd.net/images-4/portrait-of-an-adolescent-boy-anonymous-1500-ded92422.jpg
b'The Banquet of the Gods',b'Cornelius van Poelenburgh',b'1600',,https://az334034.vo.msecnd.net/images-9/the-banquet-of-the-gods-cornelius-van-poelenburgh-1600-bee7b42e.jpg
