Title,Artist,Year,Country,Thumbnail
b'Roadblock (Bulldog Blocking Truck)',b'Norman Rockwell',b'1949',b'US',https://az333959.vo.msecnd.net/images-8/roadblock-norman-rockwell-1949-1f8b6328.jpg
b'Freedom of Speech',b'Norman Rockwell',b'1943',b'US',https://az334034.vo.msecnd.net/images-1/freedom-of-speech-norman-rockwell-1943-de959960.jpg
b'No Swimming',b'Norman Rockwell',b'1921',b'US',https://az334034.vo.msecnd.net/images-3/no-swimming-norman-rockwell-1921-64fe6375.jpg
b'Slim Finnegan',b'Norman Rockwell',b'1916',b'US',https://az334033.vo.msecnd.net/images-3/slim-finnegan-norman-rockwell-1916-cf45f475.jpg
b'Artists Costume Ball',b'Norman Rockwell',b'1921',b'US',https://az334033.vo.msecnd.net/images-8/artists-costume-ball-norman-rockwell-1921-5f594896.jpg
b'Cousin Reginald Spells Peloponnesus (Spelling Bee)',b'Norman Rockwell',b'1918',b'US',https://az333960.vo.msecnd.net/images-5/cousin-reginald-spells-peloponnesus-spelling-bee-norman-rockwell-1918-183e2b07.jpg
|b'Daniel Boone, Pioneer Scout'|,b'Norman Rockwell',b'1912',b'US',https://az334033.vo.msecnd.net/images-0/daniel-boone-pioneer-scout-norman-rockwell-1912-1b5bc08d.jpg
b'No swimming',b'Norman Rockwell',b'1921',b'US',https://az333960.vo.msecnd.net/images-7/no-swimming-norman-rockwell-1921-1-3351ab1f.jpg
b'Freedom from Want',b'Norman Rockwell',b'1943',b'US',https://az333960.vo.msecnd.net/images-4/freedom-from-want-norman-rockwell-1943-25b24067.jpg
b'Freedom from Fear',b'Norman Rockwell',b'1943',b'US',https://az333960.vo.msecnd.net/images-9/freedom-from-fear-norman-rockwell-1943-ee63ac5b.jpg
b'Freedom of Worship',b'Norman Rockwell',b'1943',b'US',https://az333960.vo.msecnd.net/images-9/freedom-of-worship-norman-rockwell-1943-52160d22.jpg
|b"The Magic Foot-ball, 'I thought you were wrong,' he said..."|,b'Norman Rockwell',b'1914',b'US',https://az334034.vo.msecnd.net/images-9/the-magic-foot-ball-i-thought-you-were-wrong-he-said-in-triumph-you-said-it-was-nine-stupid-norman-rockwell-1914-d38fbba1.jpg
b'U.S. Army Teaches a Trade (G.I. Telegrapher)',b'Norman Rockwell',b'1919',b'US',https://az333959.vo.msecnd.net/images-8/u-s-army-teaches-a-trade-g-i-telegrapher-norman-rockwell-1919-e3a86460.jpg
b'Scouting With Daniel Boone',b'Norman Rockwell',b'1914',b'US',https://az333959.vo.msecnd.net/images-5/scouting-with-daniel-boone-norman-rockwell-1914-c75bd28f.jpg
b'Girl in Snow With Dog',b'Norman Rockwell',b'1916',b'US',https://az333959.vo.msecnd.net/images-5/girl-in-snow-with-dog-norman-rockwell-1916-00ff83d2.jpg
b'A Late Arrival',b'William Thomas Smedley',b'1888',,https://az333959.vo.msecnd.net/images-6/a-late-arrival-william-thomas-smedley-1888-e0aec190.jpg
|b"Fishing Trip, They'll Be Coming Back Next Week"|,b'Norman Rockwell',b'1919',b'US',https://az334034.vo.msecnd.net/images-6/fishing-trip-they-ll-be-coming-back-next-week-norman-rockwell-1919-800bdd27.jpg
|b'Catch, The'|,b'Norman Rockwell',b'1919',b'US',https://az334033.vo.msecnd.net/images-1/catch-the-norman-rockwell-1919-c2307dd2.jpg
