Title,Artist,Year,Country,Thumbnail
b'Lotus Flowers with a Landscape Painting in the Background',b'Martin Johnson Heade',b'1885',b'US',https://az334033.vo.msecnd.net/images-4/lotus-flowers-with-a-landscape-painting-in-the-background-martin-johnson-heade-1885-2d9276a8.jpg
b'View of Dresden with the Frauenkirche at Left',b'Bernardo Bellotto',b'1747',b'IT',https://az333960.vo.msecnd.net/images-1/view-of-dresden-with-the-frauenkirche-at-left-bernardo-bellotto-1747-278f3277.jpg
b'A Meat Stall with the Holy Family Giving Alms',b'Pieter Aertsen',b'Alms',b'NL',https://az334033.vo.msecnd.net/images-0/a-meat-stall-with-the-holy-family-giving-alms-pieter-aertsen-a50f198f.jpg
b'The Fireside',b'Pieter de Hooch',b'Fireside',b'NL',https://az333959.vo.msecnd.net/images-1/the-fireside-pieter-de-hooch-9fd0356b.jpg
b'Untitled',b'Il Pordenone',b'1515',,https://az334033.vo.msecnd.net/images-7/untitled-il-pordenone-1515-c3f34c9f.jpg
b'Untitled',b'Jan Lievens',b'1625',b'NL',https://az333959.vo.msecnd.net/images-4/untitled-jan-lievens-1625-87dcd8fc.jpg
b'Untitled',b'Gerbrand van den Eeckhout',b'1666',b'NL',https://az333959.vo.msecnd.net/images-8/untitled-gerbrand-van-den-eeckhout-1666-4f5778dd.jpg
b'St. Jerome Punishing the Heretic Sabinian',b'Raphael',b'1500',b'IT',https://az334034.vo.msecnd.net/images-8/st-jerome-punishing-the-heretic-sabinian-raphael-1500-23b2c22f.jpg
b'Untitled',b'Cima da Conegliano',b'1496',,https://az334033.vo.msecnd.net/images-5/untitled-cima-da-conegliano-1496-4-e756b2b2.jpg
b'St. Matthew and the Angel',b'Karel van der Pluym',b'Angel',,https://az334033.vo.msecnd.net/images-6/st-matthew-and-the-angel-karel-van-der-pluym-e874131b.jpg
b'Adoration of the Shepherds',b'Matthias Stom',b'1635',b'NL',https://az334034.vo.msecnd.net/images-5/adoration-of-the-shepherds-matthias-stom-1635-ac93271b.jpg
b'Renaissance Interior with Banqueters',b'Bartholomeus van Bassen',b'1620',b'NL',https://az333960.vo.msecnd.net/images-8/renaissance-interior-with-banqueters-bartholomeus-van-bassen-1620-69580f53.jpg
b'Wooded Landscape with Waterfall',b'Jacob van Ruisdael',b'Waterfall',b'NL',https://az333959.vo.msecnd.net/images-5/wooded-landscape-with-waterfall-jacob-van-ruisdael-0fd5a2ec.jpg
b'Untitled',b'Pinturicchio',b'1494',b'IT',https://az334034.vo.msecnd.net/images-8/untitled-pinturicchio-1494-1dd92283.jpg
b'Untitled',b'Giotto di Bondone',b'1318',b'IT',https://az333959.vo.msecnd.net/images-6/untitled-giotto-di-bondone-1318-9ca47186.jpg
|b'Bridal Veil Falls, Yosemite'|,b'Albert Bierstadt',b'1871',,https://az333960.vo.msecnd.net/images-1/bridal-veil-falls-yosemite-albert-bierstadt-1871-7018d9df.jpg
b'Joan of Arc',b'Peter Paul Rubens',b'1620',b'NL',https://az333960.vo.msecnd.net/images-5/joan-of-arc-peter-paul-rubens-1620-e722b95f.jpg
|b'The Seine at Giverny, Morning Mists'|,b'Claude Monet',b'1897',b'FR',https://az333960.vo.msecnd.net/images-6/the-seine-at-giverny-morning-mists-claude-monet-1897-9e18eaf1.jpg
b'The Eruption of Mt. Vesuvius',b'Pierre-Jacques Volaire',b'1777',,https://az333960.vo.msecnd.net/images-3/the-eruption-of-mt-vesuvius-pierre-jacques-volaire-1777-5282239a.jpg
b'Portrait of Jan van Hellemont (1616-1665)',b'Govert Flinck',b'1646',b'NL',https://az334034.vo.msecnd.net/images-0/portrait-of-jan-van-hellemont-1616-1665-govert-flinck-1646-49646f3c.jpg
b'A Fisher Boy',b'Anonymous',b'1645',,https://az334034.vo.msecnd.net/images-6/a-fisher-boy-anonymous-1645-5460e5b8.jpg
b'Portrait of Theodore Turquet de Mayerne',b'Peter Paul Rubens',b'1631',b'NL',https://az333960.vo.msecnd.net/images-6/portrait-of-theodore-turquet-de-mayerne-peter-paul-rubens-1631-199508cf.jpg
b'Pastoral Scene',b'Jan Siberechts',b'1668',,https://az334034.vo.msecnd.net/images-9/pastoral-scene-jan-siberechts-1668-a4e466f0.jpg
b'Portrait of a Gentleman',b'Thomas de Keyser',b'1626',,https://az333960.vo.msecnd.net/images-4/portrait-of-a-gentleman-thomas-de-keyser-1626-8042943b.jpg
b'Portrait of Degas',b'Jacques-\xc3\x89mile Blanche',b'1903',b'FR',https://az334033.vo.msecnd.net/images-3/portrait-of-degas-jacques-emile-blanche-1903-cc46ddaa.jpg
b'The Pentecost',b'Anonymous',b'1530',,https://az333960.vo.msecnd.net/images-3/the-pentecost-anonymous-1530-824ba108.jpg
b'Soldiers at Reveille',b'Ludolf Leendertsz de Jongh',b'1653',,https://az333959.vo.msecnd.net/images-0/soldiers-at-reveille-ludolf-leendertsz-de-jongh-1653-c119bd21.jpg
b'Market Scene on a Quay',b'Frans Snyders',b'1637',,https://az333960.vo.msecnd.net/images-4/market-scene-on-a-quay-frans-snyders-1637-cd8cb64d.jpg
b'Portrait of a Gentleman',b'Antonis Mor',b'1570',,https://az333959.vo.msecnd.net/images-7/portrait-of-a-gentleman-antonis-mor-1570-f2fb6f59.jpg
b'Swan Attacked by a Dog',b'Jean-Baptiste Oudry',b'1745',,https://az334033.vo.msecnd.net/images-7/swan-attacked-by-a-dog-jean-baptiste-oudry-1745-7a88227a.jpg
