Title,Artist,Year,Country,Thumbnail
b'Fra Hardanger',b'Adelsteen Normann',b'1900',b'NO',https://az334034.vo.msecnd.net/images-3/fra-hardanger-adelsteen-normann-1900-fcb71555.jpg
b'Coastal Landscape',b'Martin Aagaard',b'Landscape',b'NO',https://az334033.vo.msecnd.net/images-1/coastal-landscape-martin-aagaard-d9f19667.jpg
b'Drying the sails',b'Hans Gude',b'sails',,https://az333959.vo.msecnd.net/images-2/drying-the-sails-hans-gude-0f01f648.jpg
b'Ship on the open sea',b'Carl Wilhelm B\xc3\xb8ckmann Barth',b'1910',,https://az334033.vo.msecnd.net/images-1/ship-on-the-open-sea-carl-wilhelm-bockmann-barth-1910-401bd4b7.jpg
b'Sea-gull off the beach',b'Eilif Peterssen',b'1892',,https://az333959.vo.msecnd.net/images-3/sea-gull-off-the-beach-eilif-peterssen-1892-584b1142.jpg
b'"Viking" arrives in Chicago',b'Hjalmar Johnssen',b'1898',,https://az333960.vo.msecnd.net/images-5/viking-arrives-in-chicago-hjalmar-johnssen-1898-f0093ee1.jpg
b'Untitled',b'Lauritz Haaland',b'1908',,https://az333959.vo.msecnd.net/images-8/untitled-lauritz-haaland-1908-5a7e21f0.jpg
b'Beach at J\xc3\xa6ren',b'Nicolai Ulfsten',b'1883',,https://az334033.vo.msecnd.net/images-7/beach-at-jaeren-nicolai-ulfsten-1883-b79e5edd.jpg
b'Fishermen at Kvits\xc3\xb8y',b'Haakon Jensen Kaulum',b'1888',,https://az333960.vo.msecnd.net/images-2/fishermen-at-kvitsoy-haakon-jensen-kaulum-1888-f315b539.jpg
b'Arrival of the Mail Steamer at Lofoten',b'Adelsteen Normann',b'1885',b'NO',https://az334034.vo.msecnd.net/images-6/arrival-of-the-mail-steamer-at-lofoten-adelsteen-normann-1885-e4d6cb0f.jpg
b'Summer evening from the Kristianiafjord',b'Hans Gude',b'Kristianiafjord',,https://az333960.vo.msecnd.net/images-9/summer-evening-from-the-kristianiafjord-hans-gude-483e2700.jpg
b'From Rouen harbor',b'Johannes Grimelund',b'1893',,https://az334033.vo.msecnd.net/images-4/from-rouen-harbor-johannes-grimelund-1893-d86aab37.jpg
b'Palermo harbour',b'Carl Wilhelm B\xc3\xb8ckmann Barth',b'harbour',,https://az333959.vo.msecnd.net/images-2/palermo-harbour-carl-wilhelm-bockmann-barth-4c20c759.jpg
b"At the ferryman's",b'Anders Askevold',b'1887',,https://az334034.vo.msecnd.net/images-3/at-the-ferryman-s-anders-askevold-1887-20e30976.jpg
b'Navy frigate at Kronborg Castle',b'Edvard Skari',b'Castle',,https://az334034.vo.msecnd.net/images-9/navy-frigate-at-kronborg-castle-edvard-skari-96646c74.jpg
b'Fisher men at Kvits\xc3\xb8y',b'Lauritz Haaland',b'1886',,https://az334034.vo.msecnd.net/images-9/fisher-men-at-kvitsoy-lauritz-haaland-1886-10f49c11.jpg
b'The herring are in',b'Christian Krohg',b'in',b'NO',https://az334034.vo.msecnd.net/images-8/the-herring-are-in-christian-krohg-b3565dd9.jpg
b'Summer night at Arisholmen',b'Amaldus Nielsen',b'Arisholmen',,https://az333959.vo.msecnd.net/images-2/summer-night-at-arisholmen-amaldus-nielsen-6939759d.jpg
