Title,Artist,Year,Country,Thumbnail
b'Apple-Picking',b'Camille Pissarro',b'Apple-Picking',b'FR',https://az334033.vo.msecnd.net/images-0/apple-picking-camille-pissarro-4ad5576f.jpg
b'Delightful Land (Te Nave Nave Fenua)',b'Paul Gauguin',b'1892',b'FR',https://az333960.vo.msecnd.net/images-5/delightful-land-te-nave-nave-fenua-paul-gauguin-1892-af5ab493.jpg
b'Portrait of Jeanne H\xc3\xa9buterne',b'Amedeo Modigliani',b'1919',b'IT',https://az334033.vo.msecnd.net/images-5/portrait-of-jeanne-hebuterne-amedeo-modigliani-1919-3a8d3c5b.jpg
b'Bell-Tower Keeper',b'Odilon Redon',b'1910',b'FR',https://az333959.vo.msecnd.net/images-2/bell-tower-keeper-odilon-redon-aa152200.jpg
b'Fantasy',b'Pierre Puvis de Chavannes',b'1866',b'FR',https://az333959.vo.msecnd.net/images-5/fantasy-pierre-puvis-de-chavannes-1866-68a0a5a9.jpg
b'Backstage\xe2\x80\x95Symphony in Blue',b'Jean-Louis Forain',b'1900',b'FR',https://az334034.vo.msecnd.net/images-2/backstage-symphony-in-blue-jean-louis-forain-1900-e46928cc.jpg
b'Festival of Venice',b'Edmond Aman-Jean',b'1923',,https://az334034.vo.msecnd.net/images-1/festival-of-venice-edmond-aman-jean-1923-d65cbb1c.jpg
b'Meditation',b'Eug\xc3\xa8ne Carri\xc3\xa8re',b'Meditation',b'FR',https://az334034.vo.msecnd.net/images-7/meditation-eugene-carriere-15858582.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1855',b'FR',https://az334033.vo.msecnd.net/images-0/untitled-jean-baptiste-camille-corot-1855-1-b1c3ad7d.jpg
b'Landscape',b'Paul C\xc3\xa9zanne',b'1888',b'FR',https://az333960.vo.msecnd.net/images-7/landscape-paul-cezanne-1888-c5101f12.jpg
b'Autumn Sea',b'Gustave Courbet',b'1867',b'FR',https://az334033.vo.msecnd.net/images-5/autumn-sea-gustave-courbet-1867-4d94f6ec.jpg
b'Madame Marthe X\xe2\x80\x95Bordeaux',b'Henri de Toulouse-Lautrec',b'1900',b'FR',https://az333959.vo.msecnd.net/images-4/madame-marthe-x-bordeaux-henri-de-toulouse-lautrec-1900-72c57aea.jpg
b'Canal of Overschie',b'Paul Signac',b'1906',b'FR',https://az334034.vo.msecnd.net/images-9/canal-of-overschie-paul-signac-1906-76ac1997.jpg
b'Scene in Bagneux on the Outskirts of Paris',b'Henri Rousseau',b'1909',b'FR',https://az334033.vo.msecnd.net/images-1/scene-in-bagneux-on-the-outskirts-of-paris-henri-rousseau-1909-98054eab.jpg
b'Street in Asni\xc3\xa8res',b'Jean-Francois Raffaelli',b'Asni\xc3\xa8res',b'FR',https://az333959.vo.msecnd.net/images-8/street-in-asnieres-jean-francois-raffaelli-f8433361.jpg
b'Woodcutter',b'Ferdinand Hodler',b'1910',,https://az334034.vo.msecnd.net/images-7/woodcutter-ferdinand-hodler-1910-a9c4d1eb.jpg
b'Glass and Water Bottle',b'Juan Gris',b'1917',b'ES',https://az333960.vo.msecnd.net/images-2/glass-and-water-bottle-juan-gris-1917-0cd305e3.jpg
b'Woman by Spring',b'Auguste Renoir',b'1914',b'FR',https://az333959.vo.msecnd.net/images-6/woman-by-spring-pierre-auguste-renoir-1914-b6094b12.jpg
