Title,Artist,Year,Country,Thumbnail
|b'El Khasne, Petra'|,b'Frederic Edwin Church',b'1874',b'US',https://az334033.vo.msecnd.net/images-0/el-khasne-petra-frederic-edwin-church-1874-51689682.jpg
|b'Sunset, Bar Harbor'|,b'Frederic Edwin Church',b'1854',b'US',https://az334033.vo.msecnd.net/images-1/sunset-bar-harbor-frederic-edwin-church-1854-e10a41e4.jpg
b'The Charter Oak',b'Frederic Edwin Church',b'1847',b'US',https://az333959.vo.msecnd.net/images-9/the-charter-oak-frederic-edwin-church-1847-4e782b1d.jpg
b'Clouds over Olana',b'Frederic Edwin Church',b'1872',b'US',https://az333960.vo.msecnd.net/images-7/clouds-over-olana-frederic-edwin-church-1872-f2570e46.jpg
b'El Khasne',b'Frederic Edwin Church',b'1874',b'US',https://az333960.vo.msecnd.net/images-9/el-khasne-frederic-edwin-church-1874-c0ed8885.jpg
b'Winter Twilight from Olana',b'Frederic Edwin Church',b'1871',b'US',https://az334033.vo.msecnd.net/images-5/winter-twilight-from-olana-frederic-edwin-church-1871-b1257a65.jpg
b'Mount Chimborazo',b'Frederic Edwin Church',b'1863',b'US',https://az334034.vo.msecnd.net/images-2/mount-chimborazo-frederic-edwin-church-1863-b2e6f08e.jpg
|b'Horseshoe Falls, Niagara'|,b'Frederic Edwin Church',b'1857',b'US',https://az334033.vo.msecnd.net/images-4/horseshoe-falls-niagara-frederic-edwin-church-1857-0ff38f5f.jpg
b'Study for "Under Niagara"',b'Frederic Edwin Church',b'1858',b'US',https://az333960.vo.msecnd.net/images-7/study-for-under-niagara-frederic-edwin-church-1858-1f364d09.jpg
b'Sunrise',b'Frederic Edwin Church',b'1847',b'US',https://az333960.vo.msecnd.net/images-3/sunrise-frederic-edwin-church-1847-f5280aec.jpg
