Title,Artist,Year,Country,Thumbnail
b'El tiempo',b'Francisco de Goya',b'tiempo',b'ES',https://az334034.vo.msecnd.net/images-6/el-tiempo-francisco-de-goya-eb70a2f7.jpg
b'Une apr\xc3\xa8s-din\xc3\xa9e \xc3\xa0 Ornans',b'Gustave Courbet',b'1849',b'FR',https://az334034.vo.msecnd.net/images-6/untitled-gustave-courbet-2-fbd69c25.jpg
b'Belisarius Begging for Alms',b'Jacques-Louis David',b'1780',b'FR',https://az333960.vo.msecnd.net/images-1/belisarius-begging-for-alms-jacques-louis-david-1780-99658a9a.jpg
b'Untitled',b'Luc-Olivier Merson',b'Untitled',b'FR',https://az334033.vo.msecnd.net/images-1/untitled-luc-olivier-merson-f72eaef7.jpg
b'The Descent from the Cross',b'Peter Paul Rubens',b'1610',b'NL',https://az333960.vo.msecnd.net/images-9/the-descent-from-the-cross-peter-paul-rubens-1610-cefc86c8.jpg
b'Crucifixion',b'Anthony van Dyck',b'Crucifixion',b'NL',https://az333960.vo.msecnd.net/images-5/crucifixion-anthony-van-dyck-7c12b4d1.jpg
b'Large Vanitas',b'Pieter Boel',b'Vanitas',,https://az333959.vo.msecnd.net/images-1/large-vanitas-pieter-boel-ccf32316.jpg
b'The Kiss',b'Carolus-Duran',b'1868',b'FR',https://az333959.vo.msecnd.net/images-3/untitled-carolus-duran-1868-4721a81d.jpg
b'The Letter',b'Francisco de Goya',b'1814',b'ES',https://az334033.vo.msecnd.net/images-2/the-letter-francisco-de-goya-1814-8abc883f.jpg
b'Napoleon in Imperial Costume',b'Jacques-Louis David',b'1805',b'FR',https://az334034.vo.msecnd.net/images-6/napoleon-in-imperial-costume-jacques-louis-david-1805-429102a2.jpg
b'Birth of Venus',b'Eug\xc3\xa8ne Emmanuel Amaury Duval',b'1862',,https://az333960.vo.msecnd.net/images-7/untitled-eugene-emmanuel-amaury-duval-1862-158f3687.jpg
|b'Marine by Calm, Sunset Effect'|,b'Claude-Joseph Vernet',b'1748',b'FR',https://az334033.vo.msecnd.net/images-3/marine-by-calm-sunset-effect-claude-joseph-vernet-1748-ff8fdf1f.jpg
b'Vanity',b'Alfred Agache',b'1885',b'FR',https://az334033.vo.msecnd.net/images-5/vanity-alfred-agache-1885-f980580c.jpg
b'Untitled',b'Charles de Steuben',b'1833',,https://az333960.vo.msecnd.net/images-7/untitled-charles-de-steuben-1833-20f69703.jpg
|b'Fruits, Shells and Insects'|,b'Balthasar van der Ast',b'1623',b'NL',https://az334033.vo.msecnd.net/images-6/fruits-shells-and-insects-balthasar-van-der-ast-1623-380ff48a.jpg
b'Concert in the Egg',b'Anonymous',b'1561',,https://az334034.vo.msecnd.net/images-5/concert-in-the-egg-anonymous-1561-a294bf99.jpg
b'Cows',b'Vincent van Gogh',b'1890',b'NL',https://az333960.vo.msecnd.net/images-4/untitled-vincent-van-gogh-3-66b07bff.jpg
b'F\xc3\xaat\xc3\xa9e',b'Joseph Marius Jean Avy',b'1906',,https://az333960.vo.msecnd.net/images-9/fetee-joseph-marius-jean-avy-1906-0d8fa99c.jpg
