Title,Artist,Year,Country,Thumbnail
b'Penitent Magdalene',b'Titian',b'1533',b'IT',https://az334034.vo.msecnd.net/images-3/penitent-magdalene-titian-1533-39f0c1b8.jpg
b'Madonna della seggiola',b'Raphael',b'1513',b'IT',https://az334034.vo.msecnd.net/images-0/madonna-della-seggiola-raphael-1513-72bf5b6c.jpg
b'Portrait of Fra Antonio Martelli',b'Michelangelo Merisi da Caravaggio',b'1607',b'IT',https://az334034.vo.msecnd.net/images-7/portrait-of-fra-antonio-martelli-caravaggio-1607-1ea013b2.jpg
b'Still life with fruits and dishes',b'Willem van Aelst',b'1653',,https://az334033.vo.msecnd.net/images-3/untitled-willem-van-aelst-1653-14357d90.jpg
|b'Flowers, fruit,  reptiles, and insects on the edge of a wood'|,b'Rachel Ruysch',b'wood',b'NL',https://az334033.vo.msecnd.net/images-9/flowers-fruit-reptiles-and-insects-on-the-edge-of-a-wood-rachel-ruysch-0756d8a8.jpg
b'Portrait of a Young Englishman',b'Titian',b'1540',b'IT',https://az334033.vo.msecnd.net/images-3/portrait-of-a-young-englishman-titian-1540-1b5fc4d0.jpg
b'Portrait of Pietro Aretino',b'Titian',b'1545',b'IT',https://az333960.vo.msecnd.net/images-3/portrait-of-pietro-aretino-titian-1545-5e8f617d.jpg
b'Marine Landscape with Towers',b'Salvator Rosa',b'1645',b'IT',https://az334034.vo.msecnd.net/images-8/marine-landscape-with-towers-salvator-rosa-1645-3bcf07eb.jpg
b'Self-portrait',b'Ida Botti Scifoni',b'1830',,https://az334033.vo.msecnd.net/images-2/self-portrait-ida-botti-scifoni-1830-1523210e.jpg
b'Madonna and Child',b'Artemisia Gentileschi',b'1630',b'IT',https://az333959.vo.msecnd.net/images-7/madonna-and-child-artemisia-gentileschi-1630-a6cba502.jpg
b'The Penitent Mary Magdalen',b'Artemisia Gentileschi',b'Magdalen',b'IT',https://az333959.vo.msecnd.net/images-1/the-penitent-mary-magdalen-artemisia-gentileschi-f9c2362a.jpg
b'Resurrection',b'Peter Paul Rubens',b'1616',b'NL',https://az333959.vo.msecnd.net/images-8/resurrection-peter-paul-rubens-1616-550a9967.jpg
b'The Three Ages of Man',b'Giorgione',b'1500',,https://az334033.vo.msecnd.net/images-0/the-three-ages-of-man-giorgione-1500-337e1d66.jpg
b'The Three Graces',b'Peter Paul Rubens',b'Graces',b'NL',https://az333960.vo.msecnd.net/images-5/the-three-graces-peter-paul-rubens-5ca047f9.jpg
b'The infant Hercules strangling serpents in his cradle',b'Pompeo Batoni',b'1743',,https://az334034.vo.msecnd.net/images-9/the-infant-hercules-strangling-serpents-in-his-cradle-pompeo-batoni-1743-3f0928d1.jpg
b'Hercules at the Crossroads',b'Pompeo Batoni',b'1742',,https://az333960.vo.msecnd.net/images-2/hercules-at-the-crossroads-pompeo-batoni-1742-9b342710.jpg
|b'Flowers in a glass vase, with pomegranites, on a marble...'|,b'Rachel Ruysch',b'marble...',b'NL',https://az334034.vo.msecnd.net/images-7/flowers-in-a-glass-vase-with-pomegranites-on-a-marble-balustrade-rachel-ruysch-ed93d2da.jpg
b'Untitled',b'Pietro Perugino',b'1495',b'IT',https://az333959.vo.msecnd.net/images-4/untitled-pietro-perugino-1495-6a4f1e2b.jpg
