Title,Artist,Year,Country,Thumbnail
b'Ruth St. Denis in the Peacock Dance',b'Robert Henri',b'1919',b'US',https://az333960.vo.msecnd.net/images-5/ruth-st-denis-in-the-peacock-dance-robert-henri-1919-49a79d2b.jpg
b'The Death of Colonel Owen Roberts',b'Henry Benbridge',b'1779',b'US',https://az334033.vo.msecnd.net/images-9/the-death-of-colonel-owen-roberts-henry-benbridge-1779-6c499e96.jpg
b"Painter's Triumph",b'William Sidney Mount',b'1838',,https://az333959.vo.msecnd.net/images-9/painter-s-triumph-william-sidney-mount-1838-df2901f6.jpg
b'New England Woman',b'Cecilia Beaux',b'1895',b'US',https://az334033.vo.msecnd.net/images-2/new-england-woman-cecilia-beaux-1895-54fbcda4.jpg
b'Apple Blossom Time',b'George Inness',b'1883',b'US',https://az333960.vo.msecnd.net/images-6/apple-blossom-time-george-inness-1883-b290fed6.jpg
b'North River',b'George Bellows',b'1908',b'US',https://az333959.vo.msecnd.net/images-5/north-river-george-bellows-1908-47f65a12.jpg
b'Venice',b'Thomas Moran',b'1887',b'US',https://az334033.vo.msecnd.net/images-0/venice-thomas-moran-1887-945bb347.jpg
b'Edward H. Coates',b'Robert Vonnoh',b'1893',,https://az333960.vo.msecnd.net/images-3/edward-h-coates-robert-vonnoh-1893-d55a579f.jpg
|b'Landscape with Farm Building, Concarneau, France'|,b'Cecilia Beaux',b'1888',b'US',https://az333960.vo.msecnd.net/images-0/landscape-with-farm-building-concarneau-france-cecilia-beaux-1888-d3372f01.jpg
b'A Breezy Day',b'Charles Courtney Curran',b'1887',b'US',https://az334034.vo.msecnd.net/images-6/a-breezy-day-charles-courtney-curran-1887-982deb3d.jpg
b'The Fox Hunt',b'Winslow Homer',b'1893',b'US',https://az333960.vo.msecnd.net/images-6/the-fox-hunt-winslow-homer-1893-fb8d15a0.jpg
b'Hovel and the Skyscraper',b'Childe Hassam',b'1904',b'US',https://az333960.vo.msecnd.net/images-9/hovel-and-the-skyscraper-childe-hassam-1904-f474526d.jpg
b'Fantasie',b'Charles Sprague Pearce',b'1883',,https://az334033.vo.msecnd.net/images-9/fantasie-charles-sprague-pearce-1883-490c251a.jpg
b'Mother and Daughter',b'Cecilia Beaux',b'1898',b'US',https://az333959.vo.msecnd.net/images-5/mother-and-daughter-cecilia-beaux-1898-29968a5f.jpg
b'In the Wash-House',b'Anna Elizabeth Klumpke',b'1888',,https://az333960.vo.msecnd.net/images-5/in-the-wash-house-anna-elizabeth-klumpke-1888-e50131bf.jpg
b'Basque Landscape',b'Leon Kroll',b'1914',b'US',https://az334033.vo.msecnd.net/images-5/basque-landscape-leon-kroll-1914-b9d0a02f.jpg
b'Murder of Rutland by Lord Clifford',b'Charles Robert Leslie',b'1815',,https://az334033.vo.msecnd.net/images-4/murder-of-rutland-by-lord-clifford-charles-robert-leslie-1815-7950f1bd.jpg
