Title,Artist,Year,Country,Thumbnail
b'Il Saltimbanco',b'Antonio Mancini',b'1879',b'IT',https://az334034.vo.msecnd.net/images-8/il-saltimbanco-antonio-mancini-1879-50321eda.jpg
|b'Still Life before an Open Window, Place Ravignan'|,b'Juan Gris',b'1915',b'ES',https://az334034.vo.msecnd.net/images-5/still-life-before-an-open-window-place-ravignan-juan-gris-1915-dda86745.jpg
b'The Merry Jesters',b'Henri Rousseau',b'1906',b'FR',https://az333960.vo.msecnd.net/images-3/the-merry-jesters-henri-rousseau-1906-10c7b2f9.jpg
b'Portrait of Frances Sherborne Ridley Watts',b'John Singer Sargent',b'1877',b'US',https://az334034.vo.msecnd.net/images-6/portrait-of-frances-sherborne-ridley-watts-john-singer-sargent-1877-a24f026c.jpg
b'Portrait of a Lady in Black (Annie Traquair Lang)',b'William Merritt Chase',b'1911',b'US',https://az334033.vo.msecnd.net/images-4/portrait-of-a-lady-in-black-annie-traquair-lang-william-merritt-chase-1911-ff477994.jpg
b'Portrait of Mademoiselle Legrand',b'Auguste Renoir',b'1875',b'FR',https://az333959.vo.msecnd.net/images-9/portrait-of-mademoiselle-legrand-pierre-auguste-renoir-1875-502863e9.jpg
b'In the Luxembourg Gardens',b'John Singer Sargent',b'1879',b'US',https://az333960.vo.msecnd.net/images-3/in-the-luxembourg-gardens-john-singer-sargent-1879-15ac879c.jpg
b'Portrait of a Roman Lady (La Nanna)',b'Frederic Leighton',b'1859',b'GB',https://az333960.vo.msecnd.net/images-0/portrait-of-a-roman-lady-la-nanna-frederic-leighton-1859-59ffad74.jpg
|b'Departing for the Promenade (Will You Go Out with Me, Fido?)'|,b'Alfred Stevens',b'1859',b'BE',https://az334034.vo.msecnd.net/images-6/departing-for-the-promenade-will-you-go-out-with-me-fido-alfred-e-stevens-1859-03ecaca7.jpg
b'The Young Amphibians',b'Joaquin Sorolla y Bastida',b'1903',b'ES',https://az334034.vo.msecnd.net/images-0/the-young-amphibians-joaquin-sorolla-y-bastida-1903-cb59cb10.jpg
