Title,Artist,Year,Country,Thumbnail
b'The Shepherdess',b'William-Adolphe Bouguereau',b'1889',b'FR',https://az333959.vo.msecnd.net/images-2/the-shepherdess-william-adolphe-bouguereau-1889-08d17f2c.jpg
b'The Catskill Valley',b'Asher Brown Durand',b'1863',,https://az334033.vo.msecnd.net/images-3/the-catskill-valley-asher-brown-durand-1863-3b77ff31.jpg
|b'Portrait of Mrs. V, Mrs. Herman Duryea'|,b'John White Alexander',b'Duryea',b'US',https://az334034.vo.msecnd.net/images-3/portrait-of-mrs-v-mrs-herman-duryea-john-white-alexander-5aec3a69.jpg
b'The Flax Spinner',b'Jules Breton',b'1872',,https://az334033.vo.msecnd.net/images-1/the-flax-spinner-jules-breton-1872-8d053e10.jpg
b'A Bishop Saint Blessing',b'Vittore Carpaccio',b'1514',b'IT',https://az333960.vo.msecnd.net/images-2/a-bishop-saint-blessing-vittore-carpaccio-1514-9172eefe.jpg
b'Saint John the Baptist',b'Vittore Carpaccio',b'1505',b'IT',https://az333960.vo.msecnd.net/images-0/saint-john-the-baptist-vittore-carpaccio-1505-b497ab9c.jpg
b'Madonna and Child with Saints and Angels',b'Piero di Cosimo',b'1520',b'IT',https://az333959.vo.msecnd.net/images-2/madonna-and-child-with-saints-and-angels-piero-di-cosimo-1520-f4d3efe4.jpg
b'The Adoration of the Child with Saints and Donors',b"Biagio d'Antonio",b'1476',,https://az333960.vo.msecnd.net/images-4/the-adoration-of-the-child-with-saints-and-donors-biagio-d-antonio-1476-f2616511.jpg
b'The Entombment of Christ',b'Luca Giordano',b'1655',b'IT',https://az334034.vo.msecnd.net/images-0/the-entombment-of-christ-luca-giordano-1655-fc24af4a.jpg
b'Bathsheba at her Bath',b'Jean Fran\xc3\xa7ois de Troy',b'1750',,https://az334034.vo.msecnd.net/images-1/bathsheba-at-her-bath-jean-francois-de-troy-1750-7f0400db.jpg
b'Madonna with Child and Two Angels',b'Gentile da Fabriano',b'1410',b'IT',https://az334033.vo.msecnd.net/images-3/untitled-gentile-da-fabriano-1410-8b8edfec.jpg
b'The Temptation of Christ by the Devil',b'F\xc3\xa9lix-Joseph Barrias',b'Devil',,https://az333959.vo.msecnd.net/images-4/the-temptation-of-christ-by-the-devil-felix-joseph-barrias-7003597e.jpg
b'Saint Peter Martyr',b'Vittore Carpaccio',b'1505',b'IT',https://az333959.vo.msecnd.net/images-9/saint-peter-martyr-vittore-carpaccio-1505-5d74322b.jpg
b'Hanging Scroll (pair of pheasants)',b'Maruyama \xc5\x8ckyo',b'1750',,https://az334034.vo.msecnd.net/images-9/hanging-scroll-pair-of-pheasants-maruyama-okyo-1750-f9e99773.jpg
b'The Death of Saint Joseph',b'Simone Barabino',b'1620',,https://az334033.vo.msecnd.net/images-8/the-death-of-saint-joseph-simone-barabino-1620-da64f078.jpg
b'Apparition of the Host to Saint Thomas Aquinas',b'Francesco de Mura',b'1735',,https://az334034.vo.msecnd.net/images-9/apparition-of-the-host-to-saint-thomas-aquinas-francesco-de-mura-1735-3d5c1872.jpg
b'The Blue Kimono',b'William Merritt Chase',b'1915',b'US',https://az333960.vo.msecnd.net/images-4/the-blue-kimono-william-merritt-chase-1915-af1e7d13.jpg
b'Miss Elizabeth Milward',b'Benjamin West',b'1770',b'US',https://az333960.vo.msecnd.net/images-4/miss-elizabeth-milward-benjamin-west-1770-b19300dc.jpg
