Title,Artist,Year,Country,Thumbnail
b'Beach at Atlantic City',b'Robert Henri',b'1893',b'US',https://az334034.vo.msecnd.net/images-6/beach-at-atlantic-city-robert-henri-fff44554.png
b'A Sketch of a Crag in the Catskills',b'Sanford Robinson Gifford',b'Catskills',b'US',https://az334034.vo.msecnd.net/images-8/a-sketch-of-a-crag-in-the-catskills-sanford-robinson-gifford-8fa769e2.jpg
b'Anne Birch',b'George Romney',b'Birch',b'GB',https://az333959.vo.msecnd.net/images-1/anne-birch-george-romney-6d452152.jpg
b'A Cellist',b'Antoine Vestier',b'Cellist',,https://az334034.vo.msecnd.net/images-2/a-cellist-antoine-vestier-9888c58f.jpg
|b'Basin of the Rio Gila, Arizona'|,b'Henry Cheever Pratt',b'Arizona',,https://az334034.vo.msecnd.net/images-6/basin-of-the-rio-gila-arizona-henry-cheever-pratt-e031e7f2.png
b'Before the Race: Fantasia or The Halt in the Desert',b'Eug\xc3\xa8ne Fromentin',b'Desert',,https://az334034.vo.msecnd.net/images-4/before-the-race-fantasia-or-the-halt-in-the-desert-eugene-fromentin-de580cf1.jpg
b'Buffalo Drinking',b'Karl Ferdinand Wimar',b'Drinking',,https://az333959.vo.msecnd.net/images-9/buffalo-drinking-karl-ferdinand-wimar-3647c9e2.jpg
|b'Annisquam, Massachusetts'|,b'William Lamb Picknell',b'Massachusetts',,https://az333959.vo.msecnd.net/images-9/annisquam-massachusetts-william-lamb-picknell-414a0b0b.png
b'Woman Driving Geese',b'Winslow Homer',b'1878',b'US',https://az333959.vo.msecnd.net/images-2/woman-driving-geese-winslow-homer-1878-44148291.jpg
b'Beach at Dieppe',b'Gustave Courbet',b'Dieppe',b'FR',https://az334033.vo.msecnd.net/images-5/beach-at-dieppe-gustave-courbet-854f2cd4.jpg
b'Bartlett Survey Party Traversing a Canyon',b'Henry Cheever Pratt',b'Canyon',,https://az334034.vo.msecnd.net/images-8/bartlett-survey-party-traversing-a-canyon-henry-cheever-pratt-231d9cb5.png
b'Beach at Honfleur',b'Eug\xc3\xa8ne Boudin',b'Honfleur',b'FR',https://az333959.vo.msecnd.net/images-0/beach-at-honfleur-eugene-boudin-2a9913a1.jpg
b'Bacchus and Ariadne',b'Antoine-Jean Gros',b'Ariadne',,https://az333959.vo.msecnd.net/images-9/bacchus-and-ariadne-antoine-jean-gros-b0708269.jpg
b'Chain of Spires Along the Gila River',b'John Mix Stanley',b'River',,https://az333960.vo.msecnd.net/images-4/chain-of-spires-along-the-gila-river-john-mix-stanley-0b4f4886.jpg
b'A Young Huntsman on the Watch',b'Giovanni Battista Piazzetta',b'Watch',,https://az333959.vo.msecnd.net/images-4/a-young-huntsman-on-the-watch-giovanni-battista-piazzetta-24f126b9.jpg
b'Adoration of the Shepherds',b'Francesco Bacchiacca',b'Shepherds',,https://az333960.vo.msecnd.net/images-2/adoration-of-the-shepherds-francesco-bacchiacca-4a919330.jpg
b'Beach at Ste.-Adresse',b'Johan Jongkind',b'Ste.-Adresse',,https://az333959.vo.msecnd.net/images-4/beach-at-ste-adresse-johan-jongkind-38ad4b0e.jpg
b'Archangel with a Symbol of the Immaculate Conception',b'Anonymous',b'Conception',,https://az333960.vo.msecnd.net/images-7/archangel-with-a-symbol-of-the-immaculate-conception-anonymous-ffb8bfd5.jpg
