Title,Artist,Year,Country,Thumbnail
b'Basket of Fruit',b'Michelangelo Merisi da Caravaggio',b'1597',b'IT',https://az333960.vo.msecnd.net/images-4/basket-of-fruit-caravaggio-1597-877cf25b.jpg
b'Madonna del Padiglione',b'Sandro Botticelli',b'1493',b'IT',https://az334034.vo.msecnd.net/images-1/madonna-del-padiglione-sandro-botticelli-1493-784eb4f3.jpg
b'Untitled',b'Bramantino',b'1485',,https://az334034.vo.msecnd.net/images-5/untitled-bramantino-1485-7743d654.jpg
b'Untitled',b'Bramantino',b'1505',,https://az334033.vo.msecnd.net/images-8/untitled-bramantino-1505-8d9b1030.jpg
b'Untitled',b'Cima da Conegliano',b'1497',,https://az333959.vo.msecnd.net/images-3/untitled-cima-da-conegliano-1497-0ea5dfce.jpg
b'Portrait of Carlo Borromeo by Giovanni Ambrogio Figino',b'Giovanni Ambrogio Figino',b'1587',,https://az334033.vo.msecnd.net/images-5/portrait-of-carlo-borromeo-by-giovanni-ambrogio-figino-giovanni-ambrogio-figino-1587-bca04376.jpg
b'Portrait of a Musician',b'Leonardo da Vinci',b'1485',b'IT',https://az334033.vo.msecnd.net/images-9/portrait-of-a-musician-leonardo-da-vinci-1485-151c3787.jpg
b'Untitled',b'Bramantino',b'1475',,https://az334034.vo.msecnd.net/images-8/untitled-bramantino-1475-f584d36d.jpg
b'Untitled',b'Moretto da Brescia',b'1530',,https://az333960.vo.msecnd.net/images-3/untitled-moretto-da-brescia-1530-4-83df1a22.jpg
b'Portrait of Paolo Morigia',b'Fede Galizia',b'1592',,https://az334034.vo.msecnd.net/images-9/portrait-of-paolo-morigia-fede-galizia-1592-ee9cdca5.jpg
b'Allegory of Fire',b'Jan Brueghel the Elder',b'1608',b'BE',https://az333960.vo.msecnd.net/images-8/allegory-of-fire-jan-brueghel-the-elder-1608-409f1c13.jpg
