Title,Artist,Year,Country,Thumbnail
b'Massacre of the Innocents',b'Guido Reni',b'1611',b'IT',https://az333959.vo.msecnd.net/images-0/massacre-of-the-innocents-guido-reni-1611-8f28c73f.jpg
b'Palla della Peste',b'Guido Reni',b'Peste',b'IT',https://az334033.vo.msecnd.net/images-3/palla-della-peste-guido-reni-edff82a2.jpg
b'Allegory of Painting',b'Giovanni Domenico Cerrini',b'1639',,https://az333959.vo.msecnd.net/images-3/allegory-of-painting-giovanni-domenico-cerrini-1639-fe2eadab.jpg
b'Untitled',b'Agostino Carracci',b'1592',b'IT',https://az334033.vo.msecnd.net/images-3/untitled-agostino-carracci-1592-4d0c6e41.jpg
b'Untitled',b"Ercole de' Roberti",b'1470',,https://az334033.vo.msecnd.net/images-3/untitled-ercole-de-roberti-1470-805ff8c5.jpg
b'Untitled',b'Cima da Conegliano',b'1495',,https://az334033.vo.msecnd.net/images-5/untitled-cima-da-conegliano-1495-1-f054eb15.jpg
b'Christ and the Good Thief',b'Titian',b'1566',b'IT',https://az334033.vo.msecnd.net/images-3/christ-and-the-good-thief-titian-1566-b8690b40.jpg
b'Sepoltura di cristo',b'Prospero Fontana',b'cristo',,https://az334033.vo.msecnd.net/images-5/sepoltura-di-cristo-prospero-fontana-5fbb9d85.jpg
b'The Ecstasy of St. Cecilia',b'Raphael',b'1514',b'IT',https://az333960.vo.msecnd.net/images-7/the-ecstasy-of-st-cecilia-raphael-1514-8e7ae597.jpg
b'Madonna in Glory with Saints',b'Pietro Perugino',b'1500',b'IT',https://az333960.vo.msecnd.net/images-6/madonna-in-glory-with-saints-pietro-perugino-1500-8887a950.jpg
b'Untitled',b'Giotto di Bondone',b'1330',b'IT',https://az333959.vo.msecnd.net/images-3/untitled-giotto-di-bondone-1330-1-daa10eae.jpg
b'Untitled',b'Francesco Francia',b'Untitled',,https://az334033.vo.msecnd.net/images-8/untitled-francesco-francia-1561888b.jpg
b'Untitled',b'Parmigianino',b'1529',b'IT',https://az334034.vo.msecnd.net/images-9/untitled-parmigianino-1529-4-b61017c7.jpg
b'Untitled',b'Francesco del Cossa',b'1474',,https://az333959.vo.msecnd.net/images-6/untitled-francesco-del-cossa-1474-c0c5aaea.jpg
b'Newborn Baby in a Crib',b'Lavinia Fontana',b'1583',b'IT',https://az334034.vo.msecnd.net/images-6/newborn-baby-in-a-crib-lavinia-fontana-1583-34b7d984.jpg
b'Susanna and the Elders',b'Artemisia Gentileschi',b'1652',b'IT',https://az333959.vo.msecnd.net/images-3/susanna-and-the-elders-artemisia-gentileschi-1652-6eaf7dd2.jpg
b'Portrait of the Gozzadini Family',b'Lavinia Fontana',b'1584',b'IT',https://az333959.vo.msecnd.net/images-5/portrait-of-the-gozzadini-family-lavinia-fontana-1584-ca58767f.jpg
|b'Madonna and Child with Saints John the Baptist, John the...'|,b'Annibale Carracci',b'1593',b'IT',https://az334033.vo.msecnd.net/images-6/madonna-and-child-with-saints-john-the-baptist-john-the-evangelist-and-st-catherine-annibale-carracci-1593-1d7c9262.jpg
