Title,Artist,Year,Country,Thumbnail
b'Astronomical Observations: Venus',b'Donato Creti',b'1711',,https://az334033.vo.msecnd.net/images-8/astronomical-observations-venus-donato-creti-1711-a0ee4d89.jpg
b'Raffaello Sanzio',b'Raphael',b'1507',b'IT',https://az334033.vo.msecnd.net/images-7/raffaello-sanzio-raphael-1507-3e8dfb05.jpg
b'Annunciation',b'Gentile da Fabriano',b'1423',b'IT',https://az333959.vo.msecnd.net/images-8/untitled-gentile-da-fabriano-1423-2-8295bcb4.jpg
b'Untitled',b'Raphael',b'1507',b'IT',https://az334034.vo.msecnd.net/images-5/untitled-raphael-1507-377e8cfd.jpg
b'Astronomical Observations: Jupiter',b'Donato Creti',b'1711',,https://az333959.vo.msecnd.net/images-0/astronomical-observations-jupiter-donato-creti-1711-cdab870d.jpg
b'Astronomical Observations: Mercury',b'Donato Creti',b'1711',,https://az333960.vo.msecnd.net/images-1/astronomical-observations-mercury-donato-creti-1711-294bbcba.jpg
b'Astronomical Observations: the Sun',b'Donato Creti',b'1711',,https://az334033.vo.msecnd.net/images-1/astronomical-observations-the-sun-donato-creti-1711-5cbe74b9.jpg
b'Quaratesi Polyptych',b'Gentile da Fabriano',b'1425',b'IT',https://az334033.vo.msecnd.net/images-2/quaratesi-polyptych-gentile-da-fabriano-1425-5ff8cf16.jpg
b'Saint Matthew the Evangelist and an Angel',b'Guido Reni',b'1640',b'IT',https://az333960.vo.msecnd.net/images-9/untitled-guido-reni-990e5568.jpg
b'The Martyrdom of Saint Erasmus',b'Nicolas Poussin',b'1628',b'FR',https://az333960.vo.msecnd.net/images-8/the-martyrdom-of-saint-erasmus-nicolas-poussin-1628-3e6dcc36.jpg
b'Untitled',b'Raphael',b'1507',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-raphael-1507-1-5beb6f27.jpg
b'Astronomical Observations: the Moon',b'Donato Creti',b'1711',,https://az334033.vo.msecnd.net/images-9/astronomical-observations-the-moon-donato-creti-1711-0cac17a3.jpg
b'Astronomical Observations: Comet',b'Donato Creti',b'1711',,https://az334033.vo.msecnd.net/images-7/astronomical-observations-comet-donato-creti-1711-9609e20e.jpg
b'Astronomical Observations: Saturn',b'Donato Creti',b'1711',,https://az334034.vo.msecnd.net/images-3/astronomical-observations-saturn-donato-creti-1711-86ee3e1e.jpg
b'Astronomical Observations: Mars',b'Donato Creti',b'1711',,https://az334034.vo.msecnd.net/images-0/astronomical-observations-mars-donato-creti-1711-cb9b68ae.jpg
b'Untitled',b"Ercole de' Roberti",b'1473',,https://az333960.vo.msecnd.net/images-3/untitled-ercole-de-roberti-1473-856879e8.jpg
b'Stefaneschi Triptych',b'Giotto di Bondone',b'1320',b'IT',https://az334033.vo.msecnd.net/images-8/stefaneschi-triptych-giotto-di-bondone-1320-c299fd55.jpg
b'Untitled',b'Giunta Pisano',b'Untitled',,https://az333960.vo.msecnd.net/images-5/untitled-giunta-pisano-1-a2d63289.jpg
