Title,Artist,Year,Country,Thumbnail
b'Scene of Adolfo Pinto\xe2\x80\x99s Family',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1891',b'BR',https://az333959.vo.msecnd.net/images-8/scene-of-adolfo-pinto-s-family-jose-ferraz-de-almeida-junior-1891-ce485c8a.jpg
b'Reading',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1892',b'BR',https://az333960.vo.msecnd.net/images-0/reading-jose-ferraz-de-almeida-junior-1892-32970a21.jpg
|b'Seascape, Guaruj\xc3\xa1'|,b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1895',b'BR',https://az333959.vo.msecnd.net/images-3/seascape-guaruja-jose-ferraz-de-almeida-junior-1895-83224019.jpg
b'Painting (Allegory)',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1892',b'BR',https://az334034.vo.msecnd.net/images-3/painting-allegory-jose-ferraz-de-almeida-junior-1892-6a06a441.jpg
b'Francisco de Assis Peixoto Gomide',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1898',b'BR',https://az334033.vo.msecnd.net/images-8/francisco-de-assis-peixoto-gomide-jose-ferraz-de-almeida-junior-1898-cecffc50.jpg
b'Caipira Cutting Tobacco',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1893',b'BR',https://az334033.vo.msecnd.net/images-5/caipira-cutting-tobacco-jose-ferraz-de-almeida-junior-1893-08f3be38.jpg
b'Untitled',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1895',b'BR',https://az333959.vo.msecnd.net/images-6/untitled-jose-ferraz-de-almeida-junior-1895-1e007ec0.jpg
b'Interior of the Cathedral of Amiens',b'Jules Victor G\xc3\xa9nisson',b'Amiens',,https://az334034.vo.msecnd.net/images-5/interior-of-the-cathedral-of-amiens-jules-victor-genisson-3d94d59e.jpg
b'Victorino Carmilo',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1890',b'BR',https://az333959.vo.msecnd.net/images-0/victorino-carmilo-jose-ferraz-de-almeida-junior-1890-0f28fcbb.jpg
b'At the Studio',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1894',b'BR',https://az333959.vo.msecnd.net/images-1/at-the-studio-jose-ferraz-de-almeida-junior-1894-75792c34.jpg
b'The Inopportune',b'Jos\xc3\xa9 Ferraz de Almeida J\xc3\xbanior',b'1898',b'BR',https://az333959.vo.msecnd.net/images-6/the-inopportune-jose-ferraz-de-almeida-junior-1898-34aff268.jpg
