Title,Artist,Year,Country,Thumbnail
b'Woman on the stairs',b'Caspar David Friedrich',b'1825',b'DE',https://az334033.vo.msecnd.net/images-0/woman-on-the-stairs-caspar-david-friedrich-1825-0140e8d1.jpg
b'Mountains in morning fog',b'Caspar David Friedrich',b'1810',b'DE',https://az334033.vo.msecnd.net/images-1/mountains-in-morning-fog-caspar-david-friedrich-1810-019fb904.jpg
b'Rock Canyon in the Harz',b'Caspar David Friedrich',b'1811',b'DE',https://az334033.vo.msecnd.net/images-3/rock-canyon-in-the-harz-caspar-david-friedrich-1811-45654c83.jpg
b'Neubrandenburg',b'Caspar David Friedrich',b'1816',b'DE',https://az333960.vo.msecnd.net/images-8/neubrandenburg-caspar-david-friedrich-1816-8cd161a2.jpg
b'The Marketplace in Greifswald',b'Caspar David Friedrich',b'1818',b'DE',https://az334033.vo.msecnd.net/images-3/the-marketplace-in-greifswald-caspar-david-friedrich-1818-7a8c3238.jpg
b'Swinoujscie in the moonlight',b'Johan Christian Dahl',b'1840',b'NO',https://az334034.vo.msecnd.net/images-6/swinoujscie-in-the-moonlight-johan-christian-dahl-1840-f09cc3f9.jpg
b'Cloud study',b'Caspar David Friedrich',b'1798',b'DE',https://az334033.vo.msecnd.net/images-8/cloud-study-caspar-david-friedrich-1798-71d89f35.jpg
b'Woman with the Candlestick',b'Caspar David Friedrich',b'1825',b'DE',https://az334034.vo.msecnd.net/images-4/woman-with-the-candlestick-caspar-david-friedrich-1825-61725581.jpg
b'The ruins of Eldena in the Giant Mountains',b'Caspar David Friedrich',b'1834',b'DE',https://az334034.vo.msecnd.net/images-4/untitled-caspar-david-friedrich-1830-6f2a65a8.jpg
b'Avenue near Arles with Houses',b'Vincent van Gogh',b'1888',b'NL',https://az334033.vo.msecnd.net/images-2/a-lane-near-arles-vincent-van-gogh-1888-d18fbd44.jpg
b'Bohemian Landscape',b'Caspar David Friedrich',b'1828',b'DE',https://az333960.vo.msecnd.net/images-5/bohemian-landscape-caspar-david-friedrich-1828-439cdbb4.jpg
b'Adoration of the Shepherds',b'Gerard van Honthorst',b'1622',b'NL',https://az334033.vo.msecnd.net/images-3/adoration-of-the-shepherds-gerard-van-honthorst-1622-a7f39842.jpg
b'Am Seddiner See bei K\xc3\xa4hnsdorf',b'Carl Schuch',b'1880',,https://az334034.vo.msecnd.net/images-7/am-seddiner-see-bei-kahnsdorf-carl-schuch-1880-8e244ed3.jpg
