Title,Artist,Year,Country,Thumbnail
b'A Ferry with Passengers and Cattle',b'Aleksander Laur\xc3\xa9us',b'Cattle',,https://az333960.vo.msecnd.net/images-4/a-ferry-with-passengers-and-cattle-aleksander-laureus-756e8ba1.jpg
b'German Landscape',b'Werner Holmberg',b'Landscape',,https://az333959.vo.msecnd.net/images-4/german-landscape-werner-holmberg-4a3296a7.jpg
b'Dancing scene in an Italian Inn',b'Aleksander Laur\xc3\xa9us',b'Inn',,https://az333960.vo.msecnd.net/images-4/dancing-scene-in-an-italian-inn-aleksander-laureus-aaaab26b.jpg
b'Christ Walks on Water',b'Eero J\xc3\xa4rnefelt',b'Water',,https://az333959.vo.msecnd.net/images-1/christ-walks-on-water-eero-jarnefelt-491421d2.jpg
b'Il pecoraio (Shepherd)',b'Aleksander Laur\xc3\xa9us',b'(Shepherd)',,https://az333960.vo.msecnd.net/images-2/il-pecoraio-shepherd-aleksander-laureus-04d55ea7.jpg
b'Robbery Scene',b'Aleksander Laur\xc3\xa9us',b'Scene',,https://az334033.vo.msecnd.net/images-1/robbery-scene-aleksander-laureus-d4102e12.jpg
b'Break',b'Johan Knutson',b'Break',,https://az333960.vo.msecnd.net/images-7/break-johan-knutson-6a52c57a.jpg
b'Stella and Child',b'Severin Falkman',b'Child',,https://az334034.vo.msecnd.net/images-9/stella-and-child-severin-falkman-3dda5740.jpg
b'Self-Portrait',b'Helene Schjerfbeck',b'1913',b'FI',https://az333959.vo.msecnd.net/images-2/self-portrait-helene-schjerfbeck-1913-2e3c7704.jpg
b'Portrait of a Woman',b'Severin Falkman',b'Woman',,https://az333960.vo.msecnd.net/images-5/portrait-of-a-woman-severin-falkman-01f33dca.jpg
b'Moonlight',b'Elin Danielson-Gambogi',b'Moonlight',,https://az333959.vo.msecnd.net/images-2/moonlight-elin-danielson-gambogi-01f62628.jpg
b'A Resting Harvest Girl',b'Robert Wilhelm Ekman',b'Girl',,https://az334033.vo.msecnd.net/images-7/a-resting-harvest-girl-robert-wilhelm-ekman-ddb13230.jpg
b'Saddled Donkey',b'Aleksander Laur\xc3\xa9us',b'Donkey',,https://az333959.vo.msecnd.net/images-8/saddled-donkey-aleksander-laureus-b816d239.jpg
b'Park',b'Victoria \xc3\x85berg',b'Park',,https://az333959.vo.msecnd.net/images-0/park-victoria-aberg-3582a320.jpg
b'Hat-headed Boy',b'Severin Falkman',b'Boy',,https://az333960.vo.msecnd.net/images-4/hat-headed-boy-severin-falkman-0591627b.jpg
b'Nature morte (Woodcock)',b'Severin Falkman',b'(Woodcock)',,https://az333960.vo.msecnd.net/images-5/nature-morte-woodcock-severin-falkman-a5c0cbdf.jpg
b'Roman Osteria',b'Aleksander Laur\xc3\xa9us',b'Osteria',,https://az333960.vo.msecnd.net/images-5/roman-osteria-aleksander-laureus-58594a6a.jpg
b'Churchgoers',b'Robert Wilhelm Ekman',b'Churchgoers',,https://az334033.vo.msecnd.net/images-5/churchgoers-robert-wilhelm-ekman-0f47decd.jpg
