Title,Artist,Year,Country,Thumbnail
|b'Beaver Dam Pond, Acadia National Park'|,b'Richard Estes',b'2009',b'US',https://az334033.vo.msecnd.net/images-7/beaver-dam-pond-acadia-national-park-richard-estes-2009-db571504.jpg
b'Confidences',b'Auguste Renoir',b'1874',b'FR',https://az334034.vo.msecnd.net/images-3/confidences-pierre-auguste-renoir-1874-2b1f2359.jpg
b'Helen Smith Beyer (Mrs. Henry Gustav Beyer)',b'William McGregor Paxton',b'1912',b'US',https://az334034.vo.msecnd.net/images-9/helen-smith-beyer-mrs-henry-gustav-beyer-william-mcgregor-paxton-1912-04aa55bd.jpg
b'Evening',b'Winslow Homer',b'Evening',b'US',https://az334033.vo.msecnd.net/images-6/evening-winslow-homer-767058e5.jpg
b'Stormy Weather at Etretat',b'Gustave Courbet',b'1869',b'FR',https://az333959.vo.msecnd.net/images-7/stormy-weather-at-etretat-gustave-courbet-1869-3d1824e3.jpg
|b'Henry Gustav Beyer, Jr.'|,b'William McGregor Paxton',b'1912',b'US',https://az334034.vo.msecnd.net/images-6/henry-gustav-beyer-jr-william-mcgregor-paxton-1912-35cb564e.jpg
b'Mount Katahdin from Millinocket Camp',b'Frederic Edwin Church',b'1895',b'US',https://az333959.vo.msecnd.net/images-2/mount-katahdin-from-millinocket-camp-frederic-edwin-church-1895-578dce9f.jpg
b'Young Farmers',b'Winslow Homer',b'Farmers',b'US',https://az334033.vo.msecnd.net/images-6/young-farmers-winslow-homer-e3d777c0.jpg
b'Wild Geese in Flight',b'Winslow Homer',b'1897',b'US',https://az333959.vo.msecnd.net/images-6/wild-geese-in-flight-winslow-homer-1897-1afd0638.jpg
b'Camaret Harbor',b'Eug\xc3\xa8ne Boudin',b'1871',b'FR',https://az333960.vo.msecnd.net/images-3/camaret-harbor-eugene-boudin-1871-55316c4f.jpg
b'The Seine at V\xc3\xa9theuil',b'Claude Monet',b'1880',b'FR',https://az334034.vo.msecnd.net/images-6/the-seine-at-vetheuil-claude-monet-1880-1-d23ceca3.jpg
b'Untitled Landscape',b'Jean-Baptiste-Camille Corot',b'1867',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-landscape-camille-corot-1867-17ce6b7e.jpg
