Title,Artist,Year,Country,Thumbnail
b'Le s\xc3\xa9chage des voiles (The Drying Sails)',b'Andr\xc3\xa9 Derain',b'1905',b'FR',https://az334034.vo.msecnd.net/images-9/le-sechage-des-voiles-the-drying-sails-andre-derain-1905-06057c40.jpg
b'Gebirgslandschaft (Blick von Warmbrunn auf die Kleine...',b'Caspar David Friedrich',b'1810',b'DE',https://az334034.vo.msecnd.net/images-6/untitled-caspar-david-friedrich-1810-5ec02cc5.jpg
b'White Water Lilies',b'Claude Monet',b'1899',b'FR',https://az333959.vo.msecnd.net/images-2/untitled-claude-monet-1899-0492f886.jpg
b'Diana bathing',b'Jean-Baptiste-Camille Corot',b'1873',b'FR',https://az333960.vo.msecnd.net/images-1/diana-bathing-jean-baptiste-camille-corot-1873-704cad7f.jpg
b'The Red Vineyard',b'Vincent van Gogh',b'1888',b'NL',https://az334033.vo.msecnd.net/images-7/the-red-vineyard-vincent-van-gogh-1888-e1cf0cdb.jpg
|b'The Big Walnut Tree, Autumn Morning, \xc3\x89ragny'|,b'Camille Pissarro',b'\xc3\x89ragny',b'FR',https://az333960.vo.msecnd.net/images-6/the-big-walnut-tree-autumn-morning-eragny-camille-pissarro-93ad6ace.jpg
b'Lilac in the Sun',b'Claude Monet',b'1873',b'FR',https://az333959.vo.msecnd.net/images-4/lilac-in-the-sun-claude-monet-1873-4cf67e8e.jpg
b'The Night Caf\xc3\xa9 in Arles',b'Paul Gauguin',b'1888',b'FR',https://az333959.vo.msecnd.net/images-7/the-night-cafe-in-arles-paul-gauguin-1888-e069f455.jpg
b'Landscape with Carriage and Trains',b'Vincent van Gogh',b'1890',b'NL',https://az334034.vo.msecnd.net/images-9/landscape-with-a-carriage-and-a-train-vincent-van-gogh-1890-5a5164aa.jpg
b'Dancer Posing for a Photographer (Dancer in Front of the...',b'Edgar Degas',b'1875',b'FR',https://az334033.vo.msecnd.net/images-5/untitled-edgar-degas-1875-1-67bdba64.jpg
b'Prisoners Exercising',b'Vincent van Gogh',b'1890',b'NL',https://az334034.vo.msecnd.net/images-6/prisoners-exercising-vincent-van-gogh-1890-f741cb3c.jpg
b'Boulevard des Capucines in Paris',b'Claude Monet',b'1873',b'FR',https://az333959.vo.msecnd.net/images-1/untitled-claude-monet-1873-7bfde545.jpg
b'Hercules and Omphale',b'Fran\xc3\xa7ois Boucher',b'1735',b'FR',https://az334033.vo.msecnd.net/images-3/hercules-and-omphale-francois-boucher-1735-6c91d8d5.jpg
b'Young Girls in Black',b'Auguste Renoir',b'1881',b'FR',https://az334034.vo.msecnd.net/images-9/young-girls-in-black-pierre-auguste-renoir-1881-655d8850.jpg
b'Vanitas',b'Vincent van der Vinne',b'Vanitas',,https://az333960.vo.msecnd.net/images-9/vanitas-vincent-van-der-vinne-5011c19e.jpg
b'Shrove tuesday (Pierot and Harlequin)',b'Paul C\xc3\xa9zanne',b'1888',b'FR',https://az333960.vo.msecnd.net/images-0/untitled-paul-cezanne-1888-1-57cf4df5.jpg
b'What! Are You Jealous?',b'Paul Gauguin',b'1892',b'FR',https://az334033.vo.msecnd.net/images-2/untitled-paul-gauguin-10-e7433e92.jpg
b'Portrait of Doctor Felix Rey',b'Vincent van Gogh',b'1889',b'NL',https://az334033.vo.msecnd.net/images-5/portrait-of-doctor-felix-rey-vincent-van-gogh-1889-affceff0.jpg
b'Frosty Morning in Louveciennes',b'Alfred Sisley',b'1873',b'GB',https://az334034.vo.msecnd.net/images-5/frosty-morning-in-louveciennes-alfred-sisley-1873-1211d66a.jpg
|b"Rouen Cathedral, Portal and Tower d'Albane, Midday"|,b'Claude Monet',b'1893',b'FR',https://az333959.vo.msecnd.net/images-5/rouen-cathedral-portal-and-tower-d-albane-midday-claude-monet-1893-a1a7072b.jpg
|b'St. Mark, by Frans Hals'|,b'Frans Hals',b'1625',b'NL',https://az333960.vo.msecnd.net/images-9/st-mark-by-frans-hals-frans-hals-1625-f6b5dc3e.jpg
b'Ruins with an Obelisk in the Distance',b'Hubert Robert',b'1775',b'FR',https://az334033.vo.msecnd.net/images-7/ruins-with-an-obelisk-in-the-distance-hubert-robert-1775-75fb3e34.jpg
b'Bacchanalia',b'Peter Paul Rubens',b'Bacchanalia',b'NL',https://az333960.vo.msecnd.net/images-8/bacchanalia-peter-paul-rubens-242b8ddc.jpg
b'Untitled',b'Fran\xc3\xa7ois Boucher',b'1744',b'FR',https://az333960.vo.msecnd.net/images-4/untitled-francois-boucher-1744-7bc80cdc.jpg
b'Portrait of an Old Woman in a Fur Robe',b'Rembrandt',b'Robe',b'NL',https://az334034.vo.msecnd.net/images-4/portrait-of-an-old-woman-in-a-fur-robe-rembrandt-c8b82627.jpg
b'Portrait of an Old Man with Beret',b'Rembrandt',b'Beret',b'NL',https://az333959.vo.msecnd.net/images-5/portrait-of-an-old-man-with-beret-rembrandt-975997e3.jpg
|b'Rouen Cathedral, End of the Day'|,b'Claude Monet',b'1894',b'FR',https://az334034.vo.msecnd.net/images-0/rouen-cathedral-end-of-the-day-claude-monet-1892-051298af.jpg
b'The Destruction of a Church',b'Hubert Robert',b'1787',b'FR',https://az334034.vo.msecnd.net/images-2/the-destruction-of-a-church-hubert-robert-1787-e64eaca6.jpg
b'Ploughed Fields',b'Camille Pissarro',b'Fields',b'FR',https://az334033.vo.msecnd.net/images-8/ploughed-fields-camille-pissarro-93439a35.jpg
b'Ahasuerus and Haman at the Feast of Esther',b'Rembrandt',b'1660',b'NL',https://az333959.vo.msecnd.net/images-4/ahasuerus-and-haman-at-the-feast-of-esther-rembrandt-1660-70558766.jpg
b'Bacchanal',b'Alessandro Magnasco',b'1720',b'IT',https://az334033.vo.msecnd.net/images-2/bacchanal-alessandro-magnasco-1720-e58add87.jpg
b'Untitled',b'Jean-Fran\xc3\xa7ois Millet',b'Untitled',b'FR',https://az334034.vo.msecnd.net/images-2/untitled-jean-francois-millet-1-cb8df62c.jpg
b'Self-portrait',b'Elisabetta Sirani',b'1658',,https://az334033.vo.msecnd.net/images-8/self-portrait-elisabetta-sirani-1658-ae9d4bcb.jpg
|b"Two women and a child,  'A Mother's Care'"|,b'Pieter de Hooch',b"Care'",b'NL',https://az333959.vo.msecnd.net/images-0/two-women-and-a-child-a-mother-s-care-pieter-de-hooch-cc091aa0.jpg
|b'View of Pirna, from Sonnestein Castle'|,b'Bernardo Bellotto',b'1753',b'IT',https://az334034.vo.msecnd.net/images-9/view-of-pirna-from-sonnestein-castle-bernardo-bellotto-1753-1-8cfd4c39.jpg
|b'The Hosched\xc3\xa9 Garden, Montgeron'|,b'Alfred Sisley',b'1881',b'GB',https://az333959.vo.msecnd.net/images-6/the-hoschede-garden-montgeron-alfred-sisley-1881-1eb505d4.jpg
b'Untitled',b'Paul C\xc3\xa9zanne',b'1890',b'FR',https://az333960.vo.msecnd.net/images-7/untitled-paul-cezanne-1890-2-acc22aac.jpg
b'The Incredulity of St Thomas',b'Rembrandt',b'1634',b'NL',https://az333960.vo.msecnd.net/images-8/the-incredulity-of-st-thomas-rembrandt-1634-3ef1b463.jpg
b'Italian Landscape',b'Jan Asselijn',b'1640',b'NL',https://az334034.vo.msecnd.net/images-1/italian-landscape-jan-asselijn-1640-859b4714.jpg
b'Vairumati tei oa',b'Paul Gauguin',b'oa',b'FR',https://az333959.vo.msecnd.net/images-3/vairumati-tei-oa-paul-gauguin-602a6730.jpg
b'Untitled',b'Jean-Baptiste-Camille Corot',b'1861',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-jean-baptiste-camille-corot-1861-2a279d36.jpg
b'Untitled',b'Cima da Conegliano',b'1510',,https://az333959.vo.msecnd.net/images-2/untitled-cima-da-conegliano-1510-1-b4a98667.jpg
b'Untitled',b'Cima da Conegliano',b'1505',,https://az334033.vo.msecnd.net/images-9/untitled-cima-da-conegliano-1505-4-a11232b5.jpg
b'Untitled',b'Girolamo Savoldo',b'1521',,https://az334034.vo.msecnd.net/images-4/untitled-girolamo-savoldo-1521-1-dc51eaa7.jpg
b'Dune landscape with a man and a boy walking towards a town',b'Jacob van Ruisdael',b'town',b'NL',https://az334034.vo.msecnd.net/images-8/dune-landscape-with-a-man-and-a-boy-walking-towards-a-town-jacob-van-ruisdael-a7954ae0.jpg
b'Portrait of an Old Woman',b'Rembrandt',b'Woman',b'NL',https://az334034.vo.msecnd.net/images-3/portrait-of-an-old-woman-rembrandt-2-8df9ddd7.jpg
b'A river landscape with figures',b'Jacob van Ruisdael',b'figures',b'NL',https://az334034.vo.msecnd.net/images-4/a-river-landscape-with-figures-jacob-van-ruisdael-cefb75b5.jpg
b'Untitled',b'Nicolas Poussin',b'Untitled',b'FR',https://az333960.vo.msecnd.net/images-6/untitled-nicolas-poussin-2-1f606f38.jpg
b'A Sick Child',b'Pieter de Hooch',b'Child',b'NL',https://az333959.vo.msecnd.net/images-9/a-sick-child-pieter-de-hooch-16d440a3.jpg
b'Untitled',b'Fran\xc3\xa7ois Marius Granet',b'Untitled',,https://az333959.vo.msecnd.net/images-3/untitled-francois-marius-granet-1-b4948d8e.jpg
b'Cattle at a Watering Place',b'Nicolaes Pieterszoon Berchem',b'1650',,https://az334034.vo.msecnd.net/images-1/cattle-at-a-watering-place-nicolaes-pieterszoon-berchem-1650-48e3ad8c.jpg
b'Untitled',b'Giambattista Pittoni',b'Untitled',,https://az333959.vo.msecnd.net/images-3/untitled-giambattista-pittoni-2740c264.jpg
b'The Morning of a Young Man',b'Pieter de Hooch',b'Man',b'NL',https://az334034.vo.msecnd.net/images-0/the-morning-of-a-young-man-pieter-de-hooch-50500a02.jpg
