Title,Artist,Year,Country,Thumbnail
b'Saint John the Evangelist',b'Carlo Dolci',b'Evangelist',,https://az333960.vo.msecnd.net/images-3/saint-john-the-evangelist-carlo-dolci-81550611.jpg
b'Piazza in front of the Pantheon',b'Bernardo Bellotto',b'1769',b'IT',https://az333960.vo.msecnd.net/images-4/piazza-in-front-of-the-pantheon-bernardo-bellotto-1769-c7932936.jpg
b'Jupiter and Callisto',b'Fran\xc3\xa7ois Boucher',b'1744',b'FR',https://az334034.vo.msecnd.net/images-9/jupiter-and-callisto-francois-boucher-1744-1787b2cf.jpg
b'V\xc3\xa9theuil',b'Claude Monet',b'1901',b'FR',https://az334033.vo.msecnd.net/images-0/vetheuil-claude-monet-1901-5f295eb4.jpg
b'Red bull',b'Franz Marc',b'1912',b'DE',https://az333959.vo.msecnd.net/images-9/red-bull-franz-marc-1912-54ec39ff.jpg
b'Still life with attributes of the arts',b'Jean-Baptiste-Sim\xc3\xa9on Chardin',b'1724',b'FR',https://az333959.vo.msecnd.net/images-2/still-life-with-attributes-of-the-arts-jean-baptiste-simeon-chardin-1724-c36bb7c7.jpg
b'Self-portrait',b'Paul Gauguin',b'1890',b'FR',https://az333959.vo.msecnd.net/images-6/self-portrait-paul-gauguin-1890-8d463f54.jpg
b'Road in the Pine Forest',b'Ivan Shishkin',b'1885',b'RU',https://az334033.vo.msecnd.net/images-8/road-in-the-pine-forest-ivan-shishkin-1885-0b8c98b1.jpg
b'The Roman Forum',b'Bernardo Bellotto',b'1769',b'IT',https://az334033.vo.msecnd.net/images-1/the-roman-forum-bernardo-bellotto-1769-b2ddcc2b.jpg
b'Le Fumeur de pipe accoud\xc3\xa9',b'Paul C\xc3\xa9zanne',b'1893',b'FR',https://az334033.vo.msecnd.net/images-8/untitled-paul-cezanne-1893-011a5ec9.jpg
b'The Holy Family with the Infant Saint John the Baptist ...',b'Agnolo Bronzino',b'1545',b'IT',https://az334033.vo.msecnd.net/images-1/the-holy-family-with-the-infant-saint-john-the-baptist-madonna-stroganoff-bronzino-1545-b10f7c71.jpg
b'Glorious victory',b'Diego Rivera',b'1954',b'MX',https://az334033.vo.msecnd.net/images-3/glorious-victory-diego-rivera-1954-9bea1f09.jpg
|b'Matamoe (Death), Landscape with Peacocks'|,b'Paul Gauguin',b'1892',b'FR',https://az333960.vo.msecnd.net/images-6/matamoe-death-landscape-with-peacocks-paul-gauguin-1892-5c6a9da6.jpg
b'Skating Scene',b'Hendrick Avercamp',b'Scene',b'NL',https://az333959.vo.msecnd.net/images-7/skating-scene-hendrick-avercamp-19f5a5e2.jpg
b'The Great Buddah',b'Paul Gauguin',b'1899',b'FR',https://az333959.vo.msecnd.net/images-3/the-great-buddah-paul-gauguin-1899-07f96c05.jpg
b'Portrait of Princess Ekaterina Dmitrievna Golitsyna (1720...',b'Louis-Michel van Loo',b'1759',,https://az334034.vo.msecnd.net/images-5/portrait-of-princess-ekaterina-dmitrievna-golitsyna-1720-1761-nee-cantemir-wife-of-d-m-golitsyn-1721-1793-louis-michel-van-loo-1759-848b9b09.jpg
b'The Victory of Joshua over the Amorites',b'Nicolas Poussin',b'1625',b'FR',https://az334033.vo.msecnd.net/images-1/the-victory-of-joshua-over-the-amorites-nicolas-poussin-1625-b927ed5d.jpg
b'Chestnut and Jas de Bouffan farm',b'Paul C\xc3\xa9zanne',b'1886',b'FR',https://az334033.vo.msecnd.net/images-4/chestnut-and-jas-de-bouffan-farm-paul-cezanne-1886-867ca8e4.jpg
b'Death of Dido',b'Giovanni Battista Tiepolo',b'1763',b'IT',https://az334034.vo.msecnd.net/images-6/death-of-dido-giovanni-battista-tiepolo-1763-24bbc575.jpg
b'Haystack near Giverny',b'Claude Monet',b'1884',b'FR',https://az334033.vo.msecnd.net/images-8/haystack-near-giverny-claude-monet-1884-6d83660b.jpg
b'Winter landscape with a bird trap',b'Pieter Breughel the Younger',b'trap',,https://az333959.vo.msecnd.net/images-6/winter-landscape-with-a-bird-trap-pieter-breughel-the-younger-ac593b4b.jpg
b'Morning in Venice',b'Jean-Baptiste-Camille Corot',b'1834',b'FR',https://az334034.vo.msecnd.net/images-9/morning-in-venice-camille-corot-1834-2519d393.jpg
|b'Portrait of the Antwerp city almoner Adriaen Stevens,...'|,b'Anthony van Dyck',b'1629',b'NL',https://az333959.vo.msecnd.net/images-2/portrait-of-the-antwerp-city-almoner-adriaen-stevens-aged-68-anthony-van-dyck-1629-b52fffaf.jpg
|b'Paris in winter, Quay Bourbon'|,b'Albert Marquet',b'1907',,https://az334034.vo.msecnd.net/images-1/paris-in-winter-quay-bourbon-albert-marquet-1907-498a3107.jpg
b'Virgin and Child',b'Lucas Cranach the Elder',b'1520',b'DE',https://az333960.vo.msecnd.net/images-3/virgin-and-child-lucas-cranach-the-elder-1520-1a846156.jpg
b'Bacchanalia',b'Peter Paul Rubens',b'1615',b'NL',https://az334034.vo.msecnd.net/images-2/bacchanalia-peter-paul-rubens-1615-08985cd5.jpg
b'Le Pont Saint-Michel en hiver',b'Albert Marquet',b'1908',,https://az334033.vo.msecnd.net/images-3/le-pont-saint-michel-en-hiver-albert-marquet-1908-df9d98d9.jpg
b'Mercury attacking Argus',b'Anonymous',b'1650',,https://az334034.vo.msecnd.net/images-3/mercury-attacking-argus-anonymous-1650-ccbe34e7.jpg
