Title,Artist,Year,Country,Thumbnail
b'Match between the English frigate',b'Christoffer Wilhelm Eckersberg',b'1836',b'DK',https://az334033.vo.msecnd.net/images-3/untitled-christoffer-wilhelm-eckersberg-3-ed6585f8.jpg
b'Portrait of old Peasant Woman',b'Christen K\xc3\xb8bke',b'Woman',b'DK',https://az333960.vo.msecnd.net/images-6/portrait-of-old-peasant-woman-christen-kobke-aa2d2f62.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az334033.vo.msecnd.net/images-7/untitled-laurits-andersen-ring-4-d5d53ad9.jpg
b'Untitled',b'Viggo Johansen',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-8/untitled-viggo-johansen-2-efb0c92f.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-4/untitled-laurits-andersen-ring-20-6c55902b.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-3/untitled-laurits-andersen-ring-12-39623ce3.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-9/untitled-laurits-andersen-ring-28-734134f4.jpg
b'Untitled',b'Wilhelm Marstrand',b'Untitled',,https://az334034.vo.msecnd.net/images-8/untitled-wilhelm-marstrand-81d6cecf.jpg
b'Untitled',b'Kristian Zahrtmann',b'Untitled',,https://az334034.vo.msecnd.net/images-8/untitled-kristian-zahrtmann-1-8ba32d54.jpg
b"Sewing fisherman's wife",b'Anna Ancher',b'1890',b'DK',https://az334033.vo.msecnd.net/images-1/untitled-anna-ancher-2-cbfd6207.jpg
b'Sommerdag ved Roskilde Fjord',b'Laurits Andersen Ring',b'Fjord',b'DK',https://az334033.vo.msecnd.net/images-9/sommerdag-ved-roskilde-fjord-laurits-andersen-ring-405cd20f.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az334033.vo.msecnd.net/images-7/untitled-laurits-andersen-ring-25-42ccc048.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-1/untitled-laurits-andersen-ring-29-a1b06cda.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333960.vo.msecnd.net/images-9/untitled-laurits-andersen-ring-27-74177886.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az334033.vo.msecnd.net/images-5/untitled-laurits-andersen-ring-30-9a83614c.jpg
b'Untitled',b'Peter Hansen',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-1/untitled-peter-hansen-cb9f90e5.jpg
b'Untitled',b'Emilie Mundt',b'Untitled',,https://az334034.vo.msecnd.net/images-5/untitled-emilie-mundt-b50ab8d8.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-3/untitled-laurits-andersen-ring-9-5c5672b8.jpg
