Title,Artist,Year,Country,Thumbnail
b'The Madhouse',b'Francisco de Goya',b'1812',b'ES',https://az334034.vo.msecnd.net/images-3/the-madhouse-francisco-de-goya-1812-4b38d540.jpg
b'Self-portrait in the Studio',b'Francisco de Goya',b'1790',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-francisco-de-goya-1790-ace6d1b1.jpg
b'Portrait of Manuel Godoy',b'Francisco de Goya',b'1801',b'ES',https://az334033.vo.msecnd.net/images-4/portrait-of-manuel-godoy-francisco-de-goya-1801-b5c0b6bf.jpg
b'Untitled',b'Diego Vel\xc3\xa1zquez',b'Untitled',b'ES',https://az334033.vo.msecnd.net/images-7/untitled-diego-velazquez-3-0027996d.jpg
b'A Procession of Flagellants',b'Francisco de Goya',b'1812',b'ES',https://az334033.vo.msecnd.net/images-3/a-procession-of-flagellants-francisco-de-goya-1812-ee08a614.jpg
b"The Knight's Dream",b'Antonio de Pereda',b'1670',,https://az333960.vo.msecnd.net/images-9/the-knight-s-dream-antonio-de-pereda-1670-2439037e.jpg
b'Untitled',b'Juan Bautista Mart\xc3\xadnez del Mazo',b'1660',,https://az334033.vo.msecnd.net/images-4/untitled-juan-bautista-martinez-del-mazo-1660-1-be76cc22.jpg
b'Untitled',b'Jusepe Leonardo',b'1630',,https://az333960.vo.msecnd.net/images-6/untitled-jusepe-leonardo-1630-3cdf30b1.jpg
b'Untitled',b'Francisco de Goya',b'1808',b'ES',https://az334033.vo.msecnd.net/images-8/untitled-francisco-de-goya-1808-1-1561a4e9.jpg
b'Untitled',b'Francisco de Zurbar\xc3\xa1n',b'1630',b'ES',https://az333960.vo.msecnd.net/images-1/untitled-francisco-de-zurbaran-1630-2-5376b1cc.jpg
b'The Burial of the Sardine',b'Francisco de Goya',b'1812',b'ES',https://az334033.vo.msecnd.net/images-6/the-burial-of-the-sardine-francisco-de-goya-1812-31c7ccbf.jpg
b'The Last Supper',b'Otto van Veen',b'Supper',,https://az333960.vo.msecnd.net/images-0/the-last-supper-otto-van-veen-68013437.jpg
b'The Two Saints John',b'Anthony van Dyck',b'1620',b'NL',https://az334033.vo.msecnd.net/images-8/the-two-saints-john-anthony-van-dyck-1620-25ccba6c.jpg
b'Friar Francisco Zumel',b'Francisco de Zurbar\xc3\xa1n',b'1633',b'ES',https://az334034.vo.msecnd.net/images-6/friar-francisco-zumel-francisco-de-zurbaran-b44dc074.jpg
b'The Inquisition Tribunal',b'Francisco de Goya',b'1812',b'ES',https://az333959.vo.msecnd.net/images-1/the-inquisition-tribunal-francisco-de-goya-1812-3fb0771b.jpg
b'Untitled',b'Francisco de Goya',b'1799',b'ES',https://az334033.vo.msecnd.net/images-7/untitled-francisco-de-goya-1799-1-76c1f671.jpg
b'Untitled',b'Francisco de Goya',b'1799',b'ES',https://az333960.vo.msecnd.net/images-6/untitled-francisco-de-goya-1799-abc5a664.jpg
b'Untitled',b'Antonio da Correggio',b'1516',b'IT',https://az334033.vo.msecnd.net/images-0/untitled-antonio-da-correggio-1516-d1fac53f.jpg
