Title,Artist,Year,Country,Thumbnail
b'Gallery of a Collector',b'Frans Francken the Younger',b'1625',b'BE',https://az333960.vo.msecnd.net/images-9/gallery-of-a-collector-frans-francken-the-younger-1625-fad3b3c6.jpg
b'Girls Bathing at the Seaside',b'Claude-Joseph Vernet',b'1761',b'FR',https://az333959.vo.msecnd.net/images-7/girls-bathing-at-the-seaside-claude-joseph-vernet-1761-55588c51.jpg
b'Gallery of a Collector',b'Cornelis de Baellieur',b'1635',,https://az334034.vo.msecnd.net/images-3/gallery-of-a-collector-cornelis-de-baellieur-1635-ae9f79d2.jpg
b'Fountain on a Palace Terrace',b'Hubert Robert',b'1750',b'FR',https://az333959.vo.msecnd.net/images-9/fountain-on-a-palace-terrace-hubert-robert-1750-8ceb9dd1.jpg
b'Innenansicht der Nieuwe Kerk in Delft',b'Emanuel de Witte',b'1664',,https://az334033.vo.msecnd.net/images-4/innenansicht-der-nieuwe-kerk-in-delft-emanuel-de-witte-1664-56ef06fb.jpg
b'Village Tavern with Four Figures',b'Adriaen van Ostade',b'1635',b'NL',https://az333959.vo.msecnd.net/images-4/village-tavern-with-four-figures-adriaen-van-ostade-1635-294c0591.jpg
b'A Card-party by Candlelight',b'Gerrit Dou',b'1660',b'NL',https://az334033.vo.msecnd.net/images-0/a-card-party-by-candlelight-gerrit-dou-1660-b83db653.jpg
|b'Still life, Breakfast with Wine glass and Goudse pipe'|,b'Jan Davidsz de Heem',b'1642',,https://az334033.vo.msecnd.net/images-7/still-life-breakfast-with-wine-glass-and-goudse-pipe-jan-davidsz-de-heem-1642-49b62de2.jpg
b'Driving the Cattle out to Pasture in the Morning',b'Paulus Potter',b'1647',b'NL',https://az333960.vo.msecnd.net/images-8/driving-the-cattle-out-to-pasture-in-the-morning-paulus-potter-1647-c4b8f366.jpg
b'Feeling',b'Adriaen Brouwer',b'1635',,https://az334033.vo.msecnd.net/images-2/feeling-adriaen-brouwer-1635-f73b0ffe.jpg
b'Norwegian Landscape with Waterfall',b'Jacob van Ruisdael',b'Waterfall',b'NL',https://az333960.vo.msecnd.net/images-1/norwegian-landscape-with-waterfall-jacob-van-ruisdael-1-01276373.jpg
b'Old Woman Praying',b'Rembrandt',b'Praying',b'NL',https://az333960.vo.msecnd.net/images-4/old-woman-praying-rembrandt-3dc3e90d.jpg
b'Hagar and the Angel',b'Carel Fabritius',b'Angel',b'NL',https://az333959.vo.msecnd.net/images-0/hagar-and-the-angel-carel-fabritius-84e0aa2c.jpg
b'Allegory on Emperor Charles as Ruler of Vast Realms',b'Peter Paul Rubens',b'1604',b'NL',https://az334033.vo.msecnd.net/images-2/allegory-on-emperor-charles-as-ruler-of-vast-realms-peter-paul-rubens-1604-1334da3b.jpg
b'Allegory of Chastity',b'Godfried Schalcken',b'1690',b'NL',https://az334033.vo.msecnd.net/images-0/allegory-of-chastity-godfried-schalcken-1690-1edfd890.jpg
b'View of the Binnenhof in the Hague',b'Gerrit Adriaenszoon Berckheyde',b'1680',,https://az333960.vo.msecnd.net/images-7/view-of-the-binnenhof-in-the-hague-gerrit-adriaenszoon-berckheyde-1680-f9654f63.jpg
b'Cattle and Herders with a View of the Mariakerk in Utrecht',b'Aelbert Cuyp',b'1642',b'NL',https://az333960.vo.msecnd.net/images-1/cattle-and-herders-with-a-view-of-the-mariakerk-in-utrecht-aelbert-cuyp-1642-9e98291f.jpg
b'Drinking and Smoking in a Tavern',b'Adriaen van Ostade',b'1650',b'NL',https://az333960.vo.msecnd.net/images-2/drinking-and-smoking-in-a-tavern-adriaen-van-ostade-1650-28eb1835.jpg
