Title,Artist,Year,Country,Thumbnail
b'A Baptism',b'Michael Peter Ancher',b'1888',b'DK',https://az334033.vo.msecnd.net/images-9/a-baptism-michael-peter-ancher-a19a7df3.jpg
b'A ship on fire in the harbour of the Italian island Procidia',b'Martinus R\xc3\xb8rbye',b'Procidia',b'DK',https://az334034.vo.msecnd.net/images-7/a-ship-on-fire-in-the-harbour-of-the-italian-island-procidia-martinus-rorbye-a8047544.jpg
b"Prometheus' Befreiung",b'Carl Bloch',b'1864',b'DK',https://az333960.vo.msecnd.net/images-8/prometheus-befreiung-carl-bloch-1864-b36d4ef5.jpg
b'Ma table de petit d\xc3\xa9jeuner \xc3\xa0 Portofino',b'Kristian Zahrtmann',b'1900',,https://az333959.vo.msecnd.net/images-7/ma-table-de-petit-dejeuner-a-portofino-kristian-zahrtmann-1900-e1aa307c.jpg
b'Oberst Max M\xc3\xbcller am Sankelmarksee am 6. Februar 1864',b'Otto Bache',b'1886',,https://az333960.vo.msecnd.net/images-5/oberst-max-muller-am-sankelmarksee-am-6-februar-1864-otto-bache-1886-8b23b471.jpg
b'Three Ladies in a Garden',b'Vilhelm Kyhn',b'1879',,https://az333960.vo.msecnd.net/images-2/three-ladies-in-a-garden-vilhelm-kyhn-1879-a082b16c.jpg
b'Untitled',b'J\xc3\xb8rgen Sonne',b'1840',b'DK',https://az333959.vo.msecnd.net/images-3/untitled-jorgen-sonne-1840-92c1a66b.jpg
b'Untitled',b'Erik Henningsen',b'1903',,https://az333960.vo.msecnd.net/images-9/untitled-erik-henningsen-1903-dfa6a629.jpg
b'Untitled',b'Vilhelm Kyhn',b'Untitled',,https://az333960.vo.msecnd.net/images-6/untitled-vilhelm-kyhn-ebf0e1c6.jpg
b'Untitled',b'Martinus R\xc3\xb8rbye',b'Untitled',b'DK',https://az333960.vo.msecnd.net/images-1/untitled-martinus-rorbye-5-894a0428.jpg
b'Untitled',b'Laurits Andersen Ring',b'Untitled',b'DK',https://az333959.vo.msecnd.net/images-4/untitled-laurits-andersen-ring-3-4cc2eb40.jpg
b'Untitled',b'Hans Smidth',b'Untitled',,https://az333959.vo.msecnd.net/images-7/untitled-hans-smidth-2-259d4fa2.jpg
b'Untitled',b'Carl Bloch',b'1864',b'DK',https://az333959.vo.msecnd.net/images-5/untitled-carl-bloch-1864-726f783b.jpg
b'Untitled',b'Harald Giersing',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-7/untitled-harald-giersing-4-b85d0a15.jpg
b'Coast of Capri with drawn boats',b'Fritz Petzholdt',b'boats',,https://az334034.vo.msecnd.net/images-0/coast-of-capri-with-drawn-boats-fritz-petzholdt-0153ba2a.jpg
b'Eine Wagendurchfahrt',b'Otto Bache',b'1856',,https://az333959.vo.msecnd.net/images-9/eine-wagendurchfahrt-otto-bache-1856-3c4b6e16.jpg
b'Untitled',b'J\xc3\xb8rgen Sonne',b'1839',b'DK',https://az334034.vo.msecnd.net/images-4/untitled-jorgen-sonne-1839-61bd5e8b.jpg
b'Untitled',b'Johannes Wilhjelm',b'1908',b'DK',https://az334033.vo.msecnd.net/images-3/untitled-johannes-wilhjelm-1908-5216482c.jpg
b'Untitled',b'Vilhelm Kyhn',b'1846',,https://az333959.vo.msecnd.net/images-1/untitled-vilhelm-kyhn-1846-288e6e6d.jpg
|b'View of the District near the River Karup, Jutland'|,b'Johan Rohde',b'1889',,https://az334034.vo.msecnd.net/images-1/view-of-the-district-near-the-river-karup-jutland-johan-rohde-1889-b35a707e.jpg
b'Untitled',b'J\xc3\xb8rgen Sonne',b'1860',b'DK',https://az334034.vo.msecnd.net/images-7/untitled-jorgen-sonne-1860-dbf8f286.jpg
|b'Struensee, sitting in court suit'|,b'Kristian Zahrtmann',b'1873',,https://az333959.vo.msecnd.net/images-9/struensee-sitting-in-court-suit-kristian-zahrtmann-1873-1775f966.jpg
b'Untitled',b'Kristian Zahrtmann',b'1875',,https://az333960.vo.msecnd.net/images-4/untitled-kristian-zahrtmann-1875-1-5462f28a.jpg
b'Sheep in a fold',b'Theodor Philipsen',b'1892',,https://az334033.vo.msecnd.net/images-1/sheep-in-a-fold-theodor-philipsen-1892-19ed2cb2.jpg
b'Untitled',b'Hans Smidth',b'Untitled',,https://az334034.vo.msecnd.net/images-5/untitled-hans-smidth-1-61f76c22.jpg
b'Cr\xc3\xa9puscule',b'Harald Slott-M\xc3\xb8ller',b'1918',b'DK',https://az334034.vo.msecnd.net/images-1/crepuscule-harald-slott-moller-1918-8549c4a2.jpg
|b'The Catholic Worldview, Allegory'|,b'Nicolai Abildgaard',b'1809',b'DK',https://az334033.vo.msecnd.net/images-7/the-catholic-worldview-allegory-nicolai-abildgaard-1809-a877fbba.jpg
b'Young cattle enjoy green fodder in the barn',b'Otto Bache',b'1882',,https://az334033.vo.msecnd.net/images-1/young-cattle-enjoy-green-fodder-in-the-barn-otto-bache-1882-2194db9e.jpg
b'Ribe seen from the West',b'Knud Larsen',b'1907',,https://az334033.vo.msecnd.net/images-9/ribe-seen-from-the-west-knud-larsen-1907-64591ffe.jpg
b'Untitled',b'Hans Smidth',b'Untitled',,https://az333960.vo.msecnd.net/images-1/untitled-hans-smidth-3-480af8dd.jpg
|b'Zealandish Landscape, evening'|,b'Vilhelm Kyhn',b'1843',,https://az334033.vo.msecnd.net/images-1/zealandish-landscape-evening-vilhelm-kyhn-1843-8be66c12.jpg
b'Untitled',b'Kristian Zahrtmann',b'1875',,https://az334034.vo.msecnd.net/images-9/untitled-kristian-zahrtmann-1875-62f4af2f.jpg
