Title,Artist,Year,Country,Thumbnail

b'The cat at play',b'Henri\xc3\xabtte Ronner',b'1860',,https://az334034.vo.msecnd.net/images-4/the-cat-at-play-henriette-ronner-1860-b23c1826.jpg

b'Girl at the Piano',b'Jacob Maris',b'1879',b'NL',https://az333959.vo.msecnd.net/images-0/girl-at-the-piano-jacob-maris-1879-c6bad97e.jpg

|b'William II, Prince of Orange, and his Bride, Mary Stuart'|,b'Anthony van Dyck',b'1641',b'NL',https://az333959.vo.msecnd.net/images-9/william-ii-prince-of-orange-and-his-bride-mary-stuart-anthony-van-dyck-1641-11dc394c.jpg

b'Feeding Chickens',b'Jacob Maris',b'1866',b'NL',https://az334033.vo.msecnd.net/images-0/feeding-chickens-jacob-maris-1866-7ec60170.jpg

b'Sunday Morning',b'Hendrik Jacobus Scholten',b'1865',,https://az333960.vo.msecnd.net/images-6/sunday-morning-hendrik-jacobus-scholten-1865-1d1b5767.jpg

b'Portret van een vrouw',b'Isaac Israels',b'1900',b'NL',https://az334034.vo.msecnd.net/images-2/portret-van-een-vrouw-isaac-israels-1900-15c401c9.jpg

b'Judith and Holofernes',b'Jan de Bray',b'1659',b'NL',https://az334034.vo.msecnd.net/images-5/judith-and-holofernes-jan-de-bray-1659-0054a0ac.jpg

|b'Portrait of a Couple, Probably Isaac Abrahamsz Massa and...'|,b'Frans Hals',b'1622',b'NL',https://az333959.vo.msecnd.net/images-2/portrait-of-a-couple-probably-isaac-abrahamsz-massa-and-beatrix-van-der-laen-frans-hals-1622-0731ec82.jpg

b'Winter Landscape with Ice Skaters',b'Hendrick Avercamp',b'1608',b'NL',https://az334033.vo.msecnd.net/images-6/winter-landscape-with-ice-skaters-hendrick-avercamp-1608-84f21992.jpg

b'The Threatened Swan',b'Jan Asselijn',b'1650',b'NL',https://az333959.vo.msecnd.net/images-9/the-threatened-swan-jan-asselijn-1650-50695967.jpg

b'The Harmonists',b'Henri\xc3\xabtte Ronner',b'1876',,https://az333960.vo.msecnd.net/images-2/the-harmonists-henriette-ronner-1876-66f241cf.jpg

|b'Oph\xc3\xa9lie, la cape bleue sur les eaux'|,b'Odilon Redon',b'1905',b'FR',https://az334034.vo.msecnd.net/images-6/ophelie-la-cape-bleue-sur-les-eaux-odilon-redon-1900-13341634.jpg

b'Farms on the Fringe of a Wood',b'Egbert van Drielst',b'1812',,https://az333959.vo.msecnd.net/images-2/farms-on-the-fringe-of-a-wood-egbert-van-drielst-1812-5956936b.jpg

b'Gezicht op Civita Castellana',b'Dani\xc3\xabl Dupr\xc3\xa9',b'1792',,https://az334034.vo.msecnd.net/images-8/gezicht-op-civita-castellana-daniel-dupre-1792-ce20e0e9.jpg

b'Musical Company',b'Rembrandt',b'1626',b'NL',https://az334034.vo.msecnd.net/images-5/musical-company-rembrandt-van-rijn-1626-897beaee.jpg

b'Cimon and Pero (Roman Charity)',b'Peter Paul Rubens',b'1630',b'NL',https://az334033.vo.msecnd.net/images-6/cimon-and-pero-roman-charity-peter-paul-rubens-1630-466c14a4.jpg

b'Putti with Mirrors',b'Jacob de Wit',b'1725',,https://az334034.vo.msecnd.net/images-5/putti-with-mirrors-jacob-de-wit-1725-fc358188.jpg

b'The Conspiracy of the Batavians under Claudius Civilis',b'Rembrandt',b'1661',b'NL',https://az333959.vo.msecnd.net/images-1/the-conspiracy-of-the-batavians-under-claudius-civilis-rembrandt-van-rijn-1661-12cfaede.jpg

b'Militia Company of District II under the Command of...',b'Rembrandt',b'1642',b'NL',https://az333959.vo.msecnd.net/images-7/militia-company-of-district-ii-under-the-command-of-captain-frans-banninck-cocq-known-as-the-night-watch-rembrandt-harmensz-van-rijn-1642-6f6b1305.jpg

b'Bouquet of Flowers with a Butterfly',b'Willem van Leen',b'1763',b'NL',https://az333959.vo.msecnd.net/images-0/bouquet-of-flowers-with-a-butterfly-willem-van-leen-1763-7efdac01.jpg

b'Salom\xc3\xa9 met het hoofd van Johannes de Doper',b'Jan Adam Kruseman',b'1861',b'NL',https://az333960.vo.msecnd.net/images-0/salome-met-het-hoofd-van-johannes-de-doper-jan-adam-kruseman-1861-2885ff7f.jpg

b'Still Life with Fruit',b'Jan van Huysum',b'1700',b'NL',https://az334034.vo.msecnd.net/images-3/still-life-with-fruit-jan-van-huysum-1700-bbb2f9a7.jpg

b'The Love Letter',b'Johannes Vermeer',b'1669',b'NL',https://az333959.vo.msecnd.net/images-7/the-love-letter-johannes-vermeer-1669-081eeb33.jpg

b'Summer Luxuriance',b'Jac van Looij',b'1890',,https://az334033.vo.msecnd.net/images-5/summer-luxuriance-jac-van-looij-1890-374db0aa.jpg

b'The Merry Fiddler',b'Gerard van Honthorst',b'1623',b'NL',https://az334033.vo.msecnd.net/images-8/the-merry-fiddler-gerard-van-honthorst-1623-9370b205.jpg

