Title,Artist,Year,Country,Thumbnail
b'A family in Elswout',b'Adriaan de Lelie',b'Elswout',b'NL',https://az334034.vo.msecnd.net/images-0/a-family-in-elswout-adriaan-de-lelie-cc946d81.jpg
b'The Tower of Babel',b'Hendrick van Cleve',b'1550',,https://az334034.vo.msecnd.net/images-3/the-tower-of-babel-hendrick-van-cleve-1550-1-a5a25450.jpg
b'Louveciennes in Autumn',b'Alfred Sisley',b'1872',b'GB',https://az333959.vo.msecnd.net/images-6/louveciennes-in-autumn-alfred-sisley-1872-d22f230d.jpg
b'Six-year-old Girl holding a Cherry',b'Jan Claesz',b'Cherry',,https://az333960.vo.msecnd.net/images-2/six-year-old-girl-holding-a-cherry-jan-claesz-9bef41ff.jpg
b'Rijnlandschap met ru\xc3\xafne',b'Barend Cornelis Koekkoek',b'1847',b'NL',https://az333959.vo.msecnd.net/images-4/rijnlandschap-met-ruine-barend-cornelis-koekkoek-1847-8e321204.jpg
b'Zelfportret',b'Jan Adam Kruseman',b'1900',b'NL',https://az333959.vo.msecnd.net/images-3/zelfportret-jan-adam-kruseman-1900-1c0cc38d.jpg
b'Landschap met watermolen en veedrijvende boeren',b'Barend Cornelis Koekkoek',b'1852',b'NL',https://az334033.vo.msecnd.net/images-4/landschap-met-watermolen-en-veedrijvende-boeren-barend-cornelis-koekkoek-1852-af783063.jpg
b'Het snijden van de kei',b'Jan Steen',b'kei',b'NL',https://az333959.vo.msecnd.net/images-1/het-snijden-van-de-kei-jan-steen-002f25c6.jpg
b'De apotheose van Psyche',b'Jacob de Wit',b'1744',,https://az334033.vo.msecnd.net/images-9/de-apotheose-van-psyche-jacob-de-wit-1744-7f33fc3e.jpg
b'Gezicht op het strand bij Zandvoort',b'Hendrick Cornelisz Vroom',b'Zandvoort',,https://az334033.vo.msecnd.net/images-3/gezicht-op-het-strand-bij-zandvoort-hendrick-cornelisz-vroom-bdcd5700.jpg
b'Cliffs near Pourville',b'Claude Monet',b'1882',b'FR',https://az333960.vo.msecnd.net/images-0/cliffs-near-pourville-claude-monet-1882-2f720959.jpg
b'Het wafelhuis',b'Willem Joseph Laquy',b'1775',,https://az334033.vo.msecnd.net/images-8/het-wafelhuis-willem-joseph-laquy-1775-aeb2cc88.jpg
b'Portrait of Cornelia Strick van Linschoten',b'Cornelis Janssens van Ceulen',b'1654',,https://az333960.vo.msecnd.net/images-9/portrait-of-cornelia-strick-van-linschoten-cornelis-janssens-van-ceulen-1654-af0d8c76.jpg
b'Landscape with Sluice',b'Jacob van Ruisdael',b'Sluice',b'NL',https://az333959.vo.msecnd.net/images-9/landscape-with-sluice-jacob-van-ruisdael-a243e5bf.jpg
b'Flowers in a square glass.',b'Ambrosius Bosschaert',b'glass.',b'NL',https://az334033.vo.msecnd.net/images-1/flowers-in-a-square-glass-ambrosius-bosschaert-1-622ad200.jpg
b'Jhr. Gijsbert Carel Rutger Reinier van Brienen van...',b'Adriaan de Lelie',b'1804',b'NL',https://az333960.vo.msecnd.net/images-5/jhr-gijsbert-carel-rutger-reinier-van-brienen-van-ramerus-1771-1821-met-zijn-vrouw-en-vier-van-hun-kinderen-adriaan-de-lelie-1804-1a8cd080.jpg
b'Old Woman Reading',b'Cornelius van Poelenburgh',b'1630',,https://az334033.vo.msecnd.net/images-9/old-woman-reading-cornelius-van-poelenburgh-1630-00d3d49b.jpg
b'Flowers in a square glass',b'Ambrosius Bosschaert',b'glass',b'NL',https://az334033.vo.msecnd.net/images-3/flowers-in-a-square-glass-ambrosius-bosschaert-8cbc68d6.jpg
b'Alexander de Grote in de slag tegen de Perzen bij de...',b'Cornelis Troost',b'1737',b'NL',https://az333960.vo.msecnd.net/images-8/alexander-de-grote-in-de-slag-tegen-de-perzen-bij-de-granikos-cornelis-troost-1737-b11e6bc8.jpg
b'Jacob Pijnssen',b'Jacob Cornelisz van Oostsanen',b'1514',b'NL',https://az334033.vo.msecnd.net/images-1/jacob-pijnssen-jacob-cornelisz-van-oostsanen-1514-215e7ae6.jpg
b'Mr. Cornelis Gerard Fagel',b'Adriaen van der Werff',b'1694',b'NL',https://az334033.vo.msecnd.net/images-8/mr-cornelis-gerard-fagel-adriaen-van-der-werff-1694-69271820.jpg
b'Stilleven',b'Willem van Leen',b'1798',b'NL',https://az333959.vo.msecnd.net/images-6/stilleven-willem-van-leen-1798-1-b7ff17c8.jpg
b'De prediking van Johannes de Doper',b'Jan Swart van Groningen',b'Doper',,https://az334034.vo.msecnd.net/images-2/de-prediking-van-johannes-de-doper-jan-swart-van-groningen-c5552c45.jpg
b'Boerderij tussen beuken',b'Arnold Marc Gorter',b'1890',,https://az333960.vo.msecnd.net/images-0/boerderij-tussen-beuken-arnold-marc-gorter-1890-803571f2.jpg
b'Slechtvalk met nonnetje als prooi bij zijn nest aan de kust',b'Bruno Liljefors',b'1923',,https://az334033.vo.msecnd.net/images-6/slechtvalk-met-nonnetje-als-prooi-bij-zijn-nest-aan-de-kust-bruno-liljefors-1923-9c0e02d0.jpg
b'Bloemen in glazen vaas',b'Henri Fantin-Latour',b'1864',b'FR',https://az333960.vo.msecnd.net/images-5/bloemen-in-glazen-vaas-henri-fantin-latour-1864-21822148.jpg
b'Boeket (Bouquet de roses)',b'Narcisse Virgilio D\xc3\xadaz',b'roses)',b'FR',https://az334033.vo.msecnd.net/images-2/boeket-bouquet-de-roses-narcisse-virgilio-diaz-5ae0f6d2.jpg
b'Waldlandschaft mit ruhendem Hirten an einem sonnigen Weg...',b'Thomas Gainsborough',b'Weg...',b'GB',https://az333959.vo.msecnd.net/images-4/waldlandschaft-mit-ruhendem-hirten-an-einem-sonnigen-weg-mit-schafen-thomas-gainsborough-918201bb.jpg
b'Vijf knielende figuren van een stichtersgroep',b'Master of Alkmaar',b'stichtersgroep',b'NL',https://az333959.vo.msecnd.net/images-6/vijf-knielende-figuren-van-een-stichtersgroep-master-of-alkmaar-cf8a7b8f.jpg
b'Ontwerp voor een plafondstuk met de apotheose van Aeneas....',b'Jacob de Wit',b'Aeneas....',,https://az334034.vo.msecnd.net/images-5/ontwerp-voor-een-plafondstuk-met-de-apotheose-van-aeneas-in-de-hoeken-de-vier-jaargetijden-in-brunaille-jacob-de-wit-bbd6f969.jpg
b'Eidereenden boven woelige zee',b'Bruno Liljefors',b'1912',,https://az333960.vo.msecnd.net/images-4/eidereenden-boven-woelige-zee-bruno-liljefors-1912-1bde8e03.jpg
b'De alchimisten',b'Jan Steen',b'alchimisten',b'NL',https://az333960.vo.msecnd.net/images-3/de-alchimisten-jan-steen-78d616d0.jpg
b'Berglandschap',b'Roelant Roghman',b'Berglandschap',,https://az333960.vo.msecnd.net/images-4/berglandschap-roelant-roghman-8458d639.jpg
b'Kudde opgejaagde Afrikaanse buffels en koereigers',b'Wilhelm Kuhnert',b'1921',,https://az333959.vo.msecnd.net/images-6/kudde-opgejaagde-afrikaanse-buffels-en-koereigers-wilhelm-kuhnert-1921-f6a5e1a6.jpg
b'Familieportret van Joost Christoffel van Bevervoorde en...',b'Roelof Koets',b'en...',,https://az333960.vo.msecnd.net/images-9/familieportret-van-joost-christoffel-van-bevervoorde-en-judith-margaretha-van-coeverden-tot-den-stoevelaar-en-hun-zoontje-roelof-koets-77feb3d5.jpg
b'Madonna and Child',b'Jan Gossaert',b'1529',b'NL',https://az333960.vo.msecnd.net/images-7/madonna-and-child-jan-gossaert-1529-0726d94d.jpg
b'Aan de vaart',b'Jacob Maris',b'vaart',b'NL',https://az333959.vo.msecnd.net/images-7/aan-de-vaart-jacob-maris-7652d74c.jpg
b'Landschap met herberg en boeren',b'Cornelis Massijs',b'boeren',b'NL',https://az333959.vo.msecnd.net/images-6/landschap-met-herberg-en-boeren-cornelis-massijs-91ea5c24.jpg
b'Lenore - de terugkeer van het leger',b'Ary Scheffer',b'1829',,https://az333960.vo.msecnd.net/images-7/lenore-de-terugkeer-van-het-leger-ary-scheffer-1829-c13ea182.jpg
b'Interieur van de Nieuwe Kerk te Haarlem',b'Pieter Jansz Saenredam',b'1655',,https://az333959.vo.msecnd.net/images-1/interieur-van-de-nieuwe-kerk-te-haarlem-pieter-jansz-saenredam-1655-29f46880.jpg
b'Portrait of a Lady with an Ostrich Fan',b'Johannes Cornelisz Verspronck',b'1640',,https://az334034.vo.msecnd.net/images-5/portrait-of-a-lady-with-an-ostrich-fan-johannes-cornelisz-verspronck-1640-408c9ffb.jpg
b'Gezicht op de Dam te Amsterdam',b'Gerrit Adriaenszoon Berckheyde',b'1682',,https://az334033.vo.msecnd.net/images-8/gezicht-op-de-dam-te-amsterdam-gerrit-adriaenszoon-berckheyde-1682-b614d2b3.jpg
b'Rustende Grantgazelle',b'Wilhelm Kuhnert',b'1912',,https://az333960.vo.msecnd.net/images-8/rustende-grantgazelle-wilhelm-kuhnert-1912-0e8fe570.jpg
b'Hoenderhof',b"Melchior d'Hondecoeter",b'Hoenderhof',,https://az333960.vo.msecnd.net/images-6/hoenderhof-melchior-d-hondecoeter-6aff662a.jpg
b'De jager (Le chasseur)',b'Alexandre-Gabriel Decamps',b'chasseur)',,https://az333960.vo.msecnd.net/images-2/de-jager-le-chasseur-alexandre-gabriel-decamps-faccc087.jpg
b'Gezicht op Kleef',b'Joris van der Haagen',b'Kleef',,https://az334033.vo.msecnd.net/images-4/gezicht-op-kleef-joris-van-der-haagen-febc568a.jpg
b'Allegorical portrait of two children',b'Carel de Moor',b'children',,https://az333960.vo.msecnd.net/images-2/allegorical-portrait-of-two-children-carel-de-moor-f59f7264.jpg
b'Portret van een onbekende man',b'Joos van Cleve',b'1550',b'BE',https://az333959.vo.msecnd.net/images-4/portret-van-een-onbekende-man-joos-van-cleve-1550-afe7a9b6.jpg
|b'Stilleven met bloemen, vruchten en gevogelte'|,b'Jan van Os',b'1774',b'NL',https://az334033.vo.msecnd.net/images-3/stilleven-met-bloemen-vruchten-en-gevogelte-jan-van-os-1774-6adf8d22.jpg
b'Gezicht op het IJ bij Amsterdam',b'Abraham Storck',b'Amsterdam',,https://az334034.vo.msecnd.net/images-3/gezicht-op-het-ij-bij-amsterdam-abraham-storck-e964c01d.jpg
b"'Liefde Triompheert'",b'Jacob de Wit',b"Triompheert'",,https://az334033.vo.msecnd.net/images-0/liefde-triompheert-jacob-de-wit-8d6ac1b6.jpg
b'Haan met kippen',b'Jacob Gerritsz Cuyp',b'kippen',,https://az333960.vo.msecnd.net/images-9/haan-met-kippen-jacob-gerritsz-cuyp-2bd7a0eb.jpg
b'Dromerij bij zonsondergang (R\xc3\xaaverie)',b'Henri Fantin-Latour',b'(R\xc3\xaaverie)',b'FR',https://az334033.vo.msecnd.net/images-1/dromerij-bij-zonsondergang-reverie-henri-fantin-latour-1a0b717c.jpg
b'Oude vrouw bij een klok',b'Suze Robertson',b'klok',,https://az334034.vo.msecnd.net/images-0/oude-vrouw-bij-een-klok-suze-robertson-976145c5.jpg
b'Het jaagpad',b'Jacob Maris',b'jaagpad',b'NL',https://az334033.vo.msecnd.net/images-7/het-jaagpad-jacob-maris-4c13e5e2.jpg
b'Stilleven met koperen kan',b'Adriaen van Ostade',b'kan',b'NL',https://az333960.vo.msecnd.net/images-7/stilleven-met-koperen-kan-adriaen-van-ostade-d3146451.jpg
b'Marie Romain Hamelin (1734-1798)',b'Alexander Roslin',b'1781',,https://az333960.vo.msecnd.net/images-0/marie-romain-hamelin-1734-1798-alexander-roslin-1781-39309cbe.jpg
b'Landschap met hofstede en windmolen',b'Jan Brueghel the Elder',b'windmolen',b'BE',https://az334034.vo.msecnd.net/images-8/landschap-met-hofstede-en-windmolen-jan-brueghel-the-elder-1c93f8d9.jpg
b'Interieur met een slapende man en een vrouw die sokken stopt',b'Wybrand Hendricks',b'stopt',,https://az334033.vo.msecnd.net/images-2/interieur-met-een-slapende-man-en-een-vrouw-die-sokken-stopt-wybrand-hendricks-9b24b97e.jpg
b'Bij de Oude Kerk te Amsterdam',b'Cornelis Springer',b'1849',,https://az334033.vo.msecnd.net/images-3/bij-de-oude-kerk-te-amsterdam-cornelis-springer-1849-f41891e6.jpg
b'Portret van een onbekende vrouw met een boek',b'Wybrand Hendricks',b'1791',,https://az334034.vo.msecnd.net/images-0/portret-van-een-onbekende-vrouw-met-een-boek-wybrand-hendricks-1791-7d0e8db5.jpg
|b'Onbekende man, staande in een landschap'|,b'Tibout Regters',b'1757',,https://az333960.vo.msecnd.net/images-1/onbekende-man-staande-in-een-landschap-tibout-regters-1757-c9ecea11.jpg
b'Gezicht op de Rijn bij Arnhem',b'Jan van Goyen',b'Arnhem',b'NL',https://az333960.vo.msecnd.net/images-0/gezicht-op-de-rijn-bij-arnhem-jan-van-goyen-f010cb34.jpg
b'Henrik van Leeuwen',b'Jan van Bijlert',b'1652',,https://az334034.vo.msecnd.net/images-2/henrik-van-leeuwen-jan-van-bijlert-1652-bd3d242b.jpg
|b'Suzanna Cornelia Veeckens (1787-1871), vrouw van de...'|,b'Charles Howard Hodges',b'de...',,https://az334034.vo.msecnd.net/images-4/suzanna-cornelia-veeckens-1787-1871-vrouw-van-de-amsterdamse-koopman-isaac-tra-kranen-1790-1865-charles-howard-hodges-d69c403b.jpg
b'Still life with fruits on a blue bowl and shells',b'Balthasar van der Ast',b'shells',b'NL',https://az333959.vo.msecnd.net/images-7/still-life-with-fruits-on-a-blue-bowl-and-shells-balthasar-van-der-ast-24bf6814.jpg
