Title,Artist,Year,Country,Thumbnail
b"Trompe l'oeil",b'Carl Hofverberg',b'1737',b'SE',https://az333959.vo.msecnd.net/images-0/trompe-l-oeil-carl-hofverberg-1737-f326fdce.jpg
|b'Queen Ulrika Eleonora the Elder, Queen of Sweden'|,b'Erik Utterhielm',b'1690',,https://az334033.vo.msecnd.net/images-3/queen-ulrika-eleonora-the-elder-queen-of-sweden-erik-utterhielm-1690-09eb7321.jpg
|b'Chancellor of the Realm, Count Axel Oxenstierna'|,b'David Beck',b'1647',,https://az334033.vo.msecnd.net/images-9/chancellor-of-the-realm-count-axel-oxenstierna-david-beck-1647-9860763e.jpg
|b'Christina, Queen of Sweden'|,b'David Beck',b'1650',,https://az333959.vo.msecnd.net/images-2/christina-queen-of-sweden-david-beck-1650-0710b1b7.jpg
|b'Fredrik I, King of Sweden'|,b'Georg Engelhard Schr\xc3\xb6der',b'Sweden',,https://az333959.vo.msecnd.net/images-4/fredrik-i-king-of-sweden-georg-engelhard-schroder-098f8ea8.jpg
|b'Gustav III, King of Sweden'|,b'Lorens Pasch the Younger',b'1780',,https://az333960.vo.msecnd.net/images-7/gustav-iii-king-of-sweden-lorens-pasch-the-younger-1780-307a8d3f.jpg
|b'Hedvig Eleonora, Queen Dowager of Sweden'|,b'David Kl\xc3\xb6cker Ehrenstrahl',b'1661',,https://az334034.vo.msecnd.net/images-7/hedvig-eleonora-queen-dowager-of-sweden-david-klocker-ehrenstrahl-1661-0dff09a2.jpg
b'Hunting gear',b'Anthonis Leemans',b'1661',,https://az334033.vo.msecnd.net/images-9/hunting-gear-anthonis-leemans-1661-be8653f7.jpg
|b'Hedvig Sofia, Princess of Sweden, Duchess of Holstein...'|,b'David von Krafft',b'1700',,https://az334033.vo.msecnd.net/images-2/hedvig-sofia-princess-of-sweden-duchess-of-holstein-gottorp-david-von-krafft-1700-338efc19.jpg
|b'Oscar I, King of Sweden and Norway'|,b'Erik Wahlbergson',b'Norway',,https://az333959.vo.msecnd.net/images-1/oscar-i-king-of-sweden-and-norway-erik-wahlbergson-9e625834.jpg
|b'Queen Ulrika Eleonora the Elder, Queen of Sweden'|,b'Anonymous',b'1680',,https://az333960.vo.msecnd.net/images-8/queen-ulrika-eleonora-the-elder-queen-of-sweden-anonymous-1680-1dbdac91.jpg
|b'Gustavus Adolphus, King of Sweden'|,b'Anonymous',b'1630',,https://az333960.vo.msecnd.net/images-8/gustavus-adolphus-king-of-sweden-anonymous-1630-b394abb1.jpg
|b'Colonel Gustafsson, former Gustav IV Adolf, King of Sweden'|,b'Anonymous',b'1830',,https://az334034.vo.msecnd.net/images-3/colonel-gustafsson-former-gustav-iv-adolf-king-of-sweden-anonymous-1830-2ad893fc.jpg
b'Charles XI\xe2\x80\x99s family with relatives from the duchy...',b'David Kl\xc3\xb6cker Ehrenstrahl',b'1691',,https://az334034.vo.msecnd.net/images-6/charles-xi-s-family-with-relatives-from-the-duchy-holstein-gottorp-david-klocker-ehrenstrahl-1691-95b437fd.jpg
|b'Charles XI, King of Sweden'|,b'Erik Utterhielm',b'1690',,https://az333959.vo.msecnd.net/images-0/charles-xi-king-of-sweden-erik-utterhielm-1690-359d997b.jpg
|b'Gustavus Adolphus, King of Sweden'|,b'Jacob Hoefnagel',b'1624',,https://az334034.vo.msecnd.net/images-4/gustavus-adolphus-king-of-sweden-jacob-hoefnagel-1624-ae455dad.jpg
|b'Karl XV, King of Sweden and Norway'|,b'Carl Fredrik Ki\xc3\xb6rboe',b'1860',,https://az334033.vo.msecnd.net/images-4/karl-xv-king-of-sweden-and-norway-carl-fredrik-kiorboe-1860-877dbcfa.jpg
b'Islandic gerfalcon',b'Anonymous',b'1759',,https://az334034.vo.msecnd.net/images-6/islandic-gerfalcon-anonymous-1759-6e10cefd.jpg
