Title,Artist,Year,Country,Thumbnail
b'Wilan\xc3\xb3w Palace as seen from north-east',b'Bernardo Bellotto',b'1777',b'IT',https://az333959.vo.msecnd.net/images-8/wilanow-palace-as-seen-from-north-east-bernardo-bellotto-1777-e79ee9a6.jpg
b'Mniszech Palace in Warsaw',b'Bernardo Bellotto',b'1779',b'IT',https://az333960.vo.msecnd.net/images-1/mniszech-palace-in-warsaw-bernardo-bellotto-1779-a3c697ca.jpg
b'Stephen B\xc3\xa1thory at Pskov',b'Jan Matejko',b'Pskov',,https://az334034.vo.msecnd.net/images-9/stephen-bathory-at-pskov-jan-matejko-92073f68.jpg
b'Bridgettine Church and Arsenal in Warsaw',b'Bernardo Bellotto',b'1780',b'IT',https://az333960.vo.msecnd.net/images-1/bridgettine-church-and-arsenal-in-warsaw-bernardo-bellotto-1780-2a8a8a23.jpg
b'View of Cracow Suburb leading to the Castle Square',b'Bernardo Bellotto',b'1774',b'IT',https://az333960.vo.msecnd.net/images-6/view-of-cracow-suburb-leading-to-the-castle-square-bernardo-bellotto-1774-8a97f38f.jpg
b'Wilan\xc3\xb3w Palace as seen from south',b'Bernardo Bellotto',b'1777',b'IT',https://az334033.vo.msecnd.net/images-0/wilanow-palace-as-seen-from-south-bernardo-bellotto-1777-cee4252d.jpg
b'Girl in a Picture Frame',b'Rembrandt',b'1641',b'NL',https://az333959.vo.msecnd.net/images-3/girl-in-a-picture-frame-rembrandt-1641-b74d8d81.jpg
b'The Blue Palace in Warsaw',b'Bernardo Bellotto',b'1779',b'IT',https://az333959.vo.msecnd.net/images-6/the-blue-palace-in-warsaw-bernardo-bellotto-1779-d5804893.jpg
b'Courtyard of an Ancient Palace',b'Antonio Joli',b'1777',,https://az333959.vo.msecnd.net/images-3/courtyard-of-an-ancient-palace-antonio-joli-1777-60c93f99.jpg
|b'Constitution of May 3, 1791'|,b'Jan Matejko',b'1891',,https://az333960.vo.msecnd.net/images-1/constitution-of-may-3-1791-jan-matejko-1891-75201a25.jpg
