Title,Artist,Year,Country,Thumbnail
b'Diana and her Nymphs Spied upon by Satyrs',b'Peter Paul Rubens',b'1616',b'NL',https://az333960.vo.msecnd.net/images-2/diana-and-her-nymphs-spied-upon-by-satyrs-peter-paul-rubens-1616-bb925519.jpg
b'Venice: The Campo SS. Giovanni e Paolo',b'Canaletto',b'1736',b'IT',https://az333960.vo.msecnd.net/images-5/venice-the-campo-ss-giovanni-e-paolo-canaletto-1736-6805664d.jpg
b'Warley Camp: The Mock Attack',b'Philip James de Loutherbourg',b'1779',,https://az334033.vo.msecnd.net/images-3/warley-camp-the-mock-attack-philip-james-de-loutherbourg-1779-8ac4903f.jpg
b'The Continence of Scipio',b'Sebastiano Ricci',b'1705',b'IT',https://az333960.vo.msecnd.net/images-8/the-continence-of-scipio-sebastiano-ricci-1705-60481fb5.jpg
|b'Laetitia, Lady Lade (d. 1825)'|,b'George Stubbs',b'1793',b'GB',https://az333960.vo.msecnd.net/images-3/laetitia-lady-lade-d-1825-george-stubbs-1793-3a76c0c7.jpg
b'A Stag Hunt at Versailles',b'Anonymous',b'1700',,https://az333959.vo.msecnd.net/images-7/a-stag-hunt-at-versailles-anonymous-1700-1-3ace0193.jpg
|b'Mary Augusta, Lady Holland (1812-89)'|,b'George Frederic Watts',b'1843',,https://az333960.vo.msecnd.net/images-2/mary-augusta-lady-holland-1812-89-george-frederic-watts-1843-e07c0af2.jpg
b'Man holding a Bit',b'Anonymous',b'1545',,https://az334034.vo.msecnd.net/images-4/man-holding-a-bit-anonymous-1545-a7521652.jpg
b'A Sibyl',b'Orazio Gentileschi',b'1630',b'IT',https://az333960.vo.msecnd.net/images-3/a-sibyl-orazio-gentileschi-1630-506656ec.jpg
b'Pythagoras Advocating Vegetarianism',b'Peter Paul Rubens',b'1624',b'NL',https://az333960.vo.msecnd.net/images-0/pythagoras-advocating-vegetarianism-peter-paul-rubens-1624-13b83a43.jpg
b'The Inauguration of the Great Exhibition: 1 May 1851',b'David Roberts',b'1854',,https://az334033.vo.msecnd.net/images-0/the-inauguration-of-the-great-exhibition-1-may-1851-david-roberts-1854-be01ccb5.jpg
|b'Leopold I, King of the Belgians (1790-1865)'|,b'Anonymous',b'1850',,https://az334034.vo.msecnd.net/images-4/leopold-i-king-of-the-belgians-1790-1865-anonymous-2929e0e6.jpg
b'Queen Victoria with Prince Arthur',b'Franz Xaver Winterhalter',b'1850',,https://az334033.vo.msecnd.net/images-3/queen-victoria-with-prince-arthur-franz-xaver-winterhalter-1850-d2336279.jpg
b'George II (1683-1760)',b'Enoch Seeman',b'1730',,https://az334034.vo.msecnd.net/images-6/george-ii-1683-1760-enoch-seeman-e8df6e21.jpg
b"Blind-Man's Buff",b'Pietro Longhi',b'Buff',,https://az333960.vo.msecnd.net/images-3/blind-man-s-buff-pietro-longhi-df3dca0d.jpg
b'A View in Cairo',b'David Roberts',b'1840',,https://az334034.vo.msecnd.net/images-4/a-view-in-cairo-david-roberts-1840-868b07dd.jpg
b"Cimabue's Madonna Carried in Procession",b'Frederic Leighton',b'1853',b'GB',https://az334034.vo.msecnd.net/images-6/cimabue-s-madonna-carried-in-procession-frederic-leighton-1853-28798918.jpg
b'Queen Charlotte (1744-1818)',b'Benjamin West',b'1779',b'US',https://az333959.vo.msecnd.net/images-6/queen-charlotte-1744-1818-benjamin-west-1779-17b8450c.jpg
|b'The Holy Family with Saint Elizabeth, Saint John the...'|,b'Sebastiano Ricci',b'1710',b'IT',https://az334033.vo.msecnd.net/images-9/the-holy-family-with-saint-elizabeth-saint-john-the-baptist-and-an-angel-sebastiano-ricci-1710-65b41b69.jpg
b'The Royal Family in 1846',b'Franz Xaver Winterhalter',b'1846',,https://az334034.vo.msecnd.net/images-4/the-royal-family-in-1846-franz-xaver-winterhalter-1846-cfc55a6e.jpg
|b'Leopold I, King of the Belgians (1790-1865)'|,b'Franz Xaver Winterhalter',b'1846',,https://az333959.vo.msecnd.net/images-5/leopold-i-king-of-the-belgians-1790-1865-franz-xaver-winterhalter-1846-2378729b.jpg
b'Venus and the Sleeping Adonis',b'Benedetto Gennari II',b'1677',b'IT',https://az334034.vo.msecnd.net/images-9/venus-and-the-sleeping-adonis-benedetto-gennari-ii-1677-8a19090c.jpg
b'Pallas Athena',b'Parmigianino',b'1539',b'IT',https://az333960.vo.msecnd.net/images-4/pallas-athena-parmigianino-1539-6c09731d.jpg
|b'George, Prince of Wales, and Frederick, later Duke of...'|,b'Johann Zoffany',b'1765',b'DE',https://az333959.vo.msecnd.net/images-8/george-prince-of-wales-and-frederick-later-duke-of-york-at-buckingham-house-johann-zoffany-1765-10d5efa8.jpg
b'Portrait of an Unknown lady',b'Anthony van Dyck',b'1634',b'NL',https://az334034.vo.msecnd.net/images-7/portrait-of-an-unknown-lady-anthony-van-dyck-1634-a831d3e1.jpg
b'The Triumphs of Caesar: 1. The Picture-Bearers',b'Andrea Mantegna',b'1500',b'IT',https://az333959.vo.msecnd.net/images-3/the-triumphs-of-caesar-1-the-picture-bearers-andrea-mantegna-1500-40cf3ea4.jpg
b'Queen Alexandra (1844-1925) when Princess of Wales',b'Franz Xaver Winterhalter',b'1864',,https://az333959.vo.msecnd.net/images-7/queen-alexandra-1844-1925-when-princess-of-wales-franz-xaver-winterhalter-1864-93cd6d13.jpg
b'The Muses: Euterpe and Calliope',b'Orazio Gentileschi',b'Calliope',b'IT',https://az334034.vo.msecnd.net/images-1/the-muses-euterpe-and-calliope-orazio-gentileschi-c5482b51.jpg
b'Queen Victoria at Osborne',b'Edwin Henry Landseer',b'1866',b'GB',https://az333959.vo.msecnd.net/images-5/queen-victoria-at-osborne-edwin-henry-landseer-1866-2721ae0a.jpg
b'Portrait of a Young Man',b'Anonymous',b'1590',,https://az333959.vo.msecnd.net/images-9/portrait-of-a-young-man-anonymous-1590-d6267fd5.jpg
b'A Woman at her Toilet',b'Jan Steen',b'1663',b'NL',https://az333959.vo.msecnd.net/images-1/a-woman-at-her-toilet-jan-steen-1663-82a5dd62.jpg
|b'Victoria, Princess Royal (1840-1901)'|,b'Franz Xaver Winterhalter',b'1851',,https://az334034.vo.msecnd.net/images-4/victoria-princess-royal-1840-1901-franz-xaver-winterhalter-1851-7a5f6bed.jpg
|b'Princess Sophia, later Duchess of Brunswick-L\xc3\xbcneburg,...'|,b'Gerard van Honthorst',b'1648',b'NL',https://az333959.vo.msecnd.net/images-2/princess-sophia-later-duchess-of-brunswick-luneburg-electress-of-hanover-1630-1714-gerard-van-honthorst-1648-57e8cc8a.jpg
