Title,Artist,Year,Country,Thumbnail
b'he Holy Women at the Tomb or The Three Marys at the Tomb',b'William-Adolphe Bouguereau',b'1876',b'FR',https://az333959.vo.msecnd.net/images-7/untitled-william-adolphe-bouguereau-1890-1-84b63ee4.jpg
b'The Dance of the Bride',b'Pieter Brueghel the Elder',b'Bride',b'NL',https://az334033.vo.msecnd.net/images-1/the-dance-of-the-bride-pieter-brueghel-the-elder-6e819240.jpg
b'The baptism of Christ',b'Peter Paul Rubens',b'1600',b'NL',https://az333959.vo.msecnd.net/images-4/the-baptism-of-christ-peter-paul-rubens-1600-c1c28956.jpg
b'Triumphal Chariot of Kallo',b'Peter Paul Rubens',b'1638',b'NL',https://az334033.vo.msecnd.net/images-8/triumphal-chariot-of-kallo-peter-paul-rubens-1638-b88ab0de.jpg
b'Caritas',b'Lucas Cranach the Elder',b'Caritas',b'DE',https://az333960.vo.msecnd.net/images-6/caritas-lucas-cranach-the-elder-a400d985.jpg
b'Saint Romuald',b'Fra Angelico',b'1435',b'IT',https://az333960.vo.msecnd.net/images-9/untitled-fra-angelico-94ebdd8d.jpg
b'Deposition',b'Anthony van Dyck',b'1635',b'NL',https://az334034.vo.msecnd.net/images-1/deposition-anthony-van-dyck-1635-f146ee4b.jpg
b'The Last Communion of Francis of Assisi',b'Peter Paul Rubens',b'1619',b'NL',https://az334033.vo.msecnd.net/images-0/the-last-communion-of-francis-of-assisi-peter-paul-rubens-1619-bda007f0.jpg
b"At the Fishmonger's",b'Frans Snyders',b"Fishmonger's",,https://az334034.vo.msecnd.net/images-4/at-the-fishmonger-s-frans-snyders-d791be5f.jpg
b'Cleopatra Testing Poisons on Condemned Prisoners',b'Alexandre Cabanel',b'1887',b'FR',https://az334033.vo.msecnd.net/images-0/cleopatra-testing-poisons-on-condemned-prisoners-alexandre-cabanel-1887-a9715431.jpg
b'Seven Sacraments Altarpiece',b'Rogier van der Weyden',b'1445',,https://az334034.vo.msecnd.net/images-2/seven-sacraments-altarpiece-rogier-van-der-weyden-1445-af8e67b0.jpg
b'The Greeks and the Trojans Fighting over the Body of...',b'Antoine Wiertz',b'of...',,https://az334034.vo.msecnd.net/images-6/the-greeks-and-the-trojans-fighting-over-the-body-of-patroclus-antoine-wiertz-fa87bdc9.jpg
b'Peasant Woman Digging Up Potatoes',b'Vincent van Gogh',b'1885',b'NL',https://az334033.vo.msecnd.net/images-8/untitled-vincent-van-gogh-1885-2-8ecec628.jpg
b'The Blind Beggar',b'Josephus Laurentius Dyckmans',b'1852',,https://az333959.vo.msecnd.net/images-7/the-blind-beggar-josephus-laurentius-dyckmans-1852-d906fe1a.jpg
b'Eve',b'Lucas Cranach the Elder',b'Eve',b'DE',https://az333960.vo.msecnd.net/images-7/eve-lucas-cranach-the-elder-1-38d49bbe.jpg
b'Adam and Eve',b'Lucas Cranach the Elder',b'Eve',b'DE',https://az333960.vo.msecnd.net/images-9/adam-and-eve-lucas-cranach-the-elder-1-8a390ace.jpg
b'Portrait of a Girl as a Huntress',b'Caesar van Everdingen',b'Huntress',,https://az334033.vo.msecnd.net/images-0/portrait-of-a-girl-as-a-huntress-caesar-van-everdingen-715581c6.jpg
b'Sebastiaan Leerse in his Gallery',b'Frans Francken the Younger',b'1625',b'BE',https://az333960.vo.msecnd.net/images-0/sebastiaan-leerse-in-his-gallery-frans-francken-the-younger-1625-548c90ae.jpg
b'Deposition',b'Anthony van Dyck',b'1629',b'NL',https://az334033.vo.msecnd.net/images-1/deposition-anthony-van-dyck-1629-2dad53a1.jpg
b'Bezoek aan de hoeve',b'Jan Brueghel the Elder',b'1700',b'BE',https://az333960.vo.msecnd.net/images-0/untitled-jan-brueghel-the-elder-2-2b6e897c.jpg
b'The Watermill',b'Meindert Hobbema',b'1685',,https://az333960.vo.msecnd.net/images-0/the-watermill-meindert-hobbema-2aeca7a5.jpg
b'Bloemen in een vaas',b'Jan Brueghel the Elder',b'1700',b'BE',https://az333960.vo.msecnd.net/images-7/untitled-jan-brueghel-the-elder-3-9604b9d9.jpg
