Title,Artist,Year,Country,Thumbnail
b'Kauterskill Falls',b'Sanford Robinson Gifford',b'1846',b'US',https://az333960.vo.msecnd.net/images-2/kauterskill-falls-sanford-robinson-gifford-1846-3672d700.jpg
b'Chapultpec Castle',b'Robert S. Duncanson',b'1860',,https://az333959.vo.msecnd.net/images-1/chapultpec-castle-robert-s-duncanson-1860-96d2a205.jpg
b'On the Hudson',b'Albert Bierstadt',b'1850',,https://az334033.vo.msecnd.net/images-1/on-the-hudson-albert-bierstadt-1850-8106ba3b.jpg
b'Landscape',b'Edward Mitchell Bannister',b'Landscape',b'CA',https://az334034.vo.msecnd.net/images-1/landscape-edward-mitchell-bannister-76837ede.jpg
|b'Portrait of Lady Susanna Campbell, n\xc3\xa9e Bernard (d. 1751)'|,b'Allan Ramsay',b'1722',,https://az333960.vo.msecnd.net/images-7/portrait-of-lady-susanna-campbell-nee-bernard-d-1751-allan-ramsay-1722-4ce537ca.jpg
b'Summer Twilight',b'Edward Mitchell Bannister',b'1899',b'CA',https://az334034.vo.msecnd.net/images-6/summer-twilight-edward-mitchell-bannister-1899-3eaf4144.jpg
b'Portrait of a Lady in White',b'Joshua Reynolds',b'1750',,https://az333959.vo.msecnd.net/images-1/portrait-of-a-lady-in-white-joshua-reynolds-1750-5f88c568.jpg
b'Streamside',b'Edward Mitchell Bannister',b'1870',b'CA',https://az333960.vo.msecnd.net/images-8/streamside-edward-mitchell-bannister-1870-26eeb71a.jpg
b'Portrait of Mr. Anthony Greatorex',b'Joseph Wright',b'1750',,https://az334033.vo.msecnd.net/images-6/portrait-of-mr-anthony-greatorex-joseph-wright-1750-a692eea0.jpg
b'Man Fishing',b'Robert S. Duncanson',b'1848',,https://az333960.vo.msecnd.net/images-5/man-fishing-robert-s-duncanson-1848-d1bf8e70.jpg
b'Portrait of Mrs. Anthony Greatorex',b'Joseph Wright of Derby',b'1750',b'GB',https://az334034.vo.msecnd.net/images-3/portrait-of-mrs-anthony-greatorex-joseph-wright-of-derby-1750-0225de63.jpg
b'A View of the Valley',b'Asher Brown Durand',b'1850',,https://az333959.vo.msecnd.net/images-8/a-view-of-the-valley-asher-brown-durand-1850-61f22c94.jpg
|b'Portrait of the Artist?s Sister, Anne Hogarth (1701-1771)...'|,b'William Hogarth',b'1730',b'GB',https://az334033.vo.msecnd.net/images-7/portrait-of-the-artist-s-sister-anne-hogarth-1701-1771-or-lady-in-rose-taffeta-william-hogarth-1730-96b05623.jpg
b'Lilacs',b'Charles Ethan Porter',b'1890',,https://az334034.vo.msecnd.net/images-4/lilacs-charles-ethan-porter-1890-63154f51.jpg
b'Self-Portrait',b'Joshua Reynolds',b'1747',,https://az334034.vo.msecnd.net/images-4/self-portrait-joshua-reynolds-1747-a1df0a1c.jpg
b'Portrait of Thomas Chubb',b'Thomas Gainsborough',b'1750',b'GB',https://az333959.vo.msecnd.net/images-3/portrait-of-thomas-chubb-thomas-gainsborough-1750-8f2e548c.jpg
|b'Portrait of Sir Francis Grant, Lord Cullen, and His Family'|,b'John Smibert',b'1719',,https://az334034.vo.msecnd.net/images-2/portrait-of-sir-francis-grant-lord-cullen-and-his-family-john-smibert-1719-15efe5b1.jpg
b'Autumn Landscape',b'Charles Ethan Porter',b'1890',,https://az334033.vo.msecnd.net/images-8/autumn-landscape-charles-ethan-porter-1890-484b3d3f.jpg
