Title,Artist,Year,Country,Thumbnail
b'Adam',b'Jan van Eyck',b'1426',b'BE',https://az333960.vo.msecnd.net/images-7/adam-jan-van-eyck-1426-1bc07157.jpg
b'Eve',b'Jan van Eyck',b'Eve',b'BE',https://az333960.vo.msecnd.net/images-4/eve-jan-van-eyck-9f4300f1.jpg
b'Singing Angels',b'Jan van Eyck',b'1432',b'BE',https://az333959.vo.msecnd.net/images-0/singing-angels-jan-van-eyck-1432-98d643f0.jpg
b'Back panel Ghent Altarpiece with interior view',b'Jan van Eyck',b'view',b'BE',https://az333959.vo.msecnd.net/images-0/back-panel-ghent-altarpiece-with-interior-view-jan-van-eyck-a65cac45.jpg
b'Ghent Altarpiece',b'Jan van Eyck',b'1432',b'BE',https://az333959.vo.msecnd.net/images-4/ghent-altarpiece-jan-van-eyck-1432-a4be647d.jpg
b'The Conversion of St. Bavo',b'Peter Paul Rubens',b'1620',b'NL',https://az333959.vo.msecnd.net/images-0/the-conversion-of-st-bavo-peter-paul-rubens-1620-a2a63484.jpg
b'Adoration of the Lamb from the Ghent Altarpiece',b'Jan van Eyck',b'1432',b'BE',https://az334034.vo.msecnd.net/images-2/adoration-of-the-lamb-from-the-ghent-altarpiece-jan-van-eyck-1432-f65037a0.jpg
b'Music-making Angels',b'Jan van Eyck',b'1432',b'BE',https://az333959.vo.msecnd.net/images-9/music-making-angels-jan-van-eyck-1432-88d4819f.jpg
b'The Just Judges',b'Jan van Eyck',b'1432',b'BE',https://az334033.vo.msecnd.net/images-8/the-just-judges-jan-van-eyck-1432-5476b167.jpg
b'The Just Judges',b'Jef Vanderveken',b'1939',,https://az334033.vo.msecnd.net/images-6/the-just-judges-jef-vanderveken-1939-469e53f0.jpg
