Title,Artist,Year,Country,Thumbnail
b'A Harbor in Moonlight',b'Claude-Joseph Vernet',b'1787',b'FR',https://az333959.vo.msecnd.net/images-6/a-harbor-in-moonlight-claude-joseph-vernet-1787-3a13c29b.jpg
b'The Steeple at Bazincourt',b'Camille Pissarro',b'Bazincourt',b'FR',https://az333959.vo.msecnd.net/images-2/the-steeple-at-bazincourt-camille-pissarro-71049983.jpg
b'Venus Anadyomene',b'Arnold B\xc3\xb6cklin',b'1872',b'CH',https://az334033.vo.msecnd.net/images-8/untitled-arnold-bocklin-1872-e3053447.jpg
b'Daniel Catlin',b'Anders Zorn',b'1901',b'SE',https://az334033.vo.msecnd.net/images-1/untitled-anders-zorn-14-a71aa1ee.jpg
b'Olevano',b'Albert Bierstadt',b'1856',,https://az333960.vo.msecnd.net/images-9/olevano-albert-bierstadt-1856-84f89f0a.jpg
b'The Account Keeper',b'Nicolaes Maes',b'Keeper',b'NL',https://az333960.vo.msecnd.net/images-5/the-account-keeper-nicolaes-maes-426d391f.jpg
|b'Factories at Asnieres, seen from the Quai de Clichy'|,b'Vincent van Gogh',b'1887',b'NL',https://az333959.vo.msecnd.net/images-7/factories-at-asnieres-seen-from-the-quai-de-clichy-vincent-van-gogh-1887-a5e46af8.jpg
b'The Eiffel Tower',b'Robert Delaunay',b'1924',b'FR',https://az334034.vo.msecnd.net/images-7/the-eiffel-tower-robert-delaunay-1924-06126cd1.jpg
b'Haystacks',b'Martin Johnson Heade',b'1876',b'US',https://az334034.vo.msecnd.net/images-8/haystacks-martin-johnson-heade-1876-f1572396.jpg
b'Danae',b'Artemisia Gentileschi',b'1612',b'IT',https://az333959.vo.msecnd.net/images-4/danae-artemisia-gentileschi-1612-07bad321.jpg
b'Judith and Holofernes',b'Giorgio Vasari',b'Holofernes',b'IT',https://az333960.vo.msecnd.net/images-1/judith-and-holofernes-giorgio-vasari-bf30212e.jpg
b'Twilight in the Wilderness',b'Alfred Thompson Bricher',b'1865',b'US',https://az333959.vo.msecnd.net/images-3/twilight-in-the-wilderness-alfred-thompson-bricher-1865-a5c3aa28.jpg
|b'The Louvre: Morning, Sunlight'|,b'Camille Pissarro',b'Sunlight',b'FR',https://az333959.vo.msecnd.net/images-6/the-louvre-morning-sunlight-camille-pissarro-a375d66d.jpg
b'Head of a Peasant Woman with White Cap',b'Vincent van Gogh',b'1884',b'NL',https://az334033.vo.msecnd.net/images-8/head-of-a-peasant-woman-with-white-cap-vincent-van-gogh-b53e4d8f.jpg
b'Elvira Resting at a Table',b'Amedeo Modigliani',b'1919',b'IT',https://az334033.vo.msecnd.net/images-8/elvira-resting-at-a-table-amedeo-modigliani-1919-40e8f45f.jpg
b'The Beach at Saint-Mamm\xc3\xa8s',b'Alfred Sisley',b'1884',b'GB',https://az333959.vo.msecnd.net/images-0/the-beach-at-saint-mammes-alfred-sisley-1884-9bb62b18.jpg
b'Jonge vrouw met een medaillon',b'Gerard van Honthorst',b'medaillon',b'NL',https://az334034.vo.msecnd.net/images-0/jonge-vrouw-met-een-medaillon-gerard-van-honthorst-deb9c476.jpg
b'Magnolia',b'Martin Johnson Heade',b'1885',b'US',https://az334033.vo.msecnd.net/images-7/magnolia-martin-johnson-heade-1885-f8e2f21a.jpg
b'Mr. Robert Gwillym',b'Joseph Wright of Derby',b'1766',b'GB',https://az333959.vo.msecnd.net/images-2/mr-robert-gwillym-joseph-wright-of-derby-1766-5abeffd8.jpg
b"View of the St. Anne's River",b'Robert S. Duncanson',b'1870',,https://az333959.vo.msecnd.net/images-6/view-of-the-st-anne-s-river-robert-s-duncanson-1870-5ea029ff.jpg
|b'Gateway, Tangier'|,b'Henry Ossawa Tanner',b'1912',b'US',https://az334033.vo.msecnd.net/images-1/gateway-tangier-henry-ossawa-tanner-1912-987ed2c1.jpg
b'Peasants Dancing in a Tavern',b'Adriaen van Ostade',b'Tavern',b'NL',https://az334034.vo.msecnd.net/images-2/peasants-dancing-in-a-tavern-adriaen-van-ostade-e6176d57.jpg
b'Peace',b'William-Adolphe Bouguereau',b'1860',b'FR',https://az334033.vo.msecnd.net/images-1/peace-william-adolphe-bouguereau-1860-fed586a1.jpg
b'Woodland Landscape',b'Asher Brown Durand',b'1850',,https://az333960.vo.msecnd.net/images-3/woodland-landscape-asher-brown-durand-1850-5fc5c87b.jpg
b'Adoration of the Magi',b'Hugo van der Goes',b'1505',,https://az334033.vo.msecnd.net/images-6/adoration-of-the-magi-hugo-van-der-goes-c14603b6.jpg
b'The Column',b'Hubert Robert',b'1789',b'FR',https://az334033.vo.msecnd.net/images-3/the-column-hubert-robert-1789-0527904f.jpg
b'Landscape with Waterfall (St. Louis)',b'Jacob van Ruisdael',b'Louis)',b'NL',https://az334033.vo.msecnd.net/images-6/landscape-with-waterfall-st-louis-jacob-van-ruisdael-bf429745.jpg
b'Close of a Winter Day',b'Thomas P Barnett',b'1914',,https://az333959.vo.msecnd.net/images-3/close-of-a-winter-day-thomas-p-barnett-1914-2449716a.jpg
b'Floral Still Life with Shells',b'Balthasar van der Ast',b'1622',b'NL',https://az334033.vo.msecnd.net/images-2/floral-still-life-with-shells-balthasar-van-der-ast-1622-250f8590.jpg
b'An Island in the Lagoon with a Gateway and a Church',b'Canaletto',b'1743',b'IT',https://az333959.vo.msecnd.net/images-0/an-island-in-the-lagoon-with-a-gateway-and-a-church-canaletto-1743-ae0e3050.jpg
