Title,Artist,Year,Country,Thumbnail
b'The Young Shepherdess',b'William-Adolphe Bouguereau',b'1885',b'FR',https://az333959.vo.msecnd.net/images-1/the-young-shepherdess-william-adolphe-bouguereau-1885-ff860f1e.jpg
b'Architectural Capriccio',b'Bernardo Bellotto',b'1765',b'IT',https://az334033.vo.msecnd.net/images-2/architectural-capriccio-bernardo-bellotto-1765-28b12030.jpg
b'View of Wetterhorn from the Valley of Grindelwald',b'Albert Bierstadt',b'1869',,https://az334034.vo.msecnd.net/images-5/view-of-wetterhorn-from-the-valley-of-grindelwald-albert-bierstadt-1869-2f8c87c5.jpg
b'Man Fording a Stream',b'Jean-Baptiste-Camille Corot',b'Stream',b'FR',https://az334034.vo.msecnd.net/images-2/man-fording-a-stream-jean-baptiste-camille-corot-6589a56d.jpg
b'Water Lily in Sunlight',b'John La Farge',b'Sunlight',b'US',https://az333959.vo.msecnd.net/images-4/water-lily-in-sunlight-john-la-farge-544c31f7.jpg
b'Mid-Summer',b'George Inness',b'1875',b'US',https://az333960.vo.msecnd.net/images-8/mid-summer-george-inness-1875-2748aaac.jpg
b'Portrait of Isaac Massa',b'Frans Hals',b'1636',b'NL',https://az334033.vo.msecnd.net/images-5/portrait-of-isaac-massa-frans-hals-1636-d2189410.jpg
b'Portrait of a Boy at the Spanish Court',b'Sofonisba Anguissola',b'Court',,https://az334033.vo.msecnd.net/images-7/portrait-of-a-boy-at-the-spanish-court-sofonisba-anguissola-dccc2721.jpg
b'Mar\xc3\xada at La Granja',b'Joaquin Sorolla y Bastida',b'1907',b'ES',https://az334033.vo.msecnd.net/images-9/maria-at-la-granja-joaquin-sorolla-01cb99af.jpg
b'Female Nude Reading',b'Robert Delaunay',b'1915',b'FR',https://az333960.vo.msecnd.net/images-5/female-nude-reading-robert-delaunay-1915-8dd1926e.jpg
|b"The 'Mirror' on the River Loue at Scey-en-Varais, near..."|,b'Gustave Courbet',b'near...',b'FR',https://az333959.vo.msecnd.net/images-3/the-mirror-on-the-river-loue-at-scey-en-varais-near-ornans-gustave-courbet-34e7f434.jpg
|b'Farm Landscape, Cattle in Pasture'|,b'George Inness',b'1883',b'US',https://az334033.vo.msecnd.net/images-4/farm-landscape-cattle-in-pasture-george-inness-1883-d2d2e09b.jpg
b'\xc3\x89tretat',b'Eug\xc3\xa8ne Boudin',b'1890',b'FR',https://az334034.vo.msecnd.net/images-4/etretat-eugene-boudin-1890-0e52c99c.jpg
|b'Kilauea Caldera, Sandwich Islands'|,b'Jules Tavernier',b'1886',,https://az334033.vo.msecnd.net/images-7/kilauea-caldera-sandwich-islands-jules-tavernier-1886-626ae67b.jpg
b'Landscape-Composition: In the Catskills',b'Asher Brown Durand',b'1848',,https://az334033.vo.msecnd.net/images-4/landscape-composition-in-the-catskills-asher-brown-durand-1848-eac109c9.jpg
b'Pirna seen from the right bank of the Elbe',b'Bernardo Bellotto',b'1756',b'IT',https://az333960.vo.msecnd.net/images-2/pirna-seen-from-the-right-bank-of-the-elbe-bernardo-bellotto-1756-82dbc622.jpg
b'Fireside',b'Joseph Henry Sharp',b'Fireside',,https://az333960.vo.msecnd.net/images-3/fireside-joseph-henry-sharp-1923e9ee.jpg
b'Bust of young man in gorget and plumed cap',b'Rembrandt',b'cap',b'NL',https://az334033.vo.msecnd.net/images-6/bust-of-young-man-in-gorget-and-plumed-cap-rembrandt-0d73b50c.jpg
