Title,Artist,Year,Country,Thumbnail
b'Untitled',b'Andrea del Sarto',b'1525',,https://az334033.vo.msecnd.net/images-9/untitled-andrea-del-sarto-1525-1-cefe30c6.jpg
b'Untitled',b'Andrea del Castagno',b'1451',,https://az333960.vo.msecnd.net/images-0/untitled-andrea-del-castagno-1451-89639651.jpg
b'Untitled',b'Andrea del Sarto',b'1525',,https://az333960.vo.msecnd.net/images-1/untitled-andrea-del-sarto-1525-2461bb5d.jpg
b'Building of the Temple of Salomon',b'Santi di Tito',b'1570',,https://az333960.vo.msecnd.net/images-4/building-of-the-temple-of-salomon-santi-di-tito-1570-a31b1803.jpg
b"L'arca santa",b'Luigi Ademollo',b'santa',,https://az333960.vo.msecnd.net/images-2/l-arca-santa-luigi-ademollo-d1bbbee2.jpg
b'Glory of the Holy Spirit',b'Bernardino Poccetti',b'1600',,https://az333959.vo.msecnd.net/images-0/glory-of-the-holy-spirit-bernardino-poccetti-1600-434ca16e.jpg
b'Untitled',b'Pontormo',b'1514',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-pontormo-1514-1-3da3c04e.jpg
b'Untitled',b'Andrea del Castagno',b'1453',,https://az334033.vo.msecnd.net/images-2/untitled-andrea-del-castagno-1453-cc827edf.jpg
b'Trinity',b'Alessandro Allori',b'Trinity',b'IT',https://az333960.vo.msecnd.net/images-9/trinity-alessandro-allori-80c211f8.jpg
b'Apparition of the Virgin to Saint Bernard',b'Luca Giordano',b'1685',b'IT',https://az333960.vo.msecnd.net/images-7/apparition-of-the-virgin-to-saint-bernard-luca-giordano-1685-d9f22aac.jpg
