Title,Artist,Year,Country,Thumbnail
b'Consecration of Aloysius Gonzaga as patron saint of youth',b'Francisco de Goya',b'youth',b'ES',https://az333960.vo.msecnd.net/images-0/consecration-of-aloysius-gonzaga-as-patron-saint-of-youth-francisco-de-goya-0de213fb.jpg
b'Retrato del rey Carlos IV de Espa\xc3\xb1a',b'Francisco de Goya',b'1789',b'ES',https://az333959.vo.msecnd.net/images-1/untitled-francisco-de-goya-1789-2-6fb35fd6.jpg
b'Untitled',b'Juan de Juanes',b'1557',,https://az333959.vo.msecnd.net/images-2/untitled-juan-de-juanes-1557-ec9ce0c7.jpg
b'Self-portrait in Museo de Zaragoza',b'Lavinia Fontana',b'1580',b'IT',https://az334034.vo.msecnd.net/images-3/self-portrait-in-museo-de-zaragoza-lavinia-fontana-1580-a02af223.jpg
b'Venus and Adonis',b'Francisco Goya',b'1771',,https://az334033.vo.msecnd.net/images-0/venus-and-adonis-francisco-goya-1771-dd022fea.jpg
b'San Luis Gonzaga',b'Francisco Goya',b'1798',,https://az334033.vo.msecnd.net/images-1/san-luis-gonzaga-francisco-goya-1798-c5d13cb5.jpg
b'Untitled',b'Francisco de Goya',b'1769',b'ES',https://az334034.vo.msecnd.net/images-9/untitled-francisco-de-goya-1769-cbb54d3e.jpg
b'Untitled',b'Francisco de Goya',b'1780',b'ES',https://az334033.vo.msecnd.net/images-0/untitled-francisco-de-goya-1780-0b92ec66.jpg
b'Untitled',b'Francisco de Goya',b'1783',b'ES',https://az333959.vo.msecnd.net/images-4/untitled-francisco-de-goya-1783-5-733202d3.jpg
b'Portrait of Gian Paolo Zappi',b'Lavinia Fontana',b'Zappi',b'IT',https://az334033.vo.msecnd.net/images-4/portrait-of-gian-paolo-zappi-lavinia-fontana-ccaff9ab.jpg
b'Death of Saint Francis Xabier',b'Francisco Goya',b'1771',,https://az333960.vo.msecnd.net/images-8/death-of-saint-francis-xabier-francisco-goya-1771-7a4980f7.jpg
b'Virgin with Child',b'Master of the Mansi Magdalen',b'1517',,https://az333960.vo.msecnd.net/images-6/virgin-with-child-master-of-the-mansi-magdalen-1517-b74b0d4a.jpg
b'Descent from the Cross',b'Bartolom\xc3\xa9 Bermejo',b'1477',,https://az333960.vo.msecnd.net/images-5/descent-from-the-cross-bartolome-bermejo-1477-15bd4464.jpg
