Title,Artist,Year,Country,Thumbnail
b'Susanna and the Elders',b'Artemisia Gentileschi',b'1610',b'IT',https://az333960.vo.msecnd.net/images-5/susanna-and-the-elders-artemisia-gentileschi-1610-73842520.jpg
b'Untitled',b'Titian',b'1525',b'IT',https://az334033.vo.msecnd.net/images-4/untitled-titian-1525-1-92f7221e.jpg
b'Landscape with the Flight into Egypt',b'Adam Elsheimer',b'Egypt',,https://az334033.vo.msecnd.net/images-8/landscape-with-the-flight-into-egypt-adam-elsheimer-7541c0d8.jpg
b'Pan and Syrinx',b'Godfried Schalcken',b'1691',b'NL',https://az334034.vo.msecnd.net/images-0/pan-and-syrinx-godfried-schalcken-1691-bbd3aa6b.jpg
b'Jupiter and Semele',b'Godfried Schalcken',b'1691',b'NL',https://az334034.vo.msecnd.net/images-1/jupiter-and-semele-godfried-schalcken-1691-3b4e4385.jpg
b'Hagar and Ishmael in the Desert',b'Federiko Benkovi\xc4\x87',b'Desert',,https://az333960.vo.msecnd.net/images-2/hagar-and-ishmael-in-the-desert-federiko-benkovic-68eeb958.jpg
b'Iphigenia\xe2\x80\x99s Sacrifice',b'Federiko Benkovi\xc4\x87',b'Sacrifice',,https://az334033.vo.msecnd.net/images-3/iphigenia-s-sacrifice-federiko-benkovic-54ae91fc.jpg
b'Self-Portrait',b'Artemisia Gentileschi',b'1610',b'IT',https://az333960.vo.msecnd.net/images-1/self-portrait-artemisia-gentileschi-1610-ec566855.jpg
b'The Good Samaritane',b'Johann Carl Loth',b'1676',,https://az334034.vo.msecnd.net/images-1/the-good-samaritane-johann-carl-loth-1676-bac6e730.jpg
b'Italian Harbor',b'Nicolaes Pieterszoon Berchem',b'1670',,https://az333959.vo.msecnd.net/images-2/italian-harbor-nicolaes-pieterszoon-berchem-1670-4d98cd4c.jpg
