Title,Artist,Year,Country,Thumbnail
b'Portrait of Lady Agnew of Lochnaw (1865-1932)',b'John Singer Sargent',b'1892',b'US',https://az334034.vo.msecnd.net/images-1/lady-agnew-of-lochnaw-john-singer-sargent-bcd5353c.jpg
b'Bridgewater Madonna',b'Raphael',b'1507',b'IT',https://az334033.vo.msecnd.net/images-7/bridgewater-madonna-raphael-1507-345ca994.jpg
b'Madame de Pompadour',b'Fran\xc3\xa7ois Boucher',b'1758',b'FR',https://az333959.vo.msecnd.net/images-2/madame-de-pompadour-francois-boucher-1758-8dd75079.jpg
b'The Skating Minister',b'Henry Raeburn',b'1790',,https://az334033.vo.msecnd.net/images-7/the-skating-minister-henry-raeburn-1790-a52608f1.jpg
b'Self-portrait aged 51',b'Rembrandt',b'51',b'NL',https://az334034.vo.msecnd.net/images-0/self-portrait-aged-51-rembrandt-2b91540a.jpg
b'F\xc3\xaates V\xc3\xa9nitiennes',b'Antoine Watteau',b'1719',b'FR',https://az333959.vo.msecnd.net/images-8/untitled-antoine-watteau-1718-34422df8.jpg
b'The Lomellini Family',b'Anthony van Dyck',b'1623',b'NL',https://az333960.vo.msecnd.net/images-2/the-lomellini-family-anthony-van-dyck-1623-f8d24ad0.jpg
b'I PLEAD INSANITY BECAUSE I\xe2\x80\x99M JUST CRAZY ABOUT THAT LITTLE...',b'Edward Ruscha',b'1976',b'US',https://az333960.vo.msecnd.net/images-3/i-plead-insanity-because-i-m-just-crazy-about-that-little-girl-edward-ruscha-1976-267e20bd.jpg
b'DAILY PLANET',b'Edward Ruscha',b'2003',b'US',https://az334034.vo.msecnd.net/images-3/daily-planet-edward-ruscha-2003-f19c41b7.jpg
b'Madonna of the Yarnwinder',b'Leonardo da Vinci',b'1501',b'IT',https://az333959.vo.msecnd.net/images-8/madonna-of-the-yarnwinder-leonardo-da-vinci-1501-960e203f.jpg
b'Mars and Venus with Cupid and a Dog',b'Paolo Veronese',b'1580',b'IT',https://az334033.vo.msecnd.net/images-5/mars-and-venus-with-cupid-and-a-dog-paolo-veronese-1580-b520169a.jpg
b'Madonna del Passeggio',b'Raphael',b'1516',b'IT',https://az334034.vo.msecnd.net/images-2/madonna-del-passeggio-raphael-1516-14cea838.jpg
b'Old Woman Cooking Eggs',b'Diego Vel\xc3\xa1zquez',b'1618',b'ES',https://az333959.vo.msecnd.net/images-7/old-woman-cooking-eggs-diego-velazquez-1618-b4d43b24.jpg
b'The Combat: Woman Pleading for the Vanquished',b'William Etty',b'Vanquished',b'GB',https://az334033.vo.msecnd.net/images-5/the-combat-woman-pleading-for-the-vanquished-william-etty-583eaab2.jpg
b"Ville d'Avray: Entrance to the Wood",b'Jean-Baptiste-Camille Corot',b'1850',b'FR',https://az334034.vo.msecnd.net/images-8/ville-d-avray-entrance-to-the-wood-jean-baptiste-camille-corot-1850-40b85de2.jpg
b'The Virgin and Child with St John the Baptist and an...',b'Titian',b'1514',b'IT',https://az334033.vo.msecnd.net/images-9/the-virgin-and-child-with-st-john-the-baptist-and-an-unidentified-saint-titian-1514-55e452c1.jpg
b'The Three Ages of Man',b'Titian',b'1512',b'IT',https://az333960.vo.msecnd.net/images-4/the-three-ages-of-man-titian-1512-cc563ab1.jpg
b'Portrait of Diego Martelli',b'Edgar Degas',b'1879',b'FR',https://az334033.vo.msecnd.net/images-4/portrait-of-diego-martelli-edgar-degas-1879-558700d7.jpg
b'The Adoration of the Magi',b'Jacopo Bassano',b'1540',b'IT',https://az334034.vo.msecnd.net/images-0/the-adoration-of-the-magi-jacopo-bassano-1540-2010a19a.jpg
|b'A View of the Flat Rock on the Schuylkill, near Philadelphia'|,b'Thomas Doughty',b'1827',,https://az334034.vo.msecnd.net/images-1/a-view-of-the-flat-rock-on-the-schuylkill-near-philadelphia-thomas-doughty-1827-f75cfd8f.jpg
b'A Bearded Man in a Cap',b'Rembrandt',b'Cap',b'NL',https://az333959.vo.msecnd.net/images-5/a-bearded-man-in-a-cap-rembrandt-93e8fbb2.jpg
b'The Quarrel of Oberon and Titania',b'Joseph Noel Paton',b'1849',,https://az333959.vo.msecnd.net/images-3/the-quarrel-of-oberon-and-titania-joseph-noel-paton-1849-91ee004e.jpg
b'Francesca da Rimini',b'William Dyce',b'1837',,https://az333960.vo.msecnd.net/images-5/francesca-da-rimini-william-dyce-1837-fd016272.jpg
b'The Letter of Introduction',b'David Wilkie',b'1813',b'GB',https://az333959.vo.msecnd.net/images-8/the-letter-of-introduction-david-wilkie-1813-5030a5b0.jpg
|b'Landscape with Bentheim Castle, seen from below'|,b'Jacob van Ruisdael',b'below',b'NL',https://az334034.vo.msecnd.net/images-4/landscape-with-bentheim-castle-seen-from-below-jacob-van-ruisdael-d98f2dd5.jpg
b'The Virgin and Child with Saint Andrew and Saint Peter',b'Cima da Conegliano',b'1510',,https://az333960.vo.msecnd.net/images-2/the-virgin-and-child-with-saint-andrew-and-saint-peter-cima-da-conegliano-1510-f7a08ddf.jpg
b'Self-Portrait',b'David Wilkie',b'1805',b'GB',https://az334034.vo.msecnd.net/images-1/self-portrait-david-wilkie-ba74e4f3.jpg
b'Albrecht D\xc3\xbcrer on the Balcony of his House',b'William Bell Scott',b'House',,https://az333959.vo.msecnd.net/images-9/albrecht-durer-on-the-balcony-of-his-house-william-bell-scott-a12ce9b4.jpg
b'A Bearded Man in a Cap',b'Rembrandt',b'Cap',b'NL',https://az334033.vo.msecnd.net/images-9/a-bearded-man-in-a-cap-rembrandt-1-93106ab4.jpg
b'Untitled',b'William Allan',b'Untitled',,https://az334034.vo.msecnd.net/images-0/untitled-william-allan-85fb48dd.jpg
