Title,Artist,Year,Country,Thumbnail
b'Adoration of the Magi',b'Giotto di Bondone',b'1303',b'IT',https://az334034.vo.msecnd.net/images-3/adoration-of-the-magi-giotto-di-bondone-1303-4ce91454.jpg
b'Visitation',b'Giotto di Bondone',b'1306',b'IT',https://az333959.vo.msecnd.net/images-9/visitation-giotto-di-bondone-1306-4622f380.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-giotto-di-bondone-1303-0b51208d.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-giotto-di-bondone-1303-16-ffdfe3ef.jpg
b'Untitled',b'Giotto di Bondone',b'1306',b'IT',https://az334033.vo.msecnd.net/images-9/untitled-giotto-di-bondone-1306-8-218579a7.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333960.vo.msecnd.net/images-1/untitled-giotto-di-bondone-1303-18-3ac3db69.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-giotto-di-bondone-1303-11-123e088c.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az334034.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1303-17-1741cba2.jpg
b'Untitled',b'Giotto di Bondone',b'1306',b'IT',https://az333960.vo.msecnd.net/images-6/untitled-giotto-di-bondone-1306-4-21552dcf.jpg
b'Joachims Dream',b'Giotto di Bondone',b'1303',b'IT',https://az334034.vo.msecnd.net/images-6/untitled-giotto-di-bondone-1303-14-1b58494b.jpg
b'Massacre of the Innocents',b'Giotto di Bondone',b'Innocents',b'IT',https://az334033.vo.msecnd.net/images-7/massacre-of-the-innocents-giotto-di-bondone-b906fa71.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333960.vo.msecnd.net/images-2/untitled-giotto-di-bondone-1303-19-bdebafb4.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az334033.vo.msecnd.net/images-1/untitled-giotto-di-bondone-1303-13-7f7f78ae.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333959.vo.msecnd.net/images-2/untitled-giotto-di-bondone-1303-10-56e52257.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az333959.vo.msecnd.net/images-0/untitled-giotto-di-bondone-1303-20-d6627d57.jpg
b'Untitled',b'Giotto di Bondone',b'1306',b'IT',https://az333959.vo.msecnd.net/images-5/untitled-giotto-di-bondone-1306-3-27f20f11.jpg
b'Untitled',b'Giotto di Bondone',b'1303',b'IT',https://az334034.vo.msecnd.net/images-1/untitled-giotto-di-bondone-1303-7-eefa42b6.jpg
b'Envy',b'Giotto di Bondone',b'1306',b'IT',https://az333960.vo.msecnd.net/images-9/envy-giotto-di-bondone-1306-77d14bc5.jpg
