Title,Artist,Year,Country,Thumbnail
b'Bacchante with a Panther',b'Jean-Baptiste-Camille Corot',b'1860',b'FR',https://az334034.vo.msecnd.net/images-3/untitled-jean-baptiste-camille-corot-1860-7-795b41e8.jpg
b'The Greek Girl',b'Jean-Baptiste-Camille Corot',b'1871',b'FR',https://az334033.vo.msecnd.net/images-6/the-greek-girl-camille-corot-1871-cd51d01f.jpg
b'Au Jardin',b'Edouard Manet',b'1870',b'FR',https://az333959.vo.msecnd.net/images-4/au-jardin-edouard-manet-1870-874862f2.jpg
|b'Grainstack, White Frost Effect'|,b'Claude Monet',b'1890',b'FR',https://az334033.vo.msecnd.net/images-5/grainstack-white-frost-effect-claude-monet-1890-5d3e876e.jpg
b'Le pont de Charing Cross',b'Claude Monet',b'1899',b'FR',https://az334033.vo.msecnd.net/images-6/le-pont-de-charing-cross-claude-monet-1899-3b1767d6.png
b'Les gla\xc3\xa7ons',b'Claude Monet',b'1880',b'FR',https://az334033.vo.msecnd.net/images-8/les-glacons-claude-monet-1880-2effce8e.jpg
b'The Drawbridge',b'Claude Monet',b'1874',b'FR',https://az334033.vo.msecnd.net/images-5/the-drawbridge-claude-monet-1874-540e0704.jpg
b'Portrait of a Young Man in a Broad-brimmed Hat',b'Rembrandt',b'Hat',b'NL',https://az333959.vo.msecnd.net/images-3/portrait-of-a-young-man-in-a-broad-brimmed-hat-rembrandt-b0f8ae4d.jpg
b'Le Grand Canal \xc3\xa0 Venise',b'Edouard Manet',b'1874',b'FR',https://az333959.vo.msecnd.net/images-4/le-grand-canal-a-venise-edouard-manet-1874-fd02c946.jpg
b'Deux danseuses',b'Edgar Degas',b'1879',b'FR',https://az333959.vo.msecnd.net/images-5/deux-danseuses-edgar-degas-1879-ec0aedca.jpg
b'L\xe2\x80\x99\xc3\xa9cole de danse. La r\xc3\xa9p\xc3\xa9tition',b'Edgar Degas',b'1876',b'FR',https://az334034.vo.msecnd.net/images-2/l-ecole-de-danse-la-repetition-edgar-degas-1876-e6dfdade.jpg
|b"L'\xc3\xa9glise de Vernon, brouillard"|,b'Claude Monet',b'1894',b'FR',https://az334033.vo.msecnd.net/images-5/l-eglise-de-vernon-brouillard-claude-monet-1894-9207f18e.png
b'Still-life with Salmon',b'Edouard Manet',b'1868',b'FR',https://az334033.vo.msecnd.net/images-6/still-life-with-salmon-edouard-manet-1868-b0f3e717.jpg
b'Fruits dans une corbeille',b'Gustave Courbet',b'1871',b'FR',https://az333960.vo.msecnd.net/images-8/fruits-dans-une-corbeille-gustave-courbet-1871-a3f85b56.png
