Title,Artist,Year,Country,Thumbnail
b'\xc5\xbbyd\xc3\xb3wka z cytrynami',b'Aleksander Gierymski',b'1881',,https://az333959.vo.msecnd.net/images-9/untitled-aleksander-gierymski-1881-3e680a1f.jpg
b'View of Cracow',b'Julian Fa\xc5\x82at',b'1896',,https://az334034.vo.msecnd.net/images-4/view-of-cracow-julian-falat-1896-d2bfe938.jpg
b'Portrait of a lady in a white hat',b'Olga Bozna\xc5\x84ska',b'1906',,https://az334033.vo.msecnd.net/images-1/portrait-of-a-lady-in-a-white-hat-olga-boznanska-1906-09106c2e.jpg
b'Ostafi Daszkiewicz.',b'Jan Matejko',b'Daszkiewicz.',,https://az333959.vo.msecnd.net/images-6/ostafi-daszkiewicz-jan-matejko-e67c3452.jpg
b'Portrait of two girls',b'Olga Bozna\xc5\x84ska',b'1896',,https://az333959.vo.msecnd.net/images-1/portrait-of-two-girls-olga-boznanska-1896-d02d4f9c.jpg
b'Capture of an armored comrade. Episode from the Swedish war',b'Wojciech Kossak',b'1894',b'PL',https://az333959.vo.msecnd.net/images-7/capture-of-an-armored-comrade-episode-from-the-swedish-war-wojciech-kossak-1894-40ba76c4.jpg
b'In the garden',b'W\xc5\x82adys\xc5\x82aw Podkowi\xc5\x84ski',b'1892',,https://az333959.vo.msecnd.net/images-5/in-the-garden-wladyslaw-podkowinski-1892-754005a7.jpg
b'Cossack in the steppe',b'Alfons Dunin-Borkowski',b'1880',,https://az334034.vo.msecnd.net/images-7/cossack-in-the-steppe-alfons-dunin-borkowski-1880-6aa272ee.jpg
b'Tobias and the Angels.',b'Jacek Malczewski',b'Angels.',,https://az334033.vo.msecnd.net/images-8/tobias-and-the-angels-jacek-malczewski-d17b3c7d.jpg
b'Back from the ball',b'J\xc3\xb3zef Che\xc5\x82mo\xc5\x84ski',b'1879',,https://az333960.vo.msecnd.net/images-9/back-from-the-ball-jozef-chelmonski-1879-13bcde71.jpg
b'Untitled',b'Jan Matejko',b'1861',,https://az333960.vo.msecnd.net/images-8/untitled-jan-matejko-1861-f17a05fd.png
b'Untitled',b'Leopold Loeffler',b'1878',,https://az334034.vo.msecnd.net/images-0/untitled-leopold-loeffler-1878-96678b38.jpg
b'Sower',b'Leon Wycz\xc3\xb3\xc5\x82kowski',b'1896',,https://az334033.vo.msecnd.net/images-9/sower-leon-wyczolkowski-1896-6b8ede4f.jpg
b'Untitled',b'Jacek Malczewski',b'1899',,https://az334033.vo.msecnd.net/images-4/untitled-jacek-malczewski-1899-1-468f5a39.jpg
b'Portrait of the sculptor Jan Szczepkowski',b'Olga Bozna\xc5\x84ska',b'1906',,https://az334034.vo.msecnd.net/images-9/portrait-of-the-sculptor-jan-szczepkowski-olga-boznanska-1906-92b52a6a.jpg
b'Portrait of J\xc3\xb3zef Pi\xc5\x82sudski',b'Konrad Krzy\xc5\xbcanowski',b'1920',,https://az334034.vo.msecnd.net/images-6/portrait-of-jozef-pilsudski-konrad-krzyzanowski-1920-ea1588f4.jpg
b'Untitled',b'Jacek Malczewski',b'1913',,https://az333959.vo.msecnd.net/images-5/untitled-jacek-malczewski-1913-45b3eb5c.jpg
|b"Portrait of the artist's sister, Wanda M\xc3\xbcller-Wandau"|,b'Henryk Rodakowski',b'1858',,https://az333959.vo.msecnd.net/images-3/portrait-of-the-artist-s-sister-wanda-muller-wandau-henryk-rodakowski-1858-cf852967.jpg
