Title,Artist,Year,Country,Thumbnail
b'The Tavern Scene',b'William Hogarth',b'Scene',b'GB',https://az334034.vo.msecnd.net/images-6/the-tavern-scene-william-hogarth-870a2725.jpg
b'The Arrest',b'William Hogarth',b'1732',b'GB',https://az334033.vo.msecnd.net/images-4/the-arrest-william-hogarth-1732-4b4d6e43.jpg
b'The Gaming House',b'William Hogarth',b'House',b'GB',https://az334034.vo.msecnd.net/images-3/the-gaming-house-william-hogarth-fd8e336d.jpg
b'The Prison',b'William Hogarth',b'1732',b'GB',https://az334033.vo.msecnd.net/images-4/the-prison-william-hogarth-1732-88467a9c.jpg
b'The Marriage',b'William Hogarth',b'1732',b'GB',https://az333960.vo.msecnd.net/images-2/the-marriage-william-hogarth-1732-d9c14d38.jpg
|b'A View of the Rialto, Venice'|,b'Canaletto',b'1735',b'IT',https://az333959.vo.msecnd.net/images-7/a-view-of-the-rialto-venice-canaletto-1735-3eeffa1f.jpg
b'The Orgy',b'William Hogarth',b'1735',b'GB',https://az333960.vo.msecnd.net/images-1/the-orgy-william-hogarth-1735-1022d831.jpg
b'Canvassing for Votes',b'William Hogarth',b'Votes',b'GB',https://az333960.vo.msecnd.net/images-2/canvassing-for-votes-william-hogarth-0879d12c.jpg
b'The Heir',b'William Hogarth',b'1732',b'GB',https://az334034.vo.msecnd.net/images-8/the-heir-william-hogarth-1732-9f3ac152.jpg
b'An Election Entertainment',b'William Hogarth',b'1754',b'GB',https://az334033.vo.msecnd.net/images-0/an-election-entertainment-william-hogarth-1754-41e12f30.jpg
b'The Lev\xc3\xa9e',b'William Hogarth',b'Lev\xc3\xa9e',b'GB',https://az333960.vo.msecnd.net/images-3/the-levee-william-hogarth-b38bb4c5.jpg
b'The Polling',b'William Hogarth',b'Polling',b'GB',https://az333960.vo.msecnd.net/images-1/the-polling-william-hogarth-1551d723.jpg
