Title,Artist,Year,Country,Thumbnail
b"Summer Evening at Skagen. The Artist's Wife and Dog by...",b'Peder Severin Kr\xc3\xb8yer',b'by...',b'DK',https://az333959.vo.msecnd.net/images-1/summer-evening-at-skagen-the-artist-s-wife-and-dog-by-the-shore-peder-severin-kroyer-676b7390.jpg
b'Christmas Day 1900',b'Michael Peter Ancher',b'1902',b'DK',https://az333960.vo.msecnd.net/images-9/christmas-day-1900-michael-peter-ancher-c6390fb6.jpg
b'Grief',b'Anna Ancher',b'Grief',b'DK',https://az334034.vo.msecnd.net/images-5/grief-anna-ancher-9d719b57.jpg
b'Will He Round the Point?',b'Michael Peter Ancher',b'Point?',b'DK',https://az333959.vo.msecnd.net/images-3/will-he-round-the-point-michael-peter-ancher-4134f5af.jpg
|b'Michael Ancher maler portr\xc3\xa6ttet af Anna, st\xc3\xa5ende i d\xc3\xb8ren'|,b'Peder Severin Kr\xc3\xb8yer',b'd\xc3\xb8ren',b'DK',https://az334033.vo.msecnd.net/images-8/untitled-peder-severin-kroyer-22-0cfb20bb.jpg
b'Dansk: Marie Kr\xc3\xb8yer malende i Ravollo',b'Peder Severin Kr\xc3\xb8yer',b'1890',b'DK',https://az334034.vo.msecnd.net/images-0/untitled-peder-severin-kroyer-1890-5c90b6fa.jpg
b'Mrs Ane Br\xc3\xb8ndum in the blue room',b'Anna Ancher',b'room',b'DK',https://az333959.vo.msecnd.net/images-5/mrs-ane-brondum-in-the-blue-room-anna-ancher-6f131c6c.jpg
b'Double-portrait of Marie and P.S. Kr\xc3\xb8yer',b'Peder Severin Kr\xc3\xb8yer',b'Kr\xc3\xb8yer',b'DK',https://az334034.vo.msecnd.net/images-6/double-portrait-of-marie-and-p-s-kroyer-peder-severin-kroyer-e98459f5.jpg
b'Two little girls being taught how to sew',b'Anna Ancher',b'1910',b'DK',https://az334034.vo.msecnd.net/images-0/untitled-anna-ancher-3-ca56b793.jpg
b'A Vaccination',b'Anna Ancher',b'1944',b'DK',https://az333960.vo.msecnd.net/images-6/untitled-anna-ancher-8-35ee04a1.jpg
b'Sunlight in the Blue Room',b'Anna Ancher',b'Room',b'DK',https://az333959.vo.msecnd.net/images-8/sunlight-in-the-blue-room-anna-ancher-46b9a87a.jpg
b'Evening Prayer',b'Anna Ancher',b'1888',b'DK',https://az334033.vo.msecnd.net/images-7/untitled-anna-ancher-4-36c0c5cc.jpg
b'Harvesters',b'Anna Ancher',b'Harvesters',b'DK',https://az333960.vo.msecnd.net/images-7/harvesters-anna-ancher-1e8a22f1.jpg
b'A field sermon',b'Anna Ancher',b'sermon',b'DK',https://az334034.vo.msecnd.net/images-4/a-field-sermon-anna-ancher-40f9aaca.jpg
b'Carl Locher with his dog Tiger',b'Michael Peter Ancher',b'Tiger',b'DK',https://az333960.vo.msecnd.net/images-6/carl-locher-with-his-dog-tiger-michael-peter-ancher-c62a24e8.jpg
b'Fishermen from Skagen in the life boat',b'Martinus R\xc3\xb8rbye',b'boat',b'DK',https://az334034.vo.msecnd.net/images-3/fishermen-from-skagen-in-the-life-boat-martinus-rorbye-0eca6e4e.jpg
b"Summer Evening on Skagen's Southern Beach",b'Peder Severin Kr\xc3\xb8yer',b'Beach',b'DK',https://az334034.vo.msecnd.net/images-7/summer-evening-on-skagen-s-southern-beach-peder-severin-kroyer-ac908e08.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'Untitled',b'DK',https://az334034.vo.msecnd.net/images-5/untitled-peder-severin-kroyer-16-07e259b3.jpg
b'Georg Brandes',b'Michael Peter Ancher',b'1915',b'DK',https://az333960.vo.msecnd.net/images-0/georg-brandes-michael-peter-ancher-1915-be6d4346.jpg
b'Untitled',b'Michael Peter Ancher',b'1902',b'DK',https://az334034.vo.msecnd.net/images-3/untitled-michael-peter-ancher-1902-1ba0d883.jpg
b'Marianne Stokes',b'Peder Severin Kr\xc3\xb8yer',b'1886',b'DK',https://az333959.vo.msecnd.net/images-1/marianne-stokes-peder-severin-kroyer-1886-3ca68c60.jpg
b'Eilif Peterssen',b'Peder Severin Kr\xc3\xb8yer',b'Peterssen',b'DK',https://az333960.vo.msecnd.net/images-5/eilif-peterssen-peder-severin-kroyer-e0ecd5b8.jpg
b'Michael Ancher',b'Peder Severin Kr\xc3\xb8yer',b'1886',b'DK',https://az333959.vo.msecnd.net/images-6/michael-ancher-peder-severin-kroyer-1886-05d72944.jpg
b'Sketch for The roses""',b'Peder Severin Kr\xc3\xb8yer',b'1893',b'DK',https://az334034.vo.msecnd.net/images-2/sketch-for-the-roses-peder-severin-kroyer-1893-7d3526ed.jpg
b'Andrian Stokes',b'Peder Severin Kr\xc3\xb8yer',b'1886',b'DK',https://az334033.vo.msecnd.net/images-8/andrian-stokes-peder-severin-kroyer-1886-78c55b98.jpg
b'Marie Kroyer paints in Ravello',b'Peder Severin Kr\xc3\xb8yer',b'1890',b'DK',https://az333959.vo.msecnd.net/images-7/marie-kroyer-paints-in-ravello-peder-severin-kroyer-1890-429885a5.jpg
b'Untitled',b'Michael Peter Ancher',b'1890',b'DK',https://az333959.vo.msecnd.net/images-0/untitled-michael-peter-ancher-1890-e6f5f83a.jpg
b'Untitled',b'Anna Ancher',b'1890',b'DK',https://az334033.vo.msecnd.net/images-0/untitled-anna-ancher-1890-5fa170ae.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1894',b'DK',https://az334033.vo.msecnd.net/images-9/untitled-peder-severin-kroyer-1894-1-37ad4387.jpg
b'Thorvald Niss',b'Peder Severin Kr\xc3\xb8yer',b'1887',b'DK',https://az334033.vo.msecnd.net/images-6/thorvald-niss-peder-severin-kroyer-1887-1245cea8.jpg
b'Artists on Skagen South Beach',b'Peder Severin Kr\xc3\xb8yer',b'Beach',b'DK',https://az333959.vo.msecnd.net/images-8/artists-on-skagen-south-beach-peder-severin-kroyer-b2fcded1.jpg
b'Three old women sewing a blue dress for a fancy dress ball',b'Anna Ancher',b'1920',b'DK',https://az334034.vo.msecnd.net/images-5/three-old-women-sewing-a-blue-dress-for-a-fancy-dress-ball-anna-ancher-1920-1e9737db.jpg
b'Vilhelm Rosenstand',b'Peder Severin Kr\xc3\xb8yer',b'1886',b'DK',https://az334033.vo.msecnd.net/images-8/vilhelm-rosenstand-peder-severin-kroyer-1886-4eb6a550.jpg
b'Portrait of Bertha Cecilie Kr\xc3\xb8yer',b'Peder Severin Kr\xc3\xb8yer',b'1872',b'DK',https://az334033.vo.msecnd.net/images-3/portrait-of-bertha-cecilie-kroyer-peder-severin-kroyer-1872-513c1724.jpg
b'Valdemar Sch\xc3\xb8nheyder M\xc3\xb8ller',b'Anna Ancher',b'1893',b'DK',https://az334034.vo.msecnd.net/images-2/valdemar-schonheyder-moller-anna-ancher-1893-c7f1c224.jpg
b'Portrait of Elen Cecilie Gjesdahl',b'Peder Severin Kr\xc3\xb8yer',b'1869',b'DK',https://az334034.vo.msecnd.net/images-5/portrait-of-elen-cecilie-gjesdahl-peder-severin-kroyer-1869-0f3372af.png
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1889',b'DK',https://az334033.vo.msecnd.net/images-0/untitled-peder-severin-kroyer-1889-1-08128eff.jpg
b'Charles Lundh in conversation with Christian Krohg',b'Christian Krohg',b'1883',b'NO',https://az334034.vo.msecnd.net/images-2/charles-lundh-in-conversation-with-christian-krohg-christian-krohg-1883-3a6510a6.jpg
b'Untitled',b'Anna Ancher',b'1913',b'DK',https://az333960.vo.msecnd.net/images-4/untitled-anna-ancher-1913-e5f6cc47.jpg
b'Oscar Bj\xc3\xb6rck',b'Peder Severin Kr\xc3\xb8yer',b'1884',b'DK',https://az334033.vo.msecnd.net/images-8/oscar-bjorck-peder-severin-kroyer-1884-795cb743.jpg
b'Otto Benzon',b'Christian Krohg',b'1888',b'NO',https://az334034.vo.msecnd.net/images-3/otto-benzon-christian-krohg-1888-73d7a346.jpg
b'Untitled',b'Anna Ancher',b'1903',b'DK',https://az333960.vo.msecnd.net/images-1/untitled-anna-ancher-1903-574303b6.jpg
b'Old Lene Plucking a Goose',b'Anna Ancher',b'1890',b'DK',https://az334034.vo.msecnd.net/images-2/old-lene-plucking-a-goose-anna-ancher-1890-15f84335.jpg
b'Niels Gaihede`s afternoon nap',b'Christian Krohg',b'1883',b'NO',https://az333959.vo.msecnd.net/images-5/niels-gaihede-s-afternoon-nap-christian-krohg-1883-d79295d2.jpg
b'Oda Krohg',b'Christian Krohg',b'Krohg',b'NO',https://az333959.vo.msecnd.net/images-4/oda-krohg-christian-krohg-b5a9f7f3.jpg
b'Portrait of Julius Paulsen (1860-1940)',b'Peder Severin Kr\xc3\xb8yer',b'1907',b'DK',https://az334034.vo.msecnd.net/images-2/portrait-of-julius-paulsen-1860-1940-peder-severin-kroyer-1907-f6807ec9.jpg
b'Fisherman Lars Gaihede carving a stick',b'Anna Ancher',b'1880',b'DK',https://az334034.vo.msecnd.net/images-5/fisherman-lars-gaihede-carving-a-stick-anna-ancher-1880-40c0ad94.jpg
b'Untitled',b'Michael Peter Ancher',b'1901',b'DK',https://az333959.vo.msecnd.net/images-5/untitled-michael-peter-ancher-1901-b1c0a9c5.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1897',b'DK',https://az333959.vo.msecnd.net/images-7/untitled-peder-severin-kroyer-1897-e5742aac.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1884',b'DK',https://az334034.vo.msecnd.net/images-3/untitled-peder-severin-kroyer-1884-1-c4a3e265.jpg
b'Fishermen launching a rowing boat',b'Michael Peter Ancher',b'1881',b'DK',https://az334034.vo.msecnd.net/images-5/fishermen-launching-a-rowing-boat-michael-peter-ancher-1881-d765aafd.jpg
b'Untitled',b'Peder Severin Kr\xc3\xb8yer',b'1893',b'DK',https://az333960.vo.msecnd.net/images-1/untitled-peder-severin-kroyer-1893-b0e0e0dd.jpg
b'Untitled',b'Michael Peter Ancher',b'1907',b'DK',https://az334034.vo.msecnd.net/images-8/untitled-michael-peter-ancher-1907-f2350aa8.jpg
b'Men of Skagen returning from the hunt',b'Laurits Tuxen',b'hunt',,https://az333960.vo.msecnd.net/images-1/men-of-skagen-returning-from-the-hunt-laurits-tuxen-98f14aad.jpg
b"Interior. Br\xc3\xb8ndum's annex",b'Anna Ancher',b'1920',b'DK',https://az334034.vo.msecnd.net/images-8/interior-brondum-s-annex-anna-ancher-1920-acfa8101.jpg
