Title,Artist,Year,Country,Thumbnail
b'The Librarian',b'Giuseppe Arcimboldo',b'Librarian',b'IT',https://az333960.vo.msecnd.net/images-5/the-librarian-giuseppe-arcimboldo-b4218dc8.jpg
b'Portrait of a man',b'Albrecht D\xc3\xbcrer',b'1497',b'DE',https://az334033.vo.msecnd.net/images-9/portrait-of-a-man-albrecht-durer-1497-6741a8c3.jpg
b'Madame La Comtesse de Saint G\xc3\xa9ran',b'Anonymous',b'1678',,https://az334033.vo.msecnd.net/images-2/madame-la-comtesse-de-saint-geran-anonymous-1678-8e69ae44.jpg
b'Per Brahe the Younger (1602 \xe2\x80\x93 80)',b'David Beck',b'1650',,https://az334034.vo.msecnd.net/images-1/per-brahe-the-younger-1602-80-david-beck-1650-65664e50.jpg
b'Still life with parrot',b'Roelof Koets',b'parrot',,https://az334033.vo.msecnd.net/images-8/still-life-with-parrot-roelof-koets-231007e9.jpg
b'Rudolf von Colloredo (1585 \xe2\x80\x93 1657)',b'Anonymous',b'1657)',,https://az333960.vo.msecnd.net/images-3/rudolf-von-colloredo-1585-1657-anonymous-33d2234d.jpg
b'Michiel Adriaanszoon Reuter (1607-76)',b'Karel van Mander III',b'1656',,https://az333960.vo.msecnd.net/images-7/michiel-adriaanszoon-reuter-1607-76-karel-van-mander-iii-1656-73d670ac.jpg
b'A view of Tranquebar',b'Anonymous',b'1658',,https://az333960.vo.msecnd.net/images-9/a-view-of-tranquebar-anonymous-1658-9808f98d.jpg
b'The Royal Double Betrothals or Nuptials of 1502',b'Salomon Koninck',b'1642',,https://az334034.vo.msecnd.net/images-7/the-royal-double-betrothals-or-nuptials-of-1502-salomon-koninck-1642-6a183fc7.jpg
b'Vertumnus',b'Giuseppe Arcimboldo',b'Vertumnus',b'IT',https://az334033.vo.msecnd.net/images-2/vertumnus-giuseppe-arcimboldo-1bda3e8a.jpg
b'Anna Margareta von Haugwitz (1622 \xe2\x80\x93 73)',b'Anselm van Hulle',b'1649',,https://az333959.vo.msecnd.net/images-1/anna-margareta-von-haugwitz-1622-73-anselm-van-hulle-1649-6988eca9.jpg
b'The Birth of John the Baptist',b'Lucas Cranach the Elder',b'1518',b'DE',https://az334033.vo.msecnd.net/images-0/the-birth-of-john-the-baptist-lucas-cranach-the-elder-1518-a24fe693.jpg
b'Winter scene',b'Jan Steen',b'1650',b'NL',https://az334033.vo.msecnd.net/images-6/winter-scene-jan-steen-1650-e85407e3.jpg
b'Still life',b'Peter Binoit',b'life',,https://az334034.vo.msecnd.net/images-9/still-life-peter-binoit-d17d08f8.jpg
b'The Holy Family with Various Persons and Animals in a Boat',b'Jacob Jordaens',b'1652',,https://az334033.vo.msecnd.net/images-8/the-holy-family-with-various-persons-and-animals-in-a-boat-jacob-jordaens-1652-5e8dc2c1.jpg
b'Josef and his brothers',b'Gerbrand van den Eeckhout',b'1657',b'NL',https://az333959.vo.msecnd.net/images-8/josef-and-his-brothers-gerbrand-van-den-eeckhout-1657-9907f3bc.jpg
b'A view of M\xc3\xb6gelt\xc3\xb6der and T\xc3\xb6nder in south Jutland',b'Anonymous',b'1657',,https://az334034.vo.msecnd.net/images-1/a-view-of-mogeltoder-and-tonder-in-south-jutland-anonymous-1657-9924d2fa.jpg
b'Beata Elisabeth von K\xc3\xb6nigsmarck (1637 \xe2\x80\x93 1723)',b'Hendrik Munnichhoven',b'1654',,https://az333960.vo.msecnd.net/images-7/beata-elisabeth-von-konigsmarck-1637-1723-hendrik-munnichhoven-1654-5deb5402.jpg
