Title,Artist,Year,Country,Thumbnail
b'Interior with Georgia Skovgaard and her sons Joakim and...',b'Constantin Hansen',b'1860',b'DK',https://az333959.vo.msecnd.net/images-4/interior-with-georgia-skovgaard-and-her-sons-joakim-and-niels-constantin-hansen-d3b70485.jpg
b'Signora Domenica Cerroni',b'Joakim Skovgaard',b'1886',,https://az333959.vo.msecnd.net/images-4/signora-domenica-cerroni-joakim-skovgaard-1886-e5618dbb.png
b'The bridge and the mountains',b'Niels Skovgaard',b'mountains',,https://az334034.vo.msecnd.net/images-7/the-bridge-and-the-mountains-niels-skovgaard-ad5b8c50.jpg
b'Untitled',b'Susette Holten',b'1916',,https://az333960.vo.msecnd.net/images-6/untitled-susette-holten-1916-f916fb2f.jpg
b'Untitled',b'Susette Holten',b'1932',,https://az334034.vo.msecnd.net/images-7/untitled-susette-holten-1932-3f8e3182.jpg
b'Untitled',b'Susette Holten',b'1893',,https://az333960.vo.msecnd.net/images-8/untitled-susette-holten-1893-342d97e5.jpg
b'Quiet summer evening at a lake in the forest. Young women...',b'P C Skovgaard',b'1858',,https://az333959.vo.msecnd.net/images-6/quiet-summer-evening-at-a-lake-in-the-forest-young-women-are-washing-clothes-in-bondedammen-in-hellebaek-p-c-skovgaard-1858-d4e96057.jpg
b'Landscape at Damsmoseg\xc3\xa5rd',b'Niels Skovgaard',b'1877',,https://az334034.vo.msecnd.net/images-6/landscape-at-damsmosegard-niels-skovgaard-1877-9eda4934.jpg
b'Untitled',b'P C Skovgaard',b'1854',,https://az334033.vo.msecnd.net/images-1/untitled-p-c-skovgaard-1854-9089f7af.jpg
b'View of the sea from M\xc3\xb8ens Klint',b'P C Skovgaard',b'1850',,https://az333960.vo.msecnd.net/images-5/view-of-the-sea-from-moens-klint-p-c-skovgaard-1850-e4f10991.jpg
b'Untitled',b'P C Skovgaard',b'1845',,https://az334033.vo.msecnd.net/images-4/untitled-p-c-skovgaard-1845-d1b48a2d.jpg
b'Untitled',b'P C Skovgaard',b'1867',,https://az333959.vo.msecnd.net/images-7/untitled-p-c-skovgaard-1867-75360eaa.jpg
b'Untitled',b'Susette Holten',b'1904',,https://az334034.vo.msecnd.net/images-1/untitled-susette-holten-1904-205980ec.jpg
