Title,Artist,Year,Country,Thumbnail
b'Woman with a Monkey (study for "A Sunday Afternoon on the...',b'Georges Seurat',b'1884',b'FR',https://az334034.vo.msecnd.net/images-5/woman-with-a-monkey-study-for-a-sunday-afternoon-on-the-island-of-la-grande-jatte-georges-seurat-1884-39a349e8.jpg
b"Ren\xc3\xa9 de Gas \xc3\xa0 l'encrier",b'Edgar Degas',b'1855',b'FR',https://az334034.vo.msecnd.net/images-2/rene-de-gas-a-l-encrier-edgar-degas-1855-b1911c8b.jpg
b'The Fair Maid of Gascony',b'Jean-Baptiste-Camille Corot',b'1850',b'FR',https://az333959.vo.msecnd.net/images-7/the-fair-maid-of-gascony-camille-corot-1850-4a9d6b60.jpg
b'Marguerite de Conflans',b'Edouard Manet',b'1873',b'FR',https://az334034.vo.msecnd.net/images-0/marguerite-de-conflans-edouard-manet-1873-b9593d22.jpg
b'Gillam Phillips (1695-1770)',b'Joseph Blackburn',b'1755',,https://az333959.vo.msecnd.net/images-7/gillam-phillips-1695-1770-joseph-blackburn-1755-bf5e0105.jpg
b"Dubuisson's Grove at Brunoy",b'Jean-Baptiste-Camille Corot',b'1868',b'FR',https://az333959.vo.msecnd.net/images-6/dubuisson-s-grove-at-brunoy-camille-corot-1868-6a2ea350.jpg
|b'Battersea Bridge, Chelsea, London'|,b'Camille Pissarro',b'London',b'FR',https://az334033.vo.msecnd.net/images-2/battersea-bridge-chelsea-london-camille-pissarro-22331b8b.jpg
b'The Market Gardens of Vaugirard',b'Paul Gauguin',b'Vaugirard',b'FR',https://az333959.vo.msecnd.net/images-3/the-market-gardens-of-vaugirard-paul-gauguin-180b3e62.jpg
b"Miss Tribbie - Portrait of the Artist's Daughter",b'George de Forest Brush',b'1906',,https://az333959.vo.msecnd.net/images-4/miss-tribbie-portrait-of-the-artist-s-daughter-george-de-forest-brush-1906-27dff6cb.jpg
b'Jumi\xc3\xa8ges',b'Jean-Baptiste-Camille Corot',b'1830',b'FR',https://az334034.vo.msecnd.net/images-5/jumieges-camille-corot-1830-d4196d36.jpg
b'The Seine at Bougival',b'Claude Monet',b'1869',b'FR',https://az333959.vo.msecnd.net/images-5/the-seine-at-bougival-claude-monet-1869-c5900299.jpg
b'Rapha Ma\xc3\xaetre',b'Auguste Renoir',b'1871',b'FR',https://az333959.vo.msecnd.net/images-5/rapha-maitre-pierre-auguste-renoir-1871-47c7950f.jpg
|b'Victor Marie, Mar\xc3\xa9chal de Coeuvres, Mar\xc3\xa9chal et Duc d...'|,b'Nicolas de Largilli\xc3\xa8re',b'1710',b'FR',https://az333960.vo.msecnd.net/images-8/victor-marie-marechal-de-coeuvres-marechal-et-duc-d-estrees-1660-1737-nicolas-de-largilliere-1710-3891a971.jpg
b'Dodo and Her Brother',b'Ernst Ludwig Kirchner',b'1908',b'DE',https://az334034.vo.msecnd.net/images-2/dodo-and-her-brother-ernst-ludwig-kirchner-1908-559acb0e.jpg
