Title,Artist,Year,Country,Thumbnail
b'After Bathing (Saliendo del ba\xc3\xb1o)',b'Joaquin Sorolla y Bastida',b'1915',b'ES',https://az334034.vo.msecnd.net/images-1/after-bathing-joaquin-sorolla-ba83028d.jpg
b'Autorretrato Joaqu\xc3\xadn Sorolla (1904)',b'Joaquin Sorolla y Bastida',b'(1904)',b'ES',https://az333959.vo.msecnd.net/images-8/autorretrato-joaquin-sorolla-1904-joaquin-sorolla-dd86ff28.jpg
b'Untitled',b'Joaquin Sorolla y Bastida',b'1894',b'ES',https://az333959.vo.msecnd.net/images-1/untitled-joaquin-sorolla-1894-4fb523e7.jpg
b'Jardin de la Maison Sorolla (1918-1919)',b'Joaqu\xc3\xadn Sorolla',b'1918',,https://az334033.vo.msecnd.net/images-9/jardin-de-la-maison-sorolla-1918-1919-joaquin-sorolla-1918-9edff55d.jpg
b'Joaqu\xc3\xadn Sorolla Garc\xc3\xada vesti do de blanco',b'Joaqu\xc3\xadn Sorolla',b'1896',,https://az333959.vo.msecnd.net/images-8/joaquin-sorolla-garcia-vesti-do-de-blanco-joaquin-sorolla-1896-df5ffacf.jpg
|b'Gondolas, Venice'|,b'Joaqu\xc3\xadn Sorolla',b'1897',,https://az333959.vo.msecnd.net/images-3/gondolas-venice-joaquin-sorolla-1897-999a9976.jpg
b'The Forest. La Granja',b'Joaqu\xc3\xadn Sorolla',b'1907',,https://az333959.vo.msecnd.net/images-9/the-forest-la-granja-joaquin-sorolla-1907-2ffc4abd.jpg
b'Harbour',b'Joaqu\xc3\xadn Sorolla',b'1881',,https://az333960.vo.msecnd.net/images-5/harbour-joaquin-sorolla-1881-3ecd8098.jpg
b'Contadina de As\xc3\xads',b'Joaqu\xc3\xadn Sorolla',b'1888',,https://az333960.vo.msecnd.net/images-5/contadina-de-asis-joaquin-sorolla-1888-69c9503e.jpg
b'El ba\xc3\xb1o del caballo',b'Joaquin Sorolla y Bastida',b'caballo',b'ES',https://az334033.vo.msecnd.net/images-4/el-bano-del-caballo-joaquin-sorolla-1036b369.jpg
b'The Beach at Valencia',b'Joaquin Sorolla y Bastida',b'Valencia',b'ES',https://az333959.vo.msecnd.net/images-2/the-beach-at-valencia-joaquin-sorolla-66a35c26.jpg
b'Research',b'Joaquin Sorolla y Bastida',b'1897',b'ES',https://az333960.vo.msecnd.net/images-9/untitled-joaquin-sorolla-2-20e3caf0.jpg
|b'Capilla de la finca de L\xc3\xa1char, Granada'|,b'Joaquin Sorolla y Bastida',b'1917',b'ES',https://az333960.vo.msecnd.net/images-0/untitled-joaquin-sorolla-1917-af61279f.png
b'Clotilde Garc\xc3\xada del Castillo',b'Joaqu\xc3\xadn Sorolla',b'1890',,https://az334033.vo.msecnd.net/images-8/clotilde-garcia-del-castillo-joaquin-sorolla-1890-745a9c42.jpg
b'Oxen in the Sea',b'Joaqu\xc3\xadn Sorolla',b'1903',,https://az334033.vo.msecnd.net/images-0/oxen-in-the-sea-joaquin-sorolla-1903-cc8f1975.jpg
b'Ma femme et mes enfants',b'Joaqu\xc3\xadn Sorolla',b'1897',,https://az334034.vo.msecnd.net/images-5/ma-femme-et-mes-enfants-joaquin-sorolla-1897-59936065.jpg
b'Clotilde in evening dress',b'Joaqu\xc3\xadn Sorolla',b'1910',,https://az333959.vo.msecnd.net/images-1/clotilde-in-evening-dress-joaquin-sorolla-1910-31089d46.jpg
|b'Vendimiando, Jerez'|,b'Joaqu\xc3\xadn Sorolla',b'1914',,https://az333959.vo.msecnd.net/images-9/vendimiando-jerez-joaquin-sorolla-1914-bdee0c2a.jpg
