Title,Artist,Year,Country,Thumbnail
b'Portrait of Miss Ethel Warwick',b'Philip Wilson Steer',b'1901',b'GB',https://az334034.vo.msecnd.net/images-2/portrait-of-miss-ethel-warwick-philip-wilson-steer-1901-72005c62.jpg
b'Wagon Crossing a Drift - Natal',b'Thomas Baines',b'1874',,https://az334033.vo.msecnd.net/images-3/wagon-crossing-a-drift-natal-thomas-baines-1874-f814a5a9.jpg
b'Rhodes Memorial',b'Pieter Wenning',b'1916',,https://az334033.vo.msecnd.net/images-4/rhodes-memorial-pieter-wenning-1916-d737b90f.jpg
b'Firetail with his Trainer by the Rubbing-Down House on...',b'George Stubbs',b'1773',b'GB',https://az333960.vo.msecnd.net/images-1/firetail-with-his-trainer-by-the-rubbing-down-house-on-newmarket-heath-george-stubbs-1773-f897dacd.jpg
b'Still-life',b'Frans Oerder',b'1900',,https://az333960.vo.msecnd.net/images-9/still-life-frans-oerder-1900-2230b23d.jpg
b'Table Bay',b'Thomas William Bowler',b'1900',,https://az333959.vo.msecnd.net/images-5/table-bay-thomas-william-bowler-1900-1057e3d5.jpg
b'The Sirens',b'Edward Burne-Jones',b'1875',b'GB',https://az333960.vo.msecnd.net/images-8/the-sirens-edward-burne-jones-1875-465f5493.jpg
b'Portrait of a four-year old boy with a club and ball',b'Paulus Moreelse',b'1900',b'NL',https://az333959.vo.msecnd.net/images-3/portrait-of-a-four-year-old-boy-with-a-club-and-ball-paulus-moreelse-1900-6eeff7eb.jpg
|b'City Hall, Cape Town 1917'|,b'Robert Gwelo Goodman',b'1917',,https://az334034.vo.msecnd.net/images-5/city-hall-cape-town-1917-robert-gwelo-goodman-1917-f8c5cc4a.jpg
b'Poultry-yard with angered cock',b"Melchior d'Hondecoeter",b'1600',,https://az334034.vo.msecnd.net/images-9/poultry-yard-with-angered-cock-melchior-d-hondecoeter-1600-b8b87aaa.jpg
b'The village of Midlum',b'Abraham Beerstraaten',b'1900',,https://az333959.vo.msecnd.net/images-1/the-village-of-midlum-abraham-beerstraaten-1900-e7e43442.jpg
b'The golden shawl',b'Irma Stern',b'1945',,https://az333960.vo.msecnd.net/images-4/the-golden-shawl-irma-stern-1945-1830c633.jpg
