Title,Artist,Year,Country,Thumbnail
b'The Arming of Perseus',b'Edward Burne-Jones',b'1885',b'GB',https://az334034.vo.msecnd.net/images-1/the-arming-of-perseus-edward-burne-jones-1885-c5fba804.jpg
b'Perseus and the Sea Nymphs',b'Edward Burne-Jones',b'1877',b'GB',https://az333960.vo.msecnd.net/images-3/perseus-and-the-sea-nymphs-edward-burne-jones-1877-c142cf97.jpg
b'The World Before the Flood',b'William Etty',b'Flood',b'GB',https://az333959.vo.msecnd.net/images-5/the-world-before-the-flood-william-etty-c1d283f1.jpg
b'Triptych Saint Catherine and the Philosophers',b'Goswin van der Weyden',b'Philosophers',,https://az334033.vo.msecnd.net/images-7/triptych-saint-catherine-and-the-philosophers-goswin-van-der-weyden-1a05d840.jpg
b'The Church at V\xc3\xa9theuil',b'Claude Monet',b'1880',b'FR',https://az334033.vo.msecnd.net/images-6/the-church-at-vetheuil-claude-monet-1880-aa81e976.jpg
|b'Portrait of a woman, ca. 1618-1619'|,b'Anthony van Dyck',b'1618',b'NL',https://az334033.vo.msecnd.net/images-4/portrait-of-a-woman-ca-1618-1619-anthony-van-dyck-1618-4839b06b.jpg
b'Louveciennes',b'Camille Pissarro',b'1870',b'FR',https://az333959.vo.msecnd.net/images-2/louveciennes-camille-pissarro-1870-f3fd371e.jpg
b'Yellow Roses',b'Henri Fantin-Latour',b'1883',b'FR',https://az334033.vo.msecnd.net/images-6/yellow-roses-henri-fantin-latour-1883-881b47ac.jpg
|b'Portrait of a man, ca. 1618-1619'|,b'Anthony van Dyck',b'1618',b'NL',https://az334034.vo.msecnd.net/images-4/portrait-of-a-man-ca-1618-1619-anthony-van-dyck-1618-83680010.jpg
b'The Baleful Head',b'Edward Burne-Jones',b'Head',b'GB',https://az334033.vo.msecnd.net/images-3/the-baleful-head-edward-burne-jones-e0083481.jpg
b'The Doom Fulfilled',b'Edward Burne-Jones',b'1888',b'GB',https://az333959.vo.msecnd.net/images-5/the-doom-fulfilled-edward-burne-jones-1888-cdab29f6.jpg
b'Lancelot Chapel of the Holy-Grail',b'Edward Burne-Jones',b'1896',b'GB',https://az333959.vo.msecnd.net/images-9/lancelot-chapel-of-the-holy-grail-edward-burne-jones-1896-34c57c17.jpg
b"The Artist's Sister Elena in the Garb of a Nun",b'Sofonisba Anguissola',b'Nun',,https://az334033.vo.msecnd.net/images-2/the-artist-s-sister-elena-in-the-garb-of-a-nun-sofonisba-anguissola-76087031.jpg
b'Marine effet de lune',b'Eug\xc3\xa8ne Boudin',b'lune',b'FR',https://az334034.vo.msecnd.net/images-9/marine-effet-de-lune-eugene-boudin-27611b92.jpg
b'Wilhelm M\xc3\xbchlfeld (1851\xe2\x80\x931912)',b'Auguste Renoir',b'1910',b'FR',https://az333959.vo.msecnd.net/images-0/wilhelm-muhlfeld-1851-1912-pierre-auguste-renoir-1910-8aeb2f60.jpg
b'Breakwater in Normandy',b'Jean-Baptiste-Camille Corot',b'Normandy',b'FR',https://az333960.vo.msecnd.net/images-6/breakwater-in-normandy-camille-corot-9bbbc70a.jpg
b'Child with a Doll in a Landscape',b'Henri Rousseau',b'Landscape',b'FR',https://az333959.vo.msecnd.net/images-8/child-with-a-doll-in-a-landscape-henri-rousseau-a561fc58.jpg
b'The Shipwreck',b'Philip James de Loutherbourg',b'1793',,https://az333959.vo.msecnd.net/images-9/the-shipwreck-philip-james-de-loutherbourg-1793-bd21f325.jpg
