Title,Artist,Year,Country,Thumbnail
b'Reefs by the Seashore',b'Caspar David Friedrich',b'1824',b'DE',https://az333960.vo.msecnd.net/images-8/reefs-by-the-seashore-caspar-david-friedrich-1824-99d5d159.jpg
b'Still life with letter board',b'Samuel van Hoogstraten',b'board',b'NL',https://az334034.vo.msecnd.net/images-5/still-life-with-letter-board-samuel-van-hoogstraten-d56a6178.jpg
b'Wrestling Match',b'Michael Sweerts',b'1650',b'NL',https://az334033.vo.msecnd.net/images-7/untitled-michiel-sweerts-1-801e73ec.jpg
|b"Morning in June, Saint-Ouen-l'Aum\xc3\xb4ne"|,b'Camille Pissarro',b"Saint-Ouen-l'Aum\xc3\xb4ne",b'FR',https://az334034.vo.msecnd.net/images-6/morning-in-june-saint-ouen-l-aumone-camille-pissarro-b0aeb824.jpg
b'Still life with flowers and gilt goblets',b'Clara Peeters',b'goblets',,https://az334033.vo.msecnd.net/images-2/still-life-with-flowers-and-gilt-goblets-clara-peeters-63ccf31f.jpg
b'Christ as the Man of Sorrows',b'Albrecht D\xc3\xbcrer',b'1469',b'DE',https://az333960.vo.msecnd.net/images-5/christ-as-the-man-of-sorrows-albrecht-durer-1469-4b3c26d3.jpg
b'Norwegische Landschaft mit S\xc3\xa4gem\xc3\xbchle',b'Andreas Achenbach',b'1839',b'DE',https://az334034.vo.msecnd.net/images-4/norwegische-landschaft-mit-sagemuhle-andreas-achenbach-1839-87b3842b.jpg
b'Heller Altar piece',b'Albrecht D\xc3\xbcrer',b'1507',b'DE',https://az334034.vo.msecnd.net/images-1/heller-altar-piece-albrecht-durer-1507-aace71a1.jpg
b'Tauberbischofsheim altarpiece',b'Mathias Gr\xc3\xbcnewald',b'altarpiece',,https://az333960.vo.msecnd.net/images-8/tauberbischofsheim-altarpiece-mathias-grunewald-2c0f8912.jpg
b'Old town of Dresden',b'Bernardo Bellotto',b'1765',b'IT',https://az333960.vo.msecnd.net/images-1/old-town-of-dresden-bernardo-bellotto-1765-bc89b835.jpg
b'Little Lange',b'Edouard Manet',b'1861',b'FR',https://az334034.vo.msecnd.net/images-5/little-lange-edouard-manet-1861-151483d0.jpg
b'View over the Eiffel Tower',b'Robert Delaunay',b'1910',b'FR',https://az333959.vo.msecnd.net/images-8/view-over-the-eiffel-tower-robert-delaunay-1910-2df8077f.jpg
b'The Eiffel Tower',b'Robert Delaunay',b'1911',b'FR',https://az333959.vo.msecnd.net/images-0/the-eiffel-tower-robert-delaunay-1911-4acf0392.jpg
b'The Penitent Magdalene',b'Gerrit Dou',b'1640',b'NL',https://az333960.vo.msecnd.net/images-7/the-penitent-magdalene-gerrit-dou-1640-0d904e2c.jpg
b'The Demolition of Houses on the Notre-Dame Bridge',b'Hubert Robert',b'1786',b'FR',https://az333960.vo.msecnd.net/images-1/the-demolition-of-houses-on-the-notre-dame-bridge-hubert-robert-1786-18682d7e.jpg
|b'Fruit, a nest, a lizard and insects in a wood'|,b'Rachel Ruysch',b'wood',b'NL',https://az333959.vo.msecnd.net/images-2/fruit-a-nest-a-lizard-and-insects-in-a-wood-rachel-ruysch-f5e5c028.jpg
b'Maid with a Bucket and Broom in a Courtyard',b'Pieter de Hooch',b'Courtyard',b'NL',https://az334033.vo.msecnd.net/images-2/maid-with-a-bucket-and-broom-in-a-courtyard-pieter-de-hooch-bbb93137.jpg
|b'Still life with fruit, roast, silver- and glassware,...'|,b'Abraham van Beijeren',|b'glassware,...'|,,https://az333960.vo.msecnd.net/images-1/still-life-with-fruit-roast-silver-and-glassware-porcelain-and-columbine-cup-on-a-dark-tablecloth-with-white-serviette-abraham-van-beijeren-cc3ecbcc.jpg
b'Still Life with Fruit and a Squirrel',b'Catharina Treu',b'1780',,https://az333959.vo.msecnd.net/images-6/still-life-with-fruit-and-a-squirrel-catharina-treu-1780-1306e237.jpg
b'Three horses at the watering place',b'Franz Marc',b'1913',b'DE',https://az334033.vo.msecnd.net/images-6/three-horses-at-the-watering-place-franz-marc-1913-dabaf0ee.jpg
b'The Temptation of St Anthony',b'Joos van Craesbeeck',b'1650',,https://az334034.vo.msecnd.net/images-8/the-temptation-of-st-anthony-joos-van-craesbeeck-1650-e8109a8b.jpg
b'Madonna relief in a flower garland',b'Daniel Seghers',b'garland',b'BE',https://az333960.vo.msecnd.net/images-6/madonna-relief-in-a-flower-garland-daniel-seghers-c236681f.jpg
|b'Sous-bois, arbres l\xc3\xa9gers'|,b'F\xc3\xa9lix Vallotton',b'1918',b'CH',https://az333959.vo.msecnd.net/images-5/sous-bois-arbres-legers-felix-vallotton-1918-3ded3ad3.jpg
b'Vase de fleurs sur une boite \xc3\xa0 copeaux',b'Jacques Linard',b'1640',b'FR',https://az333960.vo.msecnd.net/images-5/vase-de-fleurs-sur-une-boite-a-copeaux-jacques-linard-1640-21b27a36.png
b'Children Dancing in a Ring',b'Hans Thoma',b'Ring',,https://az334033.vo.msecnd.net/images-4/children-dancing-in-a-ring-hans-thoma-d7f26df1.jpg
b'Still Life with Fruits of the Hunt',b'Willem van Aelst',b'1668',,https://az333960.vo.msecnd.net/images-7/still-life-with-fruits-of-the-hunt-willem-van-aelst-1668-e6783797.jpg
b'Totenkopfschmetterling mit Pilz auf wei\xc3\x9fem Tuch',b'Wilhelm Leibl',b'1868',,https://az334034.vo.msecnd.net/images-5/totenkopfschmetterling-mit-pilz-auf-weissem-tuch-wilhelm-leibl-1868-2cdf1d10.jpg
b'The Collision',b'Pieter Wouwerman',b'1680',,https://az333959.vo.msecnd.net/images-1/the-collision-pieter-wouwerman-1680-0757e598.jpg
b'Self-portrait',b'Marie Ellenrieder',b'1818',,https://az333960.vo.msecnd.net/images-9/self-portrait-marie-ellenrieder-1818-06255280.jpg
b'Shepherdess with bowl of grapes',b'Abraham Bloemaert',b'1628',b'NL',https://az333959.vo.msecnd.net/images-6/shepherdess-with-bowl-of-grapes-abraham-bloemaert-1628-5f928aee.jpg
b'Portrait de Mme Fran\xc3\xa7ois Simon',b'Eug\xc3\xa8ne Delacroix',b'1829',b'FR',https://az333960.vo.msecnd.net/images-7/portrait-de-mme-francois-simon-eugene-delacroix-1829-37bef335.jpg
b"Paysage avec l'adoration du veau d'or",b'Claude Lorrain',b'1653',b'FR',https://az334034.vo.msecnd.net/images-7/paysage-avec-l-adoration-du-veau-d-or-claude-lorrain-1653-97f73725.jpg
|b"Rochers, pins et mer \xc3\xa0 l'Estaque"|,b'Paul C\xc3\xa9zanne',b'1884',b'FR',https://az333959.vo.msecnd.net/images-8/rochers-pins-et-mer-a-l-estaque-paul-cezanne-1884-d5c5bdeb.jpg
b'Madame de Vermenoux huldigt Apollo',b'Jean-Etienne Liotard',b'1764',b'CH',https://az334033.vo.msecnd.net/images-8/madame-de-vermenoux-huldigt-apollo-jean-etienne-liotard-1764-619356e6.jpg
b'Sewing mother with two boys next to a cradle',b'Adriaen van Gaesbeeck',b'cradle',,https://az334033.vo.msecnd.net/images-5/sewing-mother-with-two-boys-next-to-a-cradle-adriaen-van-gaesbeeck-f8d897c2.jpg
b'Rechte Hand des "M\xc3\xa4dchens mit der Nelke"',b'Wilhelm Leibl',b'1880',,https://az334033.vo.msecnd.net/images-7/rechte-hand-des-madchens-mit-der-nelke-wilhelm-leibl-1880-f6554603.jpg
b'Drinking and smoking farmers in a tavern',b'David Teniers the Younger',b'1634',b'NL',https://az333959.vo.msecnd.net/images-7/drinking-and-smoking-farmers-in-a-tavern-david-teniers-the-younger-1634-95371926.jpg
b'Drinking and smoking peasants',b'Adriaen van Ostade',b'1650',b'NL',https://az333960.vo.msecnd.net/images-6/drinking-and-smoking-peasants-adriaen-van-ostade-1650-f58960ab.jpg
b'Young Lady with a Lapdog',b'Eglon van der Neer',b'1665',,https://az333960.vo.msecnd.net/images-0/young-lady-with-a-lapdog-eglon-van-der-neer-1665-c953c219.jpg
b'Roman landscape with Christ and the centurion of Capernaum',b'Bartholomeus Breenbergh',b'1637',,https://az334033.vo.msecnd.net/images-7/roman-landscape-with-christ-and-the-centurion-of-capernaum-bartholomeus-breenbergh-1637-359da8fd.jpg
b'Young Couple at Breakfast',b'Gabri\xc3\xabl Metsu',b'1667',b'NL',https://az333959.vo.msecnd.net/images-1/young-couple-at-breakfast-gabriel-metsu-1667-0ac86e0e.jpg
b'Nursing Mother',b'Pieter Cornelisz van Slingelandt',b'Mother',,https://az334034.vo.msecnd.net/images-6/nursing-mother-pieter-cornelisz-van-slingelandt-1021b984.jpg
b'Girl in a Window',b'Gerrit Dou',b'1652',b'NL',https://az334033.vo.msecnd.net/images-8/girl-in-a-window-gerrit-dou-1652-ad22d3b3.jpg
|b'Rouen. Les ponts Boieldieu et Corneille, effet de pluie'|,b'Camille Pissarro',b'1896',b'FR',https://az333960.vo.msecnd.net/images-7/rouen-les-ponts-boieldieu-et-corneille-effet-de-pluie-camille-pissarro-1896-6ba7edc2.jpg
b'Roosters fighting',b"Melchior d'Hondecoeter",b'1686',,https://az334034.vo.msecnd.net/images-7/roosters-fighting-melchior-d-hondecoeter-1686-58c211fd.jpg
