Title,Artist,Year,Country,Thumbnail
b'Winter Landscape',b'Caspar David Friedrich',b'Landscape',b'DE',https://az333960.vo.msecnd.net/images-3/untitled-caspar-david-friedrich-3-ed1dc09e.jpg
b'The Sentry',b'Carel Fabritius',b'Sentry',b'NL',https://az334034.vo.msecnd.net/images-9/the-sentry-carel-fabritius-b0a9b954.jpg
|b'Nautilus Cup, Tazza, and Plates of Oysters'|,b'Willem Claeszoon Heda',b'Oysters',,https://az333960.vo.msecnd.net/images-6/nautilus-cup-tazza-and-plates-of-oysters-willem-claeszoon-heda-12512195.jpg
b'Head of a lowing Ox',b'Jan Asselijn',b'Ox',b'NL',https://az334034.vo.msecnd.net/images-9/head-of-a-lowing-ox-jan-asselijn-f26be80e.jpg
b'Winter Landscape with Numerous Skaters',b'Hendrick Avercamp',b'1610',b'NL',https://az334034.vo.msecnd.net/images-3/winter-landscape-with-numerous-skaters-hendrick-avercamp-1610-5b995475.jpg
b'Windmill near Ahrenshoop',b'Carl Malchin',b'Ahrenshoop',,https://az334034.vo.msecnd.net/images-2/windmill-near-ahrenshoop-carl-malchin-453406f9.jpg
b'Flower Still Life',b'Anna Katharina Block',b'1700',,https://az334034.vo.msecnd.net/images-2/flower-still-life-anna-katharina-block-1700-5973379d.jpg
b'Old Man with a Globe',b'Gerrit Dou',b'1650',b'NL',https://az334034.vo.msecnd.net/images-9/old-man-with-a-globe-gerrit-dou-1650-45cf4425.jpg
b'Hilly Landscape with a Broad Waterfall',b'Jacob van Ruisdael',b'Waterfall',b'NL',https://az333959.vo.msecnd.net/images-5/hilly-landscape-with-a-broad-waterfall-jacob-van-ruisdael-b8cfc900.jpg
b'Morning in the Giant Mountains',b'Caspar David Friedrich',b'1811',b'DE',https://az333960.vo.msecnd.net/images-2/morning-in-the-giant-mountains-caspar-david-friedrich-1811-1633a724.jpg
b'Boy with a glass and a tin can',b'Frans Hals',b'1626',b'NL',https://az333959.vo.msecnd.net/images-3/boy-with-a-glass-and-a-tin-can-frans-hals-1626-77bae1e7.jpg
b'Laughing boy with a flute',b'Frans Hals',b'1626',b'NL',https://az333959.vo.msecnd.net/images-4/laughing-boy-with-a-flute-frans-hals-1626-05911292.jpg
b'Portrait of an Old Man',b'Anonymous',b'Man',,https://az334033.vo.msecnd.net/images-3/portrait-of-an-old-man-anonymous-d588c880.jpg
b'Granddaughter (standing girl writing)',b'Max Liebermann',b'writing)',b'DE',https://az334033.vo.msecnd.net/images-9/granddaughter-standing-girl-writing-max-liebermann-e3ba5d4c.jpg
b'Garland of Flowers',b'Rachel Ruysch',b'1683',b'NL',https://az334033.vo.msecnd.net/images-4/garland-of-flowers-rachel-ruysch-1683-7d828b88.jpg
|b'View of the Church of the St. Martin, Bonn'|,b'Gerrit Adriaenszoon Berckheyde',b'1680',,https://az334033.vo.msecnd.net/images-2/view-of-the-church-of-the-st-martin-bonn-gerrit-adriaenszoon-berckheyde-1680-d44086f0.jpg
b'River Landscape with a Mill',b'Jan van Goyen',b'1648',b'NL',https://az333960.vo.msecnd.net/images-4/river-landscape-with-a-mill-jan-van-goyen-1648-e97ab217.jpg
b'Lovesickness',b'Jan Steen',b'1660',b'NL',https://az334034.vo.msecnd.net/images-4/lovesickness-jan-steen-1660-095c7967.jpg
b'Duet',b'Frans van Mieris the Elder',b'1658',b'NL',https://az333959.vo.msecnd.net/images-2/duet-frans-van-mieris-the-elder-1658-678c2ff6.jpg
b'Landscape with Annunciation to the Shepherds',b'Adam Pynacker',b'1660',,https://az333959.vo.msecnd.net/images-0/landscape-with-annunciation-to-the-shepherds-adam-pynacker-1660-bf49d61b.jpg
b'Soldiers playing backgammon in an interior',b'Pieter Symonsz Potter',b'1630',,https://az333959.vo.msecnd.net/images-7/soldiers-playing-backgammon-in-an-interior-pieter-symonsz-potter-1630-09e223f6.jpg
b'A Girl Scraping Carrots',b'Gerrit Dou',b'1645',b'NL',https://az333960.vo.msecnd.net/images-8/a-girl-scraping-carrots-gerrit-dou-1645-86c27d09.jpg
b'Fish market near a harbor',b'Jan Brueghel the Elder',b'1610',b'BE',https://az333960.vo.msecnd.net/images-2/fish-market-near-a-harbor-jan-brueghel-the-elder-1610-b9ba1b35.jpg
b'Penitent Magdalene',b'Godfried Schalcken',b'1679',b'NL',https://az334034.vo.msecnd.net/images-0/penitent-magdalene-godfried-schalcken-1679-d0c608cf.jpg
b'Forest landscape (1622)',b'Alexander Keirincx',b'1622',,https://az333960.vo.msecnd.net/images-2/forest-landscape-1622-alexander-keirincx-1622-2efd66b2.jpg
b'Beginning Storm',b'Ludolf Bakhuizen',b'1682',,https://az333960.vo.msecnd.net/images-7/beginning-storm-ludolf-bakhuizen-1682-51d2b6b5.jpg
b'The prophet Zachariah in the temple',b'Rembrandt',b'1650',b'NL',https://az333960.vo.msecnd.net/images-5/the-prophet-zachariah-in-the-temple-rembrandt-1650-63e3dc9f.jpg
b'Schips in the roadstead of Enkhuizen',b'Ludolf Bakhuizen',b'1680',,https://az334033.vo.msecnd.net/images-2/schips-in-the-roadstead-of-enkhuizen-ludolf-bakhuizen-1680-ced80b7f.jpg
b'Two Ladies and a Gentleman discussing a Letter',b'Caspar Netscher',b'1664',b'NL',https://az334033.vo.msecnd.net/images-2/two-ladies-and-a-gentleman-discussing-a-letter-caspar-netscher-1664-78dc3ae6.jpg
b'Fruit on a marble table and a basket with flowers and a...',b'Jan van Huysum',b'1743',b'NL',https://az334034.vo.msecnd.net/images-0/fruit-on-a-marble-table-and-a-basket-with-flowers-and-a-butterfly-jan-van-huysum-1743-d4cf3a36.jpg
b'Self-portrait',b'Rudolph Suhrlandt',b'1810',,https://az334033.vo.msecnd.net/images-3/self-portrait-rudolph-suhrlandt-1810-11446976.jpg
